Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJJbgMNxEWsz4RiqGixEg0fC4,,Dr. Ziauddin Hospital Keamari,24.825803,66.9826054,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ_____xYWsz4R2N_XZn1aE7E,,Karwan e Hayat,24.8269582,66.9823756,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJq7usqRcWsz4R4dnphTBueKY,,Afridi Medical Center 24 Hours Imran Khan House,24.8226302,66.9844633,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJve72Bd4Xsz4RlOz3-Aeb1B4,,Aims International,24.8214504,66.9905509,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ1WDJ72kXsz4RSHfeph7O1z8,,Masjid - Ziauddin hospital,24.8259333,66.983079,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ0RFwPwAXsz4R8ak7VQUEsZ8,,Dr.TARIQ HUSSAIN,24.8255932,66.9815482,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJgZP3Y8kXsz4RSaI9CvzNULA,,Rural Health Centre Kemari,24.82171,66.9787722,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJBcFNQAAXsz4RCKUwcA9cbtQ,,Abu zaid medical and general store,24.8241657,66.9788917,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJY7c5YBEWsz4R0ohoNuOkOm4,,KPT Hospital,24.826544,66.9810086,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ3w-5qdEXsz4RH8NJGt9GgYE,,NICVD Chest Pain Unit at Keamari,24.8221181,66.9774247,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJy4z3IMoXsz4R2HoexavXKO4,,Dr zaman khan clinic,24.8262657,66.9913314,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJxXNOaC4Xsz4RVHbUlBlC_JA,,Darul Shifa Hospital,24.8210508,66.9937415,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJo5KV50YXsz4RQ5-NIEslwYk,,Jadoon Medical Store,24.8220769,66.99466,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJuxTQzAEXsz4RGHikG7thsc0,,Abdul wajid medical center,24.8170369,66.9953714,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJb9AbmPAXsz4RNVUv4ZMEppw,,Asif medical & general store,24.8208013,66.9963578,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ7_3IOqU9sz4RLu7HTMVuUiM,,Clifton medical centre,24.817749,66.998969,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJxQIj8Dc9sz4R8c5rcsEgFgQ,,KK MEDICAL STORE,24.8184596,66.9995405,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJpaM2JIM9sz4Rc096lAfV4XA,,Awan Clinic,24.8230849,67.003294,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJkcOVzX09sz4RTNqosTtME6w,,Altamash General Hospital,24.8153116,67.0025373,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJM7VLwo49sz4R7jX5zbw5laM,,College Of Speech Language & Hearing Sciences,24.8160264,67.0061083,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJfQxLQok9sz4RuFoPoDQlYFg,,Dr. Ziauddin Hospital Clifton Campus,24.8172531,67.0073942,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJi_yKeUA8sz4R556Y6Ead_M8,,Willing Ways Karachi(Clifton),24.8142541,67.0111867,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJqxWPyTQ9sz4RWWYYZ5bXarY,,Rehman Medical Center,24.8181039,67.0043724,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJf9Sry109sz4Rg3Znlw3u5Ok,,Al Maaz Medical Centre,24.8204727,67.0049725,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJTWZ0Eno9sz4RXXCcSpe5bes,,Shireen Jinnah Hospital,24.8174597,67.0052469,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJM4D6qbU9sz4R_aFrTC2OcGU,,Alam Poly Clinic,24.8176166,67.0059445,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJw_hqfJo9sz4RNOOmicyZo0Y,,The Aga Khan University hospital - Clifton Medical services,24.8132045,67.0144435,OPERATIONAL,"pharmacy, hospital, point_of_interest, health, store, establishment"
ChIJIxeEc5k9sz4RkJLifIiTguw,,QS Medical Care,24.8110936,67.0175729,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJExnK35c9sz4RIuAca7aF04Y,,Dr. Ahmed Abdullah's Clinic,24.8165092,67.0223738,OPERATIONAL,"hospital, point_of_interest, doctor, health, establishment"
ChIJ24gbQr09sz4RFhGu4aeG748,,Welfare Society for Patient Care,24.816241,67.0222615,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJDRoY35c9sz4RSugc2z-B4cE,,North Carolina Dental Practice Rahman And Rahman Dental Surgeons Karachi,24.8164323,67.0224193,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ3ewd3pc9sz4RFC0MqvtNNAg,,Clifton Kidney & General Hospital - Dialysis Center,24.8175003,67.022963,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJz4WcCJg9sz4RqNPnTbZeips,,South City Hospital,24.8142431,67.0224384,OPERATIONAL,"hospital, point_of_interest, doctor, health, establishment"
ChIJVVUUoY49sz4R79L8YLZyULk,,Dr Shehla,24.817611,67.0059799,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJX-5Bvyk9sz4RLYE5uXgJaQA,,Ayesha Lab Diagnostics & Consultant Clinic,24.8195373,67.0100168,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJD8_r35c9sz4RXQ8ZdHHmhN8,,Australian Concept Infertility Medical Center Karachi,24.8175739,67.0231738,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJpY20fcA9sz4RrQMYQ7559mA,,Urgent Care Medical Center,24.8116731,67.017707,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJeQRYIAA9sz4Ru6xTKdt41Us,,Metroville Shabbir eye hospital,24.8132,67.016,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJX8qFcJo9sz4RECBbhzs2jXo,,AKU,24.8131384,67.0144742,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJHSLVazo9sz4R1NVVJ6DU-RQ,,Dr.Illahi Bakhsc,24.8133012,67.0158733,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJE0r-AjQ_sz4Rw97Tgy3chNk,,MediCall Home Nursing Services,24.8128257,67.0115694,OPERATIONAL,"hospital, point_of_interest, health, store, establishment"
ChIJVVVVFZA9sz4Rz2BxJSbwODc,,Allahi Bux Somroo Clinic,24.814604,67.0121073,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJB_LFi489sz4RnIFzbOx41BI,,Al Khidmat Hospital,24.81296,67.008919,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ48svWHQ9sz4RDtUPBGqvO3k,,Laser Inn,24.8139691,67.0213687,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJR2FfLOs9sz4Rk1OKzTrv-F8,,Shop and Save Pharmacy,24.8148008,67.0210567,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJdSV4RLg9sz4RjcRAv21nYDE,,Laser Vision Centre,24.8263524,67.0325614,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJ-14cKrs9sz4RlomNWdAw3yQ,,Park Lane Hospital,24.8167051,67.0314415,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ4WKNzbs9sz4RP0UR_AEnIok,,Dr. Asif Niaz Arain & Associates Dental Professionals,24.821293,67.031337,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJi7wtQK49sz4RkFWgwCmVte0,,Eterna Health,24.8138531,67.0276277,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJOaeNpKI9sz4RO-i6iEjLCW0,,Dr. Abid Mahmood Dental Clinic,24.8140289,67.0232645,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJaS-u2ew9sz4RT9nkXmpVHR4,,South City Hospital - OPD Bldg.,24.8135099,67.022388,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJL_72imM9sz4RG9tZbqMihyQ,,Dr younus and Associates Dental clinic,24.8081101,67.0298125,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJncZi-pc9sz4RamD7AeY5rGQ,,The Eye Center,24.8157416,67.0219549,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJsTzJ-bw9sz4RxMwGmqD9gFE,,Childer Hospital,24.818138,67.0262786,OPERATIONAL,"hospital, health, point_of_interest, establishment"
