Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJ8S3xrJNusz4ROiGqdix34PU,HUB,Lasi Clinic,25.022022,66.87087389999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJAfaQB5Nusz4RKA0aOcL__yo,HUB,Jam Ghulam Qadir Civil Hospital Hub,25.0226233,66.8713035,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJiYrVGpNusz4RJ8NG97DfT6c,HUB,JMGQ CIVIL Hospital,25.0233143,66.87136679999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJffqEx5Rusz4R7d4ag0lBTtc,HUB,Fatima Clinic,25.0251846,66.87524789999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJPaFIbr5usz4Rw5dPHg8ToIM,HUB,Rose Alson Clinic,25.0222773,66.88167039999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJiWPrUJVusz4Rz9U9ofrTc4Q,HUB,Sugra Clinic,25.0260542,66.8791813,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ-aW2IwBvsz4RBymSU7ehrzU,HUB,Qazi Medical Center,25.0250626,66.8830031,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJZcG6HQBvsz4R6Wu-dYmocm0,HUB,lucky hospital,25.034884,66.8745481,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJN66UVwD_tD4RahWFJVEmqlg,HUB,Fatima eye care center,25.0348923,66.8747862,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJRQ722Q1vsz4RHeqJqgMrxhI,HUB,Arsalan Medical Center Hub,25.0325948,66.8778657,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ4yxQXrRvsz4RxVBBSuXhAtA,HUB,New Hinglaj medical center,25.03303859999999,66.8778435,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJlTWzODdvsz4RUDt1NdcJm2o,HUB,National medical center,25.0309094,66.8799319,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJE7M6jsBusz4Rw0nt3RBjP9w,HUB,Naheed Kamboh Medical Center,25.0282303,66.8833795,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJJfYcjsBusz4R97qc9O-xffM,HUB,Naheed Kamboh Hospital & Maternity Home,25.0283293,66.8833656,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJSWpumsBusz4RB4FqQ89TInw,HUB,Baloch clinic & maternity home,25.0280905,66.8835706,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJETUrmsBusz4ROOI4FvfW1ZY,HUB,Sarish Clinic,25.027907,66.8837401,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJh5CEs1dvsz4RWFUf-YRp0Lc,HUB,Sarang medical and general store,25.0285241,66.8836311,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJp7eRmcBusz4RW4xw3VCwxEg,HUB,Sehrish Clinic & Maternity Home,25.027972,66.8837882,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJjY9MkMVvsz4R-1-iZUftbU0,HUB,new lasbela medical & general store hub,25.0284111,66.8838078,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJQwV1UABvsz4RZF60rCqAxVA,HUB,Hub Homeopathic Clinic & Store,25.0286603,66.88381509999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJeW9D0rhusz4RnTxx8W-uh9A,HUB,Layari Clinic,25.0255487,66.88586529999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJi_IjT79usz4RmQKU8hSYGEs,HUB,Mch Center,25.0265673,66.8854336,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJA7ZzWQBvsz4RxoqzfJ1niB0,HUB,Al Noor Medical Center & Maternity Home,25.0264782,66.8858927,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJlyPUXQBvsz4R3OJgvBcfVY4,HUB,فلک میڈیکل سیٹر,25.0234512,66.8901123,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJZ81NnsJvsz4R-MPEdml04vk,HUB,Amna Eye Clinic & Opticals,25.0254548,66.8892719,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJpTnOfrdusz4R9RSu4OIN62g,HUB,Dua Clinic Nadir Health Center,25.0258028,66.8919765,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJZ56rzMBvsz4RltzNqtRhsrk,HUB,Chilton Medical Store,25.0271848,66.8872225,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJbQc0KgBvsz4RJQsr3Vt9X0w,HUB,Sulemani Health Care Center Hub,25.0275395,66.8894017,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJo5SWlrdusz4RhyKrUo1BI6M,HUB,Nadire Health Clinic,25.0270698,66.89281869999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJd9yEvCtvsz4RIa9lwqJbdRY,HUB,Irfan clinic,25.0309936,66.8922865,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ5b9CdABvsz4R_Ad30AvQo_s,HUB,Mansoor Medical & General Store,25.0310154,66.89239789999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJm2IgcMhusz4RlIgHunpGVtc,HUB,Wahab Plaza,25.0308076,66.8923221,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJN7HlDg1vsz4Rnfxl9Qs-2C0,HUB,Dr Lal Muhammad,25.0380033,66.8999547,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ0YhLWi5psz4RaaXS785aV4Q,HUB,Ameer Mavia Clinic,25.0453566,66.91140519999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJvS4HeDBpsz4RBkLrTRpUSfI,HUB,Al Yasir Health Center,25.0416612,66.9154762,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJe____ZJrsz4RWXrJp1MD2eQ,ITEEHAD TOWN,AL Mehmood health care center,24.960351,66.9256875,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJm_3Tk5drsz4RdNdIV2czIZo,ITEEHAD TOWN,Dua medical store,24.959956,66.92573569999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
