Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJJbgMNxEWsz4RiqGixEg0fC4,,Dr. Ziauddin Hospital Keamari,24.825803,66.9826054,OPERATIONAL,DefenceData
ChIJ_____xYWsz4R2N_XZn1aE7E,,Karwan e Hayat,24.8269582,66.9823756,OPERATIONAL,DefenceData
ChIJq7usqRcWsz4R4dnphTBueKY,,Afridi Medical Center 24 Hours Imran Khan House,24.8226302,66.9844633,OPERATIONAL,DefenceData
ChIJve72Bd4Xsz4RlOz3-Aeb1B4,,Aims International,24.8214504,66.9905509,OPERATIONAL,DefenceData
ChIJ1WDJ72kXsz4RSHfeph7O1z8,,Masjid - Ziauddin hospital,24.8259333,66.983079,OPERATIONAL,DefenceData
ChIJ0RFwPwAXsz4R8ak7VQUEsZ8,,Dr.TARIQ HUSSAIN,24.8255932,66.9815482,OPERATIONAL,DefenceData
ChIJgZP3Y8kXsz4RSaI9CvzNULA,,Rural Health Centre Kemari,24.82171,66.9787722,OPERATIONAL,DefenceData
ChIJBcFNQAAXsz4RCKUwcA9cbtQ,,Abu zaid medical and general store,24.8241657,66.9788917,OPERATIONAL,DefenceData
ChIJY7c5YBEWsz4R0ohoNuOkOm4,,KPT Hospital,24.826544,66.9810086,OPERATIONAL,DefenceData
ChIJ3w-5qdEXsz4RH8NJGt9GgYE,,NICVD Chest Pain Unit at Keamari,24.8221181,66.9774247,OPERATIONAL,DefenceData
ChIJy4z3IMoXsz4R2HoexavXKO4,,Dr zaman khan clinic,24.8262657,66.9913314,OPERATIONAL,DefenceData
ChIJxXNOaC4Xsz4RVHbUlBlC_JA,,Darul Shifa Hospital,24.8210508,66.9937415,OPERATIONAL,DefenceData
ChIJo5KV50YXsz4RQ5-NIEslwYk,,Jadoon Medical Store,24.8220769,66.99466,OPERATIONAL,DefenceData
ChIJuxTQzAEXsz4RGHikG7thsc0,,Abdul wajid medical center,24.8170369,66.9953714,OPERATIONAL,DefenceData
ChIJb9AbmPAXsz4RNVUv4ZMEppw,,Asif medical & general store,24.8208013,66.9963578,OPERATIONAL,DefenceData
ChIJ7_3IOqU9sz4RLu7HTMVuUiM,,Clifton medical centre,24.817749,66.998969,OPERATIONAL,DefenceData
ChIJxQIj8Dc9sz4R8c5rcsEgFgQ,,KK MEDICAL STORE,24.8184596,66.9995405,OPERATIONAL,DefenceData
ChIJpaM2JIM9sz4Rc096lAfV4XA,,Awan Clinic,24.8230849,67.003294,OPERATIONAL,DefenceData
ChIJkcOVzX09sz4RTNqosTtME6w,,Altamash General Hospital,24.8153116,67.0025373,OPERATIONAL,DefenceData
ChIJM7VLwo49sz4R7jX5zbw5laM,,College Of Speech Language & Hearing Sciences,24.8160264,67.0061083,OPERATIONAL,DefenceData
ChIJfQxLQok9sz4RuFoPoDQlYFg,,Dr. Ziauddin Hospital Clifton Campus,24.8172531,67.0073942,OPERATIONAL,DefenceData
ChIJi_yKeUA8sz4R556Y6Ead_M8,,Willing Ways Karachi(Clifton),24.8142541,67.0111867,OPERATIONAL,DefenceData
ChIJqxWPyTQ9sz4RWWYYZ5bXarY,,Rehman Medical Center,24.8181039,67.0043724,OPERATIONAL,DefenceData
ChIJf9Sry109sz4Rg3Znlw3u5Ok,,Al Maaz Medical Centre,24.8204727,67.0049725,OPERATIONAL,DefenceData
ChIJTWZ0Eno9sz4RXXCcSpe5bes,,Shireen Jinnah Hospital,24.8174597,67.0052469,OPERATIONAL,DefenceData
ChIJM4D6qbU9sz4R_aFrTC2OcGU,,Alam Poly Clinic,24.8176166,67.0059445,OPERATIONAL,DefenceData
ChIJw_hqfJo9sz4RNOOmicyZo0Y,,The Aga Khan University hospital - Clifton Medical services,24.8132045,67.0144435,OPERATIONAL,DefenceData
ChIJIxeEc5k9sz4RkJLifIiTguw,,QS Medical Care,24.8110936,67.0175729,OPERATIONAL,DefenceData
ChIJExnK35c9sz4RIuAca7aF04Y,,Dr. Ahmed Abdullah's Clinic,24.8165092,67.0223738,OPERATIONAL,DefenceData
ChIJ24gbQr09sz4RFhGu4aeG748,,Welfare Society for Patient Care,24.816241,67.0222615,OPERATIONAL,DefenceData
ChIJDRoY35c9sz4RSugc2z-B4cE,,North Carolina Dental Practice Rahman And Rahman Dental Surgeons Karachi,24.8164323,67.0224193,OPERATIONAL,DefenceData
ChIJ3ewd3pc9sz4RFC0MqvtNNAg,,Clifton Kidney & General Hospital - Dialysis Center,24.8175003,67.022963,OPERATIONAL,DefenceData
ChIJz4WcCJg9sz4RqNPnTbZeips,,South City Hospital,24.8142431,67.0224384,OPERATIONAL,DefenceData
ChIJVVUUoY49sz4R79L8YLZyULk,,Dr Shehla,24.817611,67.0059799,OPERATIONAL,DefenceData
ChIJX-5Bvyk9sz4RLYE5uXgJaQA,,Ayesha Lab Diagnostics & Consultant Clinic,24.8195373,67.0100168,OPERATIONAL,DefenceData
ChIJD8_r35c9sz4RXQ8ZdHHmhN8,,Australian Concept Infertility Medical Center Karachi,24.8175739,67.0231738,OPERATIONAL,DefenceData
ChIJpY20fcA9sz4RrQMYQ7559mA,,Urgent Care Medical Center,24.8116731,67.017707,OPERATIONAL,DefenceData
ChIJeQRYIAA9sz4Ru6xTKdt41Us,,Metroville Shabbir eye hospital,24.8132,67.016,OPERATIONAL,DefenceData
ChIJX8qFcJo9sz4RECBbhzs2jXo,,AKU,24.8131384,67.0144742,OPERATIONAL,DefenceData
ChIJHSLVazo9sz4R1NVVJ6DU-RQ,,Dr.Illahi Bakhsc,24.8133012,67.0158733,OPERATIONAL,DefenceData
ChIJE0r-AjQ_sz4Rw97Tgy3chNk,,MediCall Home Nursing Services,24.8128257,67.0115694,OPERATIONAL,DefenceData
ChIJVVVVFZA9sz4Rz2BxJSbwODc,,Allahi Bux Somroo Clinic,24.814604,67.0121073,OPERATIONAL,DefenceData
ChIJB_LFi489sz4RnIFzbOx41BI,,Al Khidmat Hospital,24.81296,67.008919,OPERATIONAL,DefenceData
ChIJ48svWHQ9sz4RDtUPBGqvO3k,,Laser Inn,24.8139691,67.0213687,OPERATIONAL,DefenceData
ChIJR2FfLOs9sz4Rk1OKzTrv-F8,,Shop and Save Pharmacy,24.8148008,67.0210567,OPERATIONAL,DefenceData
ChIJdSV4RLg9sz4RjcRAv21nYDE,,Laser Vision Centre,24.8263524,67.0325614,OPERATIONAL,DefenceData
ChIJ-14cKrs9sz4RlomNWdAw3yQ,,Park Lane Hospital,24.8167051,67.0314415,OPERATIONAL,DefenceData
ChIJ4WKNzbs9sz4RP0UR_AEnIok,,Dr. Asif Niaz Arain & Associates Dental Professionals,24.821293,67.031337,OPERATIONAL,DefenceData
