Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJU7lIZzAVsz4RTV6uc4SDV_8,BALDIA TOWN,Patni Diganostic Center,24.9185073,66.9662421,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJr_nseiUVsz4RK93_PBR7k10,BALDIA TOWN,hijama Clinic Honey centre,24.9162809,66.9607016,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJN5JOKU4Vsz4RAwGM9j0ZCbY,MAWATCH GOTH,Mir Umar Al Balochi,24.9252755,66.9489992,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJTbPuKgBrsz4RxY1NYDNyCuk,MAWATCH GOTH,murshid blood bank,24.9265737,66.9461199,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJKxE1wFprsz4RuaIIUIMtXCE,MAWATCH GOTH,Murshid Hospital,24.92689309999999,66.9461134,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ5a6Cv5M5sz4RQhoPnN1LPyg,MAWATCH GOTH,save the life rehabilitation center,24.925785,66.9420519,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJOStz0CUVsz4R1IAJ_HluSCY,BALDIA TOWN,Al Rehmat Hospital,24.9142704,66.957757,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ864h0CUVsz4Rbx3ElBeHlrM,BALDIA TOWN,Al Sadat Hospital,24.9141606,66.95791249999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJF1U1T70Vsz4RYvewYORryEM,BALDIA TOWN,KAHALID MATERNITY CENTER,24.9128713,66.9571434,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJj5O8vy8Vsz4RC_0dLXgNldA,NEPIAR ROAD,Al Noor Eye Clinic,24.9185017,66.9614126,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJZabXXDoVsz4RZOcj6Q5D3vI,BALDIA TOWN,Aga Khan University Hospital Medical Centre Baldia Town Laboratory Collection Unit,24.9171473,66.9622357,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJubz2TgdBsz4RdZB8Cog1aAY,BALDIA TOWN,KhanQah Mulana abdul tawab shamzai,24.9178046,66.9629681,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJHT3kmdBqsz4RqxRuWjvQzOE,SAEEDABAD NO.9,Arain Welfare Hospital (Baldia 9 no),24.9383037,66.95882259999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ_zkqnNBqsz4RshVn_UQJOSk,SAEEDABAD NO.9,Qazi General Hospital,24.9388981,66.9591174,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJL6kJS89rsz4Rxvxr9x_Vq8o,SAEEDABAD NO.9,جمیلا کوثر میڈیکل سینٹر J.K Medical Center,24.9373505,66.9559671,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ18MmptBqsz4RgyhMSUUEkm0,SAEEDABAD NO.9,Qasmi Medical Centre,24.93774179999999,66.9576288,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ-TOqutBqsz4R8OsjTTReM80,SAEEDABAD NO.9,Mehmood Medical Centre,24.9380408,66.9580313,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJpaYBK-Jrsz4RSfkjSCvYsAw,SAEEDABAD NO.9,Zia Dental Care ضیاء ڈینٹل کیئر,24.9382935,66.9579755,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJybxwjdBqsz4RpM8pOy4zOro,SAEEDABAD NO.9,Mashriqi Yoonani Dawakhana And Pansar Store,24.9377711,66.9594002,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJmezvpcxrsz4RzWPnHH-Pd80,SAEEDABAD NO.8,A.R.E diagnostic center,24.9363017,66.96146209999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJDWvkd1hrsz4RveDbn_6mEvI,SAEEDABAD NO.9,Amin Eye Clinic,24.9404259,66.9593785,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJv_zRNwBrsz4Rikr62-EtsfM,SAEEDABAD NO.9,jumma Gul foundation hospital,24.94148,66.95854229999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJc0l3fjgVsz4RNnI-uGNazBI,BALDIA TOWN,Al Rehman Medical Lenter,24.9164778,66.9745892,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJJ3a2eDgVsz4RIf3_B5VOEYU,BALDIA TOWN,Gul Poly Clinic,24.9166755,66.9748728,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJSXUouTgVsz4R_KFTtbHglso,RASHEEDABAD,Khairunisa Ahmed Eye Hospital,24.914395,66.973676,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJDeFciSkVsz4R3tx93N-tSg8,MUHAJIR CAMP,Public Healthcare Center (Salman Brothers),24.9101645,66.9596001,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJu77-2DoVsz4RuIU0swzBW3s,BALDIA TOWN,ibraheem welfare,24.91478189999999,66.9640229,OPERATIONAL,"hospital, health, point_of_interest, establishment"
