Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJ-2s0MQBBsz4R4VciyRmQ5v0,SURJANI TOWN,Hassan medical center,25.031311,67.0676011,OPERATIONAL,hospital
ChIJ75WKBABBsz4RxYzIdvr3OyM,SURJANI TOWN,M.M HEALTHCARE CENTER,25.0231876,67.0648668,OPERATIONAL,hospital
ChIJ53qC9ytDsz4RxLeYyhMGZjg,SURJANI TOWN,Ayesha medical Center,25.0391351,67.0663549,OPERATIONAL,hospital
ChIJT6lo7ENBsz4RgcKeIC3BaH8,SURJANI TOWN,Barkhia Memorial Hospital,25.0205972,67.0752013,OPERATIONAL,hospital
ChIJQWCnDB9Bsz4RVwyYR0rIKRI,SURJANI TOWN,Saleem Medical Center,25.0307297,67.0677615,OPERATIONAL,hospital
ChIJi9BARQBBsz4RZHl5F4r3jPo,SURJANI TOWN,Halal Medical Center,25.0151914,67.0568535,OPERATIONAL,hospital
ChIJfxKCnqZBsz4Rq7H5jf7Az0w,SURJANI TOWN,Hanif hospital,25.0080868,67.071835,OPERATIONAL,hospital
ChIJt7Hp-j1Bsz4RRKmVbIhmqdo,SURJANI TOWN,Eashal Health & Daignostic Center,25.0069486,67.0709324,OPERATIONAL,hospital
ChIJwSqjPgBBsz4RPEYxQ5HXI4I,SURJANI TOWN,Sahar Clinic,25.014059,67.0604802,OPERATIONAL,hospital
ChIJ3YsEYudBsz4Rl6qr4nTaTyM,SURJANI TOWN,Adil clinic,25.0119529,67.0696456,OPERATIONAL,hospital
ChIJOeFEZi5Bsz4RDuVNK5-ImAo,SURJANI TOWN,Surjani Clinic,25.0284345,67.0713426,OPERATIONAL,hospital
ChIJj3CpGwhBsz4RUmCEJzV6kCE,SURJANI TOWN,Ilyas Clinic,25.0151009,67.059908,OPERATIONAL,doctor
ChIJrWgGgmlBsz4RJ_XYlcRnwGo,SURJANI TOWN,Iftikhar Clinic,25.018529,67.0673558,OPERATIONAL,doctor
ChIJX7sbWGtBsz4RX92f_j0X1W0,SURJANI TOWN,Maaz Homoeopathic Clinic,25.0278047,67.0718214,OPERATIONAL,doctor
ChIJNWMJvG5Bsz4RMpiD_deIkxI,SURJANI TOWN,Khan Medical & General Store,25.0184551,67.0631592,OPERATIONAL,pharmacy
ChIJt8ASwF1Bsz4RTS-LG0F1IJE,SURJANI TOWN,Feroze Medicos,25.0229018,67.0711576,OPERATIONAL,pharmacy
ChIJS6Xva-RBsz4RJcuD6RYRZVY,SURJANI TOWN,Aslam Medical & General Store,25.0186182,67.0632287,OPERATIONAL,pharmacy
ChIJgT2tD2hBsz4REEjuzk2bJfg,SURJANI TOWN,Ghousia medical and cosmetics easy paisa shop,25.0350418,67.0701893,OPERATIONAL,pharmacy
ChIJ2Wbpyy9Bsz4RJKg5UhVFDIw,SURJANI TOWN,New Bilal Medical & General Store,25.0208965,67.0681171,OPERATIONAL,pharmacy
ChIJd_c4PmhBsz4RUhcie4e5JZ4,SURJANI TOWN,Bilal Medical Store,25.0225979,67.0693089,OPERATIONAL,pharmacy
ChIJ9eXkSq9Bsz4RP89gGOrgJ8A,SURJANI TOWN,m.a medical and general store,25.0208929,67.0625156,OPERATIONAL,pharmacy
ChIJF2sgOmhBsz4RoCR9hAq2mUI,SURJANI TOWN,Alshifa Medical Store,25.0220312,67.0691771,OPERATIONAL,pharmacy
ChIJm4BmOSxBsz4ReUBchfX58VE,SURJANI TOWN,Bismillah,25.0347507,67.0663833,OPERATIONAL,hospital
ChIJv402iVxBsz4R8jUBXvrpd4E,SURJANI TOWN,Ali Medical Center & Maternity Home,25.0326746,67.0884004,OPERATIONAL,hospital
ChIJ7YT0EYhHsz4R5z30hPrglJo,SURJANI TOWN,"HELP-MCH center, KKB",25.0314741,67.0978495,OPERATIONAL,hospital
ChIJ-cwyualGsz4RNq57-k08Y8E,SURJANI TOWN,Dr. Hisham Family Clinic,25.0387962,67.1019598,OPERATIONAL,hospital
ChIJM8CbRFVHsz4RFQdCM_GV5fc,SURJANI TOWN,Roshan Clinic (Sahir Lodhi Foundation),25.0267301,67.09416,OPERATIONAL,hospital
ChIJcaRSV5VFsz4R-SXV8MTzXN8,SURJANI TOWN,Mitthi Bai Hajiani Memon Maternity & Medical Center,25.0454671,67.1009802,OPERATIONAL,hospital
ChIJTWnyKHpBsz4RpsSiXiQEbDg,SURJANI TOWN,Al shifa clinic,25.0269223,67.0813235,OPERATIONAL,doctor
ChIJz96GlldHsz4Rl53Wa7BiK6Y,SURJANI TOWN,Mashallah medical,25.0368902,67.0943577,OPERATIONAL,pharmacy
ChIJocIeqgBHsz4RYrO1ThIkWBc,SURJANI TOWN,khawaja faraz medical,25.0324571,67.0956088,OPERATIONAL,pharmacy
ChIJddvhht1Bsz4RT1uBBISPsd4,SURJANI TOWN,Roshan medical,25.0329268,67.0885025,OPERATIONAL,pharmacy
ChIJeSePTmJHsz4Rl0m6nPu7-pI,SURJANI TOWN,Ishaq Barqi Clinic,25.032522,67.0956092,OPERATIONAL,hospital
ChIJXwOcP6tGsz4R6qTr5-OMq0E,SURJANI TOWN,Ghazi Clinic,25.0354216,67.0954364,OPERATIONAL,hospital
