Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJgXh2UO5Gsz4RQFdn_7foDpE,GULSHAN-E-MAYYMAR,Maymar Medical Centre,25.0145798,67.1275163,OPERATIONAL,hospital
ChIJqTxcwv5Hsz4RtWQX6wPK9X0,NEW SUBZI MANDI,Sehat Medical Centre Dr. Lateef,24.994047,67.1585403,OPERATIONAL,hospital
ChIJLc5ztnBHsz4RqN5jSRBdCo8,GULSHAN-E-MAYYMAR,Pasha clinic,25.019084,67.1276852,OPERATIONAL,hospital
ChIJCSm0sv5Gsz4RchZCjUQUNsQ,Faqeera Goth,"Ahmed Medical Center, Karachi",25.0047945,67.1356557,OPERATIONAL,hospital
ChIJr9e7mpRGsz4RfnsgoNmhYFs,GULSHAN-E-MAYYMAR,Dr.Summera’s Clinic,25.0193773,67.1263491,OPERATIONAL,hospital
ChIJ28YtW_FHsz4RGEoiFiFA2uc,Faqeera Goth,Insaf medical story and clinic,25.0101772,67.1482407,OPERATIONAL,hospital
ChIJcaHFN-dHsz4RvTfny-OmuYU,GULSHAN-E-MAYYMAR,Tasmiya Hospital,25.0158238,67.1273192,OPERATIONAL,hospital
ChIJCwoDuDNHsz4RCm32L_SDTdI,Faqeera Goth,Emaan Medical Center ایمان میڈیکل سنٹر,25.0076875,67.1388125,OPERATIONAL,hospital
ChIJJycLeMJHsz4RmjUA1sxYD8Y,Faqeera Goth,Shinwari clinic .Dr.syed syed Akbar shinwari,25.014989,67.1515086,OPERATIONAL,hospital
ChIJl-U2iPhHsz4Riarj0kOIFVM,Faqeera Goth,IBN-E-ZAMAN HOSPITAL,25.0032151,67.1369376,OPERATIONAL,hospital
ChIJHQJ7NK1Hsz4RKenxUqHBBqA,NEW SUBZI MANDI,Taha Medical Center,25.003537,67.1519534,OPERATIONAL,hospital
ChIJCxRxe9NHsz4RE9ynNmqADRg,GULSHAN-E-MAYYMAR,Maymar veterinary clinic,25.0119294,67.129183,OPERATIONAL,doctor
ChIJ71jMBzVHsz4R_Lcx6eRxsUI,Faqeera Goth,Sehat Kahani clinic,25.0058831,67.1352491,OPERATIONAL,doctor
ChIJd6jo3uxHsz4Rwzeu9v4pQYM,Faqeera Goth,Al-qazi medicos & general store,25.0096319,67.1428719,OPERATIONAL,pharmacy
