Grid Name,Latitude,Longitude
Grid-1-1,24.698307,66.624666
Grid-1-2,24.698307,66.642666
Grid-1-3,24.698307,66.660666
Grid-1-4,24.698307,66.678666
Grid-1-5,24.698307,66.696666
Grid-1-6,24.698307,66.714666
Grid-1-7,24.698307,66.732666
Grid-1-8,24.698307,66.750666
Grid-1-9,24.698307,66.768666
Grid-1-10,24.698307,66.786666
Grid-1-11,24.698307,66.804666
Grid-1-12,24.698307,66.822666
Grid-1-13,24.698307,66.840666
Grid-1-14,24.698307,66.858666
Grid-1-15,24.698307,66.876666
Grid-1-16,24.698307,66.894666
Grid-1-17,24.698307,66.912666
Grid-1-18,24.698307,66.930666
Grid-1-19,24.698307,66.948666
Grid-1-20,24.698307,66.966666
Grid-1-21,24.698307,66.984666
Grid-1-22,24.698307,67.002666
Grid-1-23,24.698307,67.020666
Grid-1-24,24.698307,67.038666
Grid-1-25,24.698307,67.056666
Grid-1-26,24.698307,67.074666
Grid-1-27,24.698307,67.092666
Grid-1-28,24.698307,67.110666
Grid-1-29,24.698307,67.128666
Grid-1-30,24.698307,67.146666
Grid-1-31,24.698307,67.164666
Grid-1-32,24.698307,67.182666
Grid-1-33,24.698307,67.200666
Grid-1-34,24.698307,67.218666
Grid-1-35,24.698307,67.236666
Grid-1-36,24.698307,67.254666
Grid-1-37,24.698307,67.272666
Grid-1-38,24.698307,67.290666
Grid-1-39,24.698307,67.308666
Grid-1-40,24.698307,67.326666
Grid-1-41,24.698307,67.344666
Grid-1-42,24.698307,67.362666
Grid-1-43,24.698307,67.380666
Grid-1-44,24.698307,67.398666
Grid-1-45,24.698307,67.416666
Grid-1-46,24.698307,67.434666
Grid-1-47,24.698307,67.452666
Grid-1-48,24.698307,67.470666
Grid-1-49,24.698307,67.488666
Grid-1-50,24.698307,67.506666
Grid-1-51,24.698307,67.524666
Grid-1-52,24.698307,67.542666
Grid-1-53,24.698307,67.560666
Grid-1-54,24.698307,67.578666
Grid-1-55,24.698307,67.596666
Grid-1-56,24.698307,67.614666
Grid-1-57,24.698307,67.632666
Grid-1-58,24.698307,67.650666
Grid-1-59,24.698307,67.668666
Grid-1-60,24.698307,67.686666
Grid-1-61,24.698307,67.704666
Grid-1-62,24.698307,67.722666
Grid-2-1,24.716307,66.624666
