Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJed1apAmzGTkRuLKjik5gUcY,AL-FAISAL TOWN,EPI Center BHU Thay Sahran,31.153116,74.309071,hospital,OPERATIONAL,"5835+6JW, Unnamed Road",4.0,1
ChIJBckMOpWxGTkRX5_odPvlKuI,AL-FAISAL TOWN,Hammad Tariq Medical Store,31.1498279,74.3248073,pharmacy,OPERATIONAL,"48XF+WWM Thy sakham, Kasur",1.5,2
ChIJFSN8KYSxGTkR6sP942Al1Jk,AL-FAISAL TOWN,Shifayab Pharmacy شفا یاب فارمیسی,31.149811,74.3249333,pharmacy,OPERATIONAL,"P/O Same tehsil and District, Theh Sheikhum, Kasur",5.0,2
ChIJCfXIaHCxGTkRyt1gBFatHSk,AL-FAISAL TOWN,Awais Pharmacy,31.1502101,74.32469189999999,pharmacy,OPERATIONAL,"582F+3V8, Kot Radha Kishan Rd, Shaikham Kalan",5.0,1
ChIJo6DzaHCxGTkRvgFuZ0emoXo,AL-FAISAL TOWN,Al-Reheem Dental Clinic & Lab,31.1502067,74.3248636,dentist,OPERATIONAL,"582F+3WH, Kot Radha Kishan Road, Shaikham Kalan",5.0,1
ChIJ____JvuxGTkRrwANZAYZmhE,AL-FAISAL TOWN,Rural Health Center,31.1955463,74.3226373,hospital,OPERATIONAL,"58WF+636, Kasur - Raiwind Rd, Rao Khan Wala",0.0,0
ChIJ7Wm7oeaxGTkRTkp4sZnAX8g,AL-FAISAL TOWN,EPI Center BHU Orra,31.198141,74.32887,hospital,OPERATIONAL,"58XH+7G5, Unnamed Road, Rao Khan Wala",0.0,0
ChIJlU8-kAaxGTkRfL5nyL2_xb8,AL-FAISAL TOWN,Ashraf Medical Store,31.1902692,74.3264869,hospital,OPERATIONAL,"Main Bazar, Rao Khan Wala",0.0,0
ChIJl2dyIO-xGTkR8iLD58ACvo8,AL-FAISAL TOWN,Naseer Pharmacy,31.1905021,74.3280758,pharmacy,OPERATIONAL,"58RH+664, Kasur - Raiwind Rd, Rao Khan Wala",5.0,2
ChIJ3aTXJ0qxGTkRMv5oeaDth8Q,AL-FAISAL TOWN,S M Medical Store,31.190502,74.3280757,pharmacy,OPERATIONAL,"58RH+57R, Unnamed Road, Rao Khan Wala",0.0,0
