Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJM4uSX4MaGTkRdxTDF-2W05Q,SUKH NEHAR STOP,Chanan Din Memorial Welfare Hospital,31.6047163,74.3998567,hospital,OPERATIONAL,"Service Rd, Lakhodher, Lahore",5.0,3
ChIJDylbvJwaGTkRE30Dhel7NkU,SUKH NEHAR STOP,Public Welfare Hospital & Maternity Centre,31.6023559,74.4007577,hospital,OPERATIONAL,"Mehmood Booti, Lahore",4.0,1
ChIJq-2VowMQGTkRyJU-D6ULaWY,HARBANS PURA RIGHT,Mukhtaran Rafiq Welfare Hospital,31.5756642,74.4140591,hospital,OPERATIONAL,"146,Saeed Block Canal Bank Housing Scheme, Fatehgarh, Lahore",3.8,77
ChIJMd9qwJMRGTkRceN4dDdr7hA,HARBANS PURA RIGHT,Miraj Din Welfare Hospital,31.5761202,74.4140568,hospital,OPERATIONAL,"HCG7+CJV, Unnamed Road, Godianwala Canal Bank Housing Scheme, Lahore",5.0,1
ChIJwVvRLdcPGTkRt35ptKP0298,TAJ BAGH RIGHT,Lal Din welfare Foundation,31.5701876,74.4431895,hospital,OPERATIONAL,"Mehtab Park Street, 20 Main Bazar Canal Park, Asim Town, Lahore",4.0,3
ChIJI6RlcwIQGTkRoaOPie0Umz0,HARBANS PURA RIGHT,Fazal Din Welfare Hospital,31.5720551,74.4131148,hospital,OPERATIONAL,"HCC7+R6H, Fatehgarh, Lahore",4.3,4
ChIJt8p2_OAPGTkRglk-gRbl3i8,HARBANS PURA LEFT,Gulzar Majeed Welfare Trust Hospital,31.5699375,74.4265625,hospital,OPERATIONAL,"Harbanspura, Lahore",4.2,93
ChIJ2a6a8O0bGTkRjmhOZhsaWNA,HARBANS PURA RIGHT,Al Mayeda Welfare Medical Center,31.5751711,74.42517450000001,hospital,OPERATIONAL,"Iftkhar Park, Madina Colony, Lahore",0.0,0
ChIJ9QGSdaIRGTkRMYBlrxD9mwY,HARBANS PURA RIGHT,HAFIZ MEDICAL CENTER,31.5882203,74.4304885,hospital,OPERATIONAL,"HCQJ+75Q, chungi warra sattar near Quaid e azam interchange, GT Rd, Wara Sittar, Lahore",4.3,3
ChIJfRKg6W8RGTkRLj8KtEDAudQ,SUKH NEHAR STOP,Amanat Clinic & Maternity Home,31.6037962,74.4091833,hospital,OPERATIONAL,"Haidri St, Mominpur, Lahore",5.0,18
ChIJAzFvtvwPGTkRsjoOryiwh4Y,HARBANS PURA LEFT,"Canal Medical Center, New Canal Park, Lahore",31.5678517,74.41695469999999,hospital,OPERATIONAL,"HC98+4QW, Sami Town Taj Bagh Scheme, Lahore",4.3,3
ChIJE061owMQGTkR3Js20AwLmJo,HARBANS PURA RIGHT,MUKHTARAN RAFIQ FOUNDATION,31.5720837,74.4129713,hospital,OPERATIONAL,"146, Saeed Block Canal Bank Housing Scheme, Fatehgarh, Lahore",4.0,13
ChIJE5lHjtERGTkRjaisS4jzI8c,HARBANS PURA RIGHT,Dr. Faheem Qaiser Clinic,31.5841777,74.409032,doctor,OPERATIONAL,"Main Sue Wala Rd, Gate No.1, near Shalimar Housing Scheme, Lahore",0.0,0
ChIJA0qusHERGTkRMW0OiehPLGM,HARBANS PURA RIGHT,Al hussain medical and Dental clinic,31.5754375,74.4254375,doctor,OPERATIONAL,"Harbanspura, Lahore",3.0,2
ChIJ5xrhLC4RGTkRxfDM2rGyke4,HARBANS PURA RIGHT,Dr Riaz subhani clinic,31.5822295,74.4175814,doctor,OPERATIONAL,"HCJ9+W29, Salamatpura Lahore",5.0,1
ChIJE7T2bO4RGTkRHQA2FTxIdx8,HARBANS PURA RIGHT,Kamran Clinic Homeopathic,31.5819352,74.4162052,doctor,OPERATIONAL,"HCJ8+QFH, Street No. 1, Salamatpura Lahore",4.5,2
ChIJzVux62wRGTkRgsdcRF6C-JA,HARBANS PURA RIGHT,Ayesha Family and Gynae Clinic,31.584332,74.4072485,doctor,OPERATIONAL,"HCM4+PVQ, Zaitoon Colony, Lahore",0.0,0
ChIJS0WM2YoRGTkR-FXLwSZQvs4,HARBANS PURA RIGHT,Bismillah Medicle Store,31.5919172,74.42161759999999,pharmacy,OPERATIONAL,"HCRC+QJ9, Wahga Town, Lahore",5.0,1
ChIJZc6UEAARGTkRT2dkDFIfMis,HARBANS PURA RIGHT,Mushtaq Pharmacy & General Store,31.5876535,74.4126605,pharmacy,OPERATIONAL,"Grand Trunk Rd, Daroghe Wala, Lahore",4.8,13
ChIJ69Un5ggQGTkRSwTKNmxFWOM,HARBANS PURA RIGHT,Ahmed Medical Store,31.5844857,74.409562,pharmacy,OPERATIONAL,"HCM5+QRV, Sue Wala Rd, Zaitoon Colony Lahore",4.6,5
ChIJZ-XafxIRGTkRIFU6P6ErCUk,SUKH NEHAR STOP,Mian Medical Store,31.5975826,74.41331699999999,pharmacy,OPERATIONAL,"HCX7+28P, Mominpura Rd, Wahga Town, Lahore",5.0,2
ChIJEX2SJi4RGTkRo-q9Zw1wr6I,HARBANS PURA RIGHT,Waseem Pharmacy & General Store,31.5853386,74.4227595,pharmacy,OPERATIONAL,Shop 3 Kareem Nagar Salamatpura Near Jamia Masjid Hanfia Ghousia Kareem Nagar,5.0,2
ChIJOwL1dGkRGTkRHFg7b4FgCLk,HARBANS PURA RIGHT,DocMorris Pharma Plus,31.5895096,74.4258856,pharmacy,OPERATIONAL,"Orange line Station number 2, GT Rd, Lahore",4.2,5
