Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJMSSGOwCpGTkRKJ1XVoXZBvU,MAIN BAZAR QAINCHI,Ayan welfare dental & medical complex,31.3737173,74.3644609,hospital,OPERATIONAL,"99F7+FQP, Kahna Nau, Kahna",5.0,1
ChIJV1IDVTGoGTkRMDw3EPh1Q_Q,MAIN BAZAR QAINCHI,Kahna Nau Hospital,31.3708588,74.36480829999999,hospital,OPERATIONAL,"99C7+8WV, Service Road, Kahna Nau, Lahore",3.8,61
ChIJoZMRYlepGTkRVBzXvm2K54U,SUNDAR,Fiza Hospital & Maternity Center,31.37337609999999,74.3659012,hospital,OPERATIONAL,"99F8+992, Kahna Nau, Lahore",3.0,2
ChIJMV1i3yuoGTkReDade95Qu4k,SUNDAR,Yousaf Medical Center,31.3834754,74.3645943,hospital,OPERATIONAL,"99M7+9RX, Gajju Matah, Lahore",4.0,4
ChIJG-zwqLsHGTkRIvkV_TMevjg,SUNDAR,Wajid hospital,31.3834918,74.36426349999999,hospital,OPERATIONAL,"sua, 23km Lahore – Kasur Rd, Gajju Matah",4.6,11
ChIJm6IDbjGoGTkRcagwqgnHTBk,MAIN BAZAR QAINCHI,Khawaja Hospital,31.3773079,74.3638998,hospital,OPERATIONAL,"24 KM Lahore – Kasur Rd, Kahna Nau, Kahna",4.5,16
ChIJna9HDkSpGTkRTz68FS_XtVE,SUNDAR,Aamna Clinic,31.3733163,74.36623999999999,hospital,OPERATIONAL,"Aamna Clinic, Lahore – Kasur Rd, near Gourmet Bakery, Purani Chungi Kahna Nau, Lahore",4.4,7
ChIJG53bRrepGTkRChco6oHY7qY,SUNDAR,Furqan Hospital,31.3834552,74.3646382,hospital,OPERATIONAL,"99M7+9RX, Gajju Matah, Lahore",4.3,50
ChIJr7XkCjGoGTkRGlWyJHc7P-g,SUNDAR,Areeb Hospital & Maternity Home,31.3735897,74.3661573,hospital,OPERATIONAL,"Lahore-Kasur Road, Kahna Nau, Kahna",4.5,55
ChIJhUUZxbmpGTkR4V7F5VtC_bo,SUNDAR,Infah Medical Center and Pharmacy,31.372375,74.365983,hospital,OPERATIONAL,"Infah Medical Center and Pharmacy Rayyan Plaza, Kahna Nau, Lahore",0.0,0
