Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJoe65LJYpGTkROTsCBboot_E,LIBERTY MARKET,Ahsan Surgical Center,31.9813125,74.22156249999999,hospital,OPERATIONAL,"New Model Town Madni Street New Model Town, Kāmoke",5.0,4
ChIJA2pxiDgpGTkRYrB55RtfV9Q,LIBERTY MARKET,Dr Abdullah sajid Pulmonologist,31.9749452,74.223984,hospital,OPERATIONAL,"Pasban medical center, Alamgir Road، Kāmoke",5.0,8
ChIJuay3KXApGTkRa4yQXUmuEEI,LIBERTY MARKET,Ali Family care hospital,31.9683719,74.2279689,hospital,OPERATIONAL,"X69H+85X, Sabzi Mandi Link Rd, Kāmoke",0.0,0
ChIJX_s2IPUpGTkR2WAX33RJ-Bc,LIBERTY MARKET,Al Falah Gyne Clinic,31.9792898,74.2316326,hospital,OPERATIONAL,"Mohallah Salamat Pura, Harrar Road, near Imam Bargha Jafria, Kāmoke",0.0,0
ChIJg_rEdeYpGTkRRR16Eu4QxAk,LIBERTY MARKET,Ayesha Clinic,31.97595429999999,74.2276657,hospital,OPERATIONAL,"X6GH+93M, Kāmoke",5.0,3
ChIJO9o2BeIpGTkRvcbpgD3PC4c,LIBERTY MARKET,Shamas Clinic,31.9755104,74.2186565,hospital,OPERATIONAL,"X6G9+6F3, Kāmoke",0.0,0
ChIJqxBZBOQpGTkR-0Ns1joarrI,LIBERTY MARKET,Public Pharmacy kamonke,31.975377,74.2254312,hospital,OPERATIONAL,"Tipu Bazaar, Kāmoke",5.0,1
ChIJcTocM-EpGTkRd2ajXk5Ayac,LIBERTY MARKET,Asad Medical Centre,31.9734607,74.2237675,hospital,OPERATIONAL,"X6FF+9GJ, Mandiala Rd, Kāmoke",3.5,2
ChIJFYPHydgpGTkR53iDPt7fl9s,LIBERTY MARKET,Fatima Minhaj Medical Center,31.9712674,74.2288599,hospital,OPERATIONAL,"1 Mandiala Rd, near Railway Phatak, Kāmoke",5.0,1
ChIJ89h0fwApGTkRHAoIanTpuO8,LIBERTY MARKET,The Medicare laboratory,31.9649395,74.2333395,hospital,OPERATIONAL,"X67M+X8G, Tibba Muhammad Nagar, Kāmoke",0.0,0
ChIJKer2l-QpGTkRteRMvFHF40g,LIBERTY MARKET,Al-Murad Homoeo Clinic,31.969431,74.2228993,doctor,OPERATIONAL,"Street # 3 Virk Town, GT Rd, Kāmoke",5.0,3
