Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJ_y3IbNlTGDkRQGLiQVWMPjc,WALLED CITY,Noman pharmacy,31.2664375,74.1256875,pharmacy,OPERATIONAL,Rosa,0.0,0
ChIJzbEfyP9TGDkRZbBz2IfaT2c,WALLED CITY,Aslam Al-Shifa Medicos,31.2661137,74.1254557,pharmacy,OPERATIONAL,"748G+C5W, Manga - Raiwind Road, Manga Mandi, Kasur",5.0,2
ChIJBePMuJtTGDkRAqKeHAEyL-k,MAIN MARKET GULBERG,Zoha Hospital,31.257813,74.1632472,hospital,OPERATIONAL,"7557+47H, Manga - Raiwind Road, Raiwind, Manga Mandi",4.2,19
ChIJwVHVV_JTGDkRwuMqAs1_elI,MAIN MARKET GULBERG,"Punjab Social Security Health Management Company, Hospital",31.2613863,74.1442849,hospital,OPERATIONAL,"746V+HP3, Manga - Raiwind Road, Lahore",3.9,37
ChIJ1_u3xDBTGDkRw-FkBuutRsY,MUSLIM TOWN,Imran medical store,31.2653012,74.1263129,hospital,OPERATIONAL,"748G+4GG, Kot Radha Kishan Road, Rosa",0.0,0
ChIJyxBo5GFVGDkRyvs3mc1hmbU,MOZANG,EPI Center Govt. Mal Dispensary,31.3099971,74.1632455,hospital,OPERATIONAL,"8557+X7X, Sharif Medical City Rd, Lahore",5.0,1
ChIJyzXbSj5VGDkRbZy-CdqnNew,WALLED CITY,Qadri Medical store,31.2925248,74.15125019999999,pharmacy,OPERATIONAL,"75V2+2G2, Lahore",5.0,1
ChIJE6uGN_AHGTkRYs31MHBVHq8,KAHNA NOU,Tayyab Children & Family Care Clinic,31.3415977,74.1488459,hospital,OPERATIONAL,"Shop # 18 Main Boulevard, near Pearl Chowk, Block D New Lahore city society, Lahore",4.9,69
ChIJU5w-gaFVGDkR-mq_yRhRzks,SHALIMAR LINK ROAD,EPI Center BHU Rangeel Pur,31.3521053,74.1282402,hospital,OPERATIONAL,"942H+R7X, Sundar Raiwind Rd, Sundar Sharif, Sundar",0.0,0
ChIJtxGg4-hVGDkR3UyEcTcEg9M,KAHNA NOU,MEDILINX PHARMACY,31.3578331,74.1452353,pharmacy,OPERATIONAL,"Sultan Center, Islamnagar, Canal Bank Rd, near Bahria Town, Chimbranwali Jhuggi, Lahore",5.0,4
ChIJqZYaxN1TGDkRcwOEjqwPbos,GULBERG,Umer Shoaib Memorial Clinic,31.2536053,74.1829528,hospital,OPERATIONAL,"753M+C5W, Rohi Nala Bypass, Sundar Industrial Estate, Lahore",0.0,0
ChIJMZmA0uFTGDkRTYKrMBQC1pY,FEROZPUR ROAD (L.G.H),EPI Center BHU Babeliana,31.22932339999999,74.1906,hospital,OPERATIONAL,"65HR+P6H, Pattoki - Raiwind Rd, Raiwind",0.0,0
ChIJRYD961VTGDkR8DXyBmeGl1s,MOZANG,Bioron Medics Lahore,31.2687466,74.16754379999999,pharmacy,OPERATIONAL,"7599+F2V, Raiwind",5.0,3
ChIJn0t-mS1TGDkR1ICBajTQu88,THOKAR NIAZ BAIG,Ali Hospital,31.2448844,74.2142655,hospital,OPERATIONAL,"66V7+XP2, Raiwind",4.3,3
ChIJT8JzoTJTGDkRCiCKazKfOwA,THOKAR NIAZ BAIG,Arshad Medical Hall,31.2465968,74.2166589,hospital,OPERATIONAL,"66W8+JMM, Raiwind",5.0,4
ChIJF4DzH7lTGDkRcF4C9xZSDW8,THOKAR NIAZ BAIG,Nausha Poly Clinic,31.2533954,74.2138932,hospital,OPERATIONAL,"7637+9H2, Gulberg Town Raiwind",4.3,9
ChIJqerhSDlTGDkR01m7WuUkW70,THOKAR NIAZ BAIG,Ahmed Clinic and Maternity Home,31.2477854,74.2177442,hospital,OPERATIONAL,"66X9+439, Raiwind",0.0,0
ChIJsfxTaS1TGDkRZmKF3lkkwRE,THOKAR NIAZ BAIG,Dr Tahir Javed Hospital,31.2452422,74.21613889999999,hospital,OPERATIONAL,"Mian Jee Abdullah Rd, Raiwind 1st floor National Bank Railway Road, Raiwind",5.0,1
ChIJ0U3NBVOtGTkR8fABI4KHZMc,THOKAR NIAZ BAIG,"Waresa Islam Trust, Maternity Clinic",31.2551386,74.21838939999999,hospital,OPERATIONAL,"7649+392, Raiwind",3.5,2
ChIJbfwhJQBTGDkRqHMbjvgItag,THOKAR NIAZ BAIG,"Chaudhry Muhammad Akram Hospital, Awami Sehat Clinic",31.2483751,74.2116759,hospital,OPERATIONAL,"66X6+8MG, Sundar Raiwind Rd, Raiwind",0.0,0
ChIJG6fZBSxTGDkRsluQzBVgWIw,THOKAR NIAZ BAIG,ٹی ایچ کیو ہسپتال، رائیونڈ,31.2405849,74.21267,hospital,OPERATIONAL,Raiwind,3.9,88
ChIJNX4QyVRTGDkR3WM-8SxxL4s,THOKAR NIAZ BAIG,Ayesha sakeena medical complex hospital,31.249002,74.2110936,hospital,OPERATIONAL,"Sundar Raiwind Rd, near City marriage hall, Raiwind",5.0,1
ChIJLzPIfpVTGDkRZW-PcStEtic,THOKAR NIAZ BAIG,Rana Al Habib Memorial Hospital,31.2510381,74.210437,hospital,OPERATIONAL,"7626+C57, Kasur - Raiwind Rd, Raiwind, Lahore",3.0,5
ChIJkcrq-edTGDkRgVMKfCPPD3U,THOKAR NIAZ BAIG,Taha Medical Store,31.2356876,74.209302,hospital,OPERATIONAL,"Bhamby Road, Mission Colony Raiwind",0.0,0
ChIJX8HbMM2sGTkRIv35m3xjK-k,THOKAR NIAZ BAIG,khizar hayat clinic,31.2482598,74.2184331,hospital,OPERATIONAL,"66X9+893, Faqeer Hussain St, Kot Khazan Singh Raiwind",0.0,0
ChIJd2UYMnNTGDkR-EWueLxztB4,THOKAR NIAZ BAIG,Shahid Clinic (Dr.Shahid),31.2457452,74.2059644,doctor,OPERATIONAL,"66W4+79W Bus Station, Manga - Raiwind Road, Bahar Shah Colony Raiwind",0.0,0
ChIJu4yHGDNTGDkRBsI2OCigc4k,THOKAR NIAZ BAIG,Saad clinic,31.2463211,74.2128438,doctor,OPERATIONAL,"66W7+G4H, Sundar Raiwind Rd, Raiwind",5.0,1
ChIJU9KwowVTGDkRy5hhIgF9Q5o,THOKAR NIAZ BAIG,Adil Children Clinic,31.2460098,74.2132381,doctor,OPERATIONAL,"66W7+C75, Raiwind",4.5,2
ChIJDR6FPZ9TGDkR85Q5RqHPsoo,THOKAR NIAZ BAIG,Ali Pharmacy Branch 2,31.2466432,74.2055409,pharmacy,OPERATIONAL,"Manga Road, near General Bus Stand, Raiwind",5.0,3
ChIJi_E7OjBTGDkRKG0qe8Wfw0w,THOKAR NIAZ BAIG,Majeed medical and general store,31.2462019,74.2082492,pharmacy,OPERATIONAL,"Manga - Raiwind Road, raiwind, Raiwind",4.5,2
ChIJK25aTVpTGDkRdB8HStSN0ro,THOKAR NIAZ BAIG,Wasim Medical & General Store,31.2376542,74.2054816,pharmacy,OPERATIONAL,"66Q4+35G, Pattoki - Raiwind Rd, Raiwind",5.0,1
ChIJLVqI2QxTGDkRywMqa2yGhSQ,THOKAR NIAZ BAIG,Nadeem medical store,31.2374879,74.2063075,pharmacy,OPERATIONAL,"66P4+XGV, Pattoki - Raiwind Rd, Raiwind",0.0,0
ChIJJaetXMlTGDkRSRi_AIXA9vM,THOKAR NIAZ BAIG,Buukhari Medical & General Store,31.2461581,74.2085546,pharmacy,OPERATIONAL,Raiwind,5.0,2
ChIJiaWPp8NTGDkRx0MbmkdkJtg,THOKAR NIAZ BAIG,Save-On Pharmacy,31.2449667,74.2083935,pharmacy,OPERATIONAL,"Baba Bahar chowk, Manga - Raiwind Road, near veternary hospital, Rehmat Shah Colony Mohalla Ghauspura Raiwind",5.0,1
ChIJ48N8MjBTGDkRrrsncoyzkZ0,THOKAR NIAZ BAIG,Umer Veterinary Store,31.2460806,74.2089324,pharmacy,OPERATIONAL,"66W5+CHF, Manga - Raiwind Road, Raiwind",5.0,2
ChIJK_8KOzBTGDkRiVP5Gh5JDpc,THOKAR NIAZ BAIG,Siddiq Dental Clinic,31.2461284,74.2080569,dentist,OPERATIONAL,"66W5+C6M, Manga-Raiwind Rd, Raiwind, Bahar Shah Colony Raiwind, Lahore",4.5,2
ChIJ8QDzgElVGDkRzIef5ZBlCCc,ALLAMA IQBAL TOWN,Cancer Care Hospital & Research Centre,31.2873479,74.21246909999999,hospital,OPERATIONAL,"Off Rohi Nala Bypass, Lahore",4.5,234
ChIJS3ykLtNUGDkR6ub4lHq00co,NISHAT COLONY-CANTT,Begum Akhtar Rukhsana Memorial Trust Hospital Orchard,31.3169902,74.2174436,hospital,OPERATIONAL,"Bahria Hospital Orchard, Raiwind Rd, Bahria Orchard Central District Bahria Orchard, Lahore",3.9,24
ChIJz3IVMNNUGDkRDPBoPOVosH4,NISHAT COLONY-CANTT,Bahria Orchard Hospital,31.31686079999999,74.2172523,hospital,OPERATIONAL,"8688+PWR, Bahria Orchard Central District Bahria Orchard, Lahore",3.9,82
ChIJ1d6vMNNUGDkRUIretosTRfM,NISHAT COLONY-CANTT,Multi-Organ Transplant Unit and Centre for Liver and Biliary Sciences,31.3170056,74.2174607,hospital,OPERATIONAL,"Bahria International Hospital, Raiwind Rd, Bahria Orchard Central District Bahria Orchard, Lahore",4.3,17
ChIJtT7QvQ1VGDkRlzT7YurZ3c4,CLINIX,Adil medical store,31.2897617,74.18966370000001,pharmacy,OPERATIONAL,"Main Sundar Raiwind Rd, Bhai Kot, Raiwind",5.0,4
ChIJE6i7Fx5VGDkRPUhJ5ICsj-s,NISHAT COLONY-CANTT,Aga Khan University Hospital Pharmacy Medical Centre Shahra-e-Noor Jahan Lahore (Off-Campus),31.3025234,74.2056956,pharmacy,OPERATIONAL,"Shop No. 6, WB Mall, Block C/3, Gulberg III Scheme, Main Shahrah e Noor Jahan Near Liberty Chowk, Block G Bahria Orchard, Lahore",3.5,2
ChIJZbsPgA5VGDkRBjMclDVbrCE,JOHAR TOWN,Mehroz Pharmacy,31.3126024,74.201182,pharmacy,OPERATIONAL,"70 D block awami villas, Block D Bahria Orchard, Lahore",5.0,1
ChIJ9akdIeVVGDkRP9le0giYWz8,JOHAR TOWN,Hyatt Pharmacy,31.3126431,74.2016778,pharmacy,OPERATIONAL,"Plot 421, Bahria Orchard Block D Bahria Orchard, Lahore",4.0,2
ChIJabwhksysGTkREVpzCif6r_o,THOKAR NIAZ BAIG,"RHC - Rural Health Center, Raiwind",31.2512378,74.22003430000001,hospital,OPERATIONAL,"Civil Hospital, Raiwind Rd, Railway Colony Raiwind",4.4,7
ChIJt_w8b8ysGTkRq8JJK5DFip0,THOKAR NIAZ BAIG,Sharif Polyclinic And Lab,31.2515213,74.22171209999999,hospital,OPERATIONAL,"762C+JM4, Railway Station Rd, Raiwind",4.5,13
ChIJbXXxzLetGTkRZ0V-X2_GxJY,THOKAR NIAZ BAIG,AL RAHMAN Clinic and Diagnostic Center,31.26437749999999,74.2253638,hospital,OPERATIONAL,"Khara chowk, Raiwind Rd, behind Sonehri bank, Raiwind",5.0,6
ChIJW0NOMeIAGTkRY2uJnEy1GlQ,THOKAR NIAZ BAIG,Sharif Medical Center,31.2642886,74.2247314,hospital,OPERATIONAL,"khara chowk, Main Lahore Rd, Raiwind",4.9,34
ChIJQ06kKaCtGTkRpD33zbEKLgw,THOKAR NIAZ BAIG,Dr tahir clinic,31.2443109,74.2233704,hospital,OPERATIONAL,"66VF+P8H, Unnamed Road, Basti Amin Pura Basti Aminpura Raiwind",4.0,3
ChIJcQjEaQCtGTkR-bWFM572O6Y,THOKAR NIAZ BAIG,Al Rehman Health Clinic,31.2520493,74.2216543,hospital,OPERATIONAL,"762C+RM6, Raiwind",0.0,0
ChIJ4ReEwFGtGTkRgpWxuCsltwQ,THOKAR NIAZ BAIG,Momin medical & General store,31.2560105,74.2313406,hospital,OPERATIONAL,"bai pas, Sue-e-Asal Road، Raiwind",3.0,1
ChIJr-O0JypTGDkRZ1J65IZDy6Q,THOKAR NIAZ BAIG,Faizan Hospital Surgical And Medical Centre Railway Road Raiwin,31.2511919,74.2107892,hospital,OPERATIONAL,"31.54972, Raiwind, Lahore",5.0,1
ChIJzTMbhD6tGTkReWFO5N92wVo,THOKAR NIAZ BAIG,"Taimoor clinic raiwind ,lahore,pakistan",31.2562803,74.2188254,doctor,OPERATIONAL,"7649+GG8, Unnamed Road, Raiwind",0.0,0
ChIJ1Uc6TQKtGTkRGst-WX8UDCs,THOKAR NIAZ BAIG,Nadeem Homeopathic Clinic & Store,31.2550443,74.2242479,doctor,OPERATIONAL,"764F+2P3, Raiwind",5.0,3
ChIJ53e3wTJTGDkRxALtSXRA1Js,THOKAR NIAZ BAIG,Bukhari Clinic,31.2479092,74.21653239999999,doctor,OPERATIONAL,"Shanny Qasai Wala Gala, Raiwind",5.0,2
ChIJNcFuHAhVGDkRJdguYwGTAQk,THOKAR NIAZ BAIG,Bodeclinic | Dr. Allah Nawaz Sultan | Child Specialist | Neontologist,31.2571639,74.2227015,doctor,OPERATIONAL,"7 Commercial Central, Raiwind Rd, Bahria Orchard, Lahore",5.0,3
ChIJdVODrjJTGDkRTBtTlLtomQU,THOKAR NIAZ BAIG,Adnan Dental Health care,31.2469268,74.21743699999999,doctor,OPERATIONAL,"66W8+QXG, Raiwind",5.0,1
ChIJCacgbH-tGTkRcB2MT4cxZ94,THOKAR NIAZ BAIG,A & H Medical & Diagnostic Center,31.2611856,74.2249107,doctor,OPERATIONAL,"766F+GX9, Raiwind Rd, Raiwind",0.0,0
ChIJ8-ZH7S1TGDkRt87gNZgJhdE,THOKAR NIAZ BAIG,Jinnah Medical & General Store,31.2451209,74.2134825,pharmacy,OPERATIONAL,Raiwind,5.0,1
ChIJdaq3mtFTGDkRqA3-GX-fU5E,THOKAR NIAZ BAIG,Ali Medical general store,31.2459727,74.2130244,pharmacy,OPERATIONAL,"66W7+96V, Sundar Raiwind Rd, Raiwind",5.0,7
ChIJSfN3ei1TGDkRkR21WGWynQE,THOKAR NIAZ BAIG,Mubarak Medical Store,31.2454741,74.2155164,pharmacy,OPERATIONAL,"66W8+56J, Raiwind Rd, Raiwind",4.0,1
ChIJ3e0bgyhTGDkRaHLc7vR5P0w,THOKAR NIAZ BAIG,Al Rehman Medicol Store,31.2447706,74.2137422,pharmacy,OPERATIONAL,"66V7+WF5, Unnamed Road, Raiwind",5.0,1
ChIJAwALjS1TGDkROCI9uhuQd-A,THOKAR NIAZ BAIG,ISLAM MEDICAL STORE,31.2453411,74.2136848,pharmacy,OPERATIONAL,"Shop No 1, Sunder Road, Near Bilal Masjid, Raiwind",0.0,0
ChIJG2DOPGhTGDkRupYcWBqd46E,THOKAR NIAZ BAIG,Jamil pharmacy,31.2429439,74.21532959999999,pharmacy,OPERATIONAL,"66V8+547, Kasur - Raiwind Rd, Raiwind",5.0,3
ChIJLy8Woh1TGDkR27Aa6tXpMeM,THOKAR NIAZ BAIG,Islam Medical Store,31.2496223,74.2177531,pharmacy,OPERATIONAL,"66X9+R4R Master, Arif Road, Railway Colony Raiwind",4.5,4
ChIJ-_59KnRTGDkRMT3mSCCYva4,THOKAR NIAZ BAIG,Rao Medical store,31.2428637,74.2154238,pharmacy,OPERATIONAL,"66V8+45J, Kasur - Raiwind Rd, Raiwind",4.7,3
ChIJU1z40cqsGTkRbbrKAzJ3gz8,THOKAR NIAZ BAIG,Nadeem Medical & General Store,31.2555045,74.2182697,pharmacy,OPERATIONAL,"7649+58R عبداللہ, جی روڈ, Raiwind",4.3,6
ChIJfVE6lsmsGTkRR__d4dEGplA,THOKAR NIAZ BAIG,Fauji Medical Store,31.2566843,74.2251625,pharmacy,OPERATIONAL,"764G+M3F Mian, Abdulla Jee Rd, Raiwind",0.0,0
