Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJP-2t7VoDGTkRktlXcWQUE3o,OLD ANARKALI,Al Sheikh Welfare Medical Complex,31.54507409999999,74.3021469,hospital,OPERATIONAL,"71 Poonch Rd, New Islamia Park Arya Nagar, Lahore",4.3,15
ChIJLcmCdNwDGTkRnb4vn-Nvieo,THE MALL ROAD,Doctors Medical Centre,31.5500063,74.2766035,hospital,OPERATIONAL,"26 ‏Main Blvd Gulshan-e-Ravi, G Block Block G Gulshan-e-Ravi, Lahore",3.5,22
ChIJtwRnks0DGTkR4ElhdwFClJ0,THE MALL ROAD,DMC Gulshan - e - Ravi,31.55003169999999,74.2762502,hospital,OPERATIONAL,"8G ‏Main Blvd Gulshan-e-Ravi, G Block Block G Gulshan-e-Ravi, Lahore",5.0,4
ChIJhZfgNikDGTkRJ8dn1uyHTlc,THE MALL ROAD,Jamiat Hospital,31.54672,74.26973199999999,hospital,OPERATIONAL,"258 ‏Main Blvd Gulshan-e-Ravi, H Block Gulshan-e-Ravi, Lahore",4.1,39
ChIJHRvoRV8DGTkRGtfXLrz0TO0,NISHTAR COLONY,Umair Medical Centre,31.5415168,74.31074439999999,hospital,OPERATIONAL,"G8R6+J75، Umair Medical Centre , Shama Road, Rasool Park , Samanabad, Lahore, Rasool Park, Lahore",4.4,12
ChIJPYARtKkdGTkR_wvpuWQfW_s,RAIWIND ROAD,Ali welfare hospital lahore,31.577646,74.29654599999999,hospital,OPERATIONAL,"park, Malik park, Malik, Bilal Ganj, Lahore",5.0,3
ChIJwdm9HjQDGTkRgY9vmWQJhaA,BADAMI BAGH,Gosha e Shifa Hospital,31.5474211,74.2833816,hospital,OPERATIONAL,"759, A Block Gulshan-e-Ravi, Lahore",4.2,123
ChIJlY4CsDAbGTkRuel_PDCs33s,CHOUBURJI,Surayya Azeem Hospital,31.5538167,74.3058439,hospital,OPERATIONAL,"Bahawalpur Rd, Mozang Chungi, Lahore",3.3,78
ChIJxUA3M88DGTkR74MUhlsQvWI,BADAMI BAGH,Arabian Medical Center,31.549987,74.2862657,hospital,OPERATIONAL,"152a, Block B Gulshan-e-Ravi, Lahore",2.0,1
ChIJZ7U9zoUdGTkR9Kysv8dqaBw,M.ALI AMIN MED.MRKT,Muhammadi Hospital( محمدی ہسپتال ),31.5711168,74.2984249,hospital,OPERATIONAL,"H7CX+C9V, Sant Nagar St Nagar, Lahore",4.1,11
ChIJTSb3LwMDGTkRjQuiSJbSZIk,NICOLSON ROAD,Choudry Medical Center,31.5411108,74.2861695,hospital,OPERATIONAL,"G7RP+CFV, Khuda-Bukhsh Rd, Sodhiwal, Lahore",5.0,2
ChIJ90xCVqkDGTkRRkoGLzFdtBo,BADAMI BAGH,Al Shafi Family Hospital,31.5539106,74.2882583,hospital,OPERATIONAL,"115 D Block, Khawaja Fareed Road, Ravi, Gulshan, Lahore",5.0,42
ChIJORjzPJ0DGTkRlImDPqtuBlU,OLD ANARKALI,ALSHIFA MALIK HOSPITAL(t),31.5466178,74.2931145,hospital,OPERATIONAL,"more, 29 Main Boulevard, Gulfishan Colony Gulshan-e-Ravi, Lahore",4.9,26
ChIJ2_P8x0kDGTkRRreqznCGMYw,BADAMI BAGH,Naveed Medical and Surgical Center,31.54862749999999,74.28978409999999,hospital,OPERATIONAL,"G7XQ+FW3, ‏Main Blvd Gulshan-e-Ravi, A Block Block A Gulshan-e-Ravi, Lahore",4.0,2
ChIJDR2Lm7ccGTkRmG--H-EnImo,M.ALI AMIN MED.MRKT,Faran Hospital,31.56658179999999,74.2909086,hospital,OPERATIONAL,"69 C Abdali Rd, Krishan Nagar Islampura, Lahore",3.1,41
ChIJrUWNDEcdGTkR2rN5wGwdN1Q,SHADMAN,Isman Medical Complex,31.56749019999999,74.31025989999999,hospital,OPERATIONAL,"26 Commercial Building Old Anarkali, Shahrah-e-Quaid-e-Azam, Lahore",0.0,0
ChIJkTJStq0cGTkR6sFupGGf5ig,M.ALI AMIN MED.MRKT,Abdul ghani Hospital,31.5618257,74.3022259,hospital,OPERATIONAL,"2 Sanda Road, Rewaz Gardens, Lahore",3.9,14
ChIJpY2sCgAdGTkRKiScDEnXM50,M.ALI AMIN MED.MRKT,Zahida Memorial Medical Centre,31.562856,74.2934646,hospital,OPERATIONAL,"16-A/4 Sanda Rd, Ghaziabad Islampura, Lahore",5.0,1
ChIJm8BeUbccGTkRHOrhIawSGCg,M.ALI AMIN MED.MRKT,Dr Khalid Ghaznavi Clinic.TIBE NABVI ڈاکٹر خالد غزنوی طب نبوی,31.5675741,74.29409620000001,doctor,OPERATIONAL,"42 Haider Rd, Sant Nagar Islampura, Lahore",4.9,11
ChIJO9GuNPIdGTkRYGADCspbf9o,M.ALI AMIN MED.MRKT,Dr syed farasat ali syed,31.5628111,74.29430529999999,doctor,OPERATIONAL,"H77V+4PF, Krishan Nagar Lahore",4.6,10
ChIJQ5dd1TEdGTkRAMkAgyPRZSw,M.ALI AMIN MED.MRKT,Amer Clinic,31.5596332,74.2960042,doctor,OPERATIONAL,"81- Muslim Colony, Rajgarh, Lahore",5.0,5
ChIJe1V9X7ocGTkRWTkNe3-e2Ns,M.ALI AMIN MED.MRKT,Dr Tahir Clinic,31.5697948,74.29711449999999,doctor,OPERATIONAL,"13/32 Dev Samaj Road, Sant Nagar St Nagar, Lahore",5.0,1
ChIJVbVU2LccGTkRWyA4N2UdHQo,M.ALI AMIN MED.MRKT,Heart & Lungs Care Clinic ( Dr Shabbir Hussain Sheikh ),31.5652428,74.2886058,doctor,OPERATIONAL,"Islampura، 7 Ansari Rd, Krishan Nagar, Lahore",3.7,20
ChIJ9Qil2bccGTkRwkQFpuLkV_w,M.ALI AMIN MED.MRKT,Heart & Lungs Care Clinic,31.5652327,74.2886133,doctor,OPERATIONAL,"7 Ansari Rd, Sanda Islampura, Lahore",5.0,4
ChIJ93pWA7YcGTkRnOviE0jYMUI,M.ALI AMIN MED.MRKT,Syed Clinic (dr.waseem Aslam),31.562398,74.28884149999999,doctor,OPERATIONAL,"H76Q+XG2, Krishan Nagar Lahore",5.0,2
ChIJRayYqbEcGTkRrzNIDyw4HNk,M.ALI AMIN MED.MRKT,Siddiqi Homeopathic Clinic,31.5651355,74.29733209999999,doctor,OPERATIONAL,"H78W+3W4, Islampura, Lahore",4.0,3
ChIJnfR69uoDGTkRXBAffecXxBs,CHOUBURJI,Alnoor laboratory with Clinic Dr Nasir Manzoor,31.55382579999999,74.3020457,doctor,OPERATIONAL,"Alnoor laboratory with Clinic, 30 main Shamnagar Rd, Block B chauburji, Lahore",5.0,1
ChIJcYq1BKsDGTkRa-HSETR1OLM,M.ALI AMIN MED.MRKT,Dr Aslam Clinic,31.5542263,74.28244,doctor,OPERATIONAL,"H73J+MXM, D1 Block Block D 1 Gulshan-e-Ravi, Lahore",0.0,0
ChIJ-wGX7GwDGTkR1FDgwIw4lAc,OLD ANARKALI,Mahmood clinic 6 khalid street saeed park shahdara Lahore,31.5488861,74.30491239999999,doctor,OPERATIONAL,"6 Miran Khalid St, Islamia Park Lahore",5.0,1
ChIJ1YPDxLYcGTkR8-uJH2iCUco,M.ALI AMIN MED.MRKT,Chishti Medical Store,31.5642642,74.2933345,pharmacy,OPERATIONAL,"26 Alamgir Rd, Krishan Nagar Islampura, Lahore",4.4,7
ChIJr3Oja7EcGTkRP3Ctfslvwlg,M.ALI AMIN MED.MRKT,Pakistan Medical & General Store,31.5638081,74.2958731,pharmacy,OPERATIONAL,"Noori building chowk, Krishan Nagar Islampura, Lahore",3.7,3
ChIJt5-kOsYcGTkR1qoJMqyBUKQ,M.ALI AMIN MED.MRKT,Dar Medical Store,31.5674652,74.2845402,pharmacy,OPERATIONAL,"68 Chauhan Rd, Islampura, Lahore",5.0,5
ChIJc9ZqV7AcGTkRgKZJ_qIOBAs,M.ALI AMIN MED.MRKT,Qureshi Medical Store,31.5661752,74.2974183,pharmacy,OPERATIONAL,"Islampura, Lahore",0.0,0
ChIJrbBhvskcGTkRG-t0MiqZCOY,M.ALI AMIN MED.MRKT,Janjua Medical Store,31.5629375,74.2865625,pharmacy,OPERATIONAL,"Zahoor Din Rd H77P+5JX Sanda Khurd, Sanda Lahore",5.0,2
ChIJfbTzrAYdGTkRrVXRS7hH11c,M.ALI AMIN MED.MRKT,Munawar pharmacy,31.5658587,74.28528270000001,pharmacy,OPERATIONAL,"Millat Rd, Sanda Islampura, Lahore",5.0,2
ChIJzTlb-rMcGTkRUzTVYvmJaB8,M.ALI AMIN MED.MRKT,Latif Medical Store,31.5618656,74.2947281,pharmacy,OPERATIONAL,"National Town, Lahore",5.0,2
ChIJf6un0LkcGTkRUFhdrZuKX0E,M.ALI AMIN MED.MRKT,Life Medical Store,31.5680649,74.29185149999999,pharmacy,OPERATIONAL,"106 Abdali Rd, St Nagar, Lahore",4.0,2
ChIJ3z7BKswcGTkRyH5zZSAVsRY,M.ALI AMIN MED.MRKT,Ahsan Medical Store,31.5604488,74.27962579999999,pharmacy,OPERATIONAL,"Sanda Khurd, Lahore",5.0,1
ChIJTRXFPPkdGTkRVF3rohpjduk,M.ALI AMIN MED.MRKT,NMP Pharmacy - Ansari Road Islampura,31.5656702,74.2984299,pharmacy,OPERATIONAL,"Ansari Building, Saadi Rd, Islampura, Lahore",0.0,0
ChIJZ5nBRMscGTkR174t-e1yqQ4,M.ALI AMIN MED.MRKT,Ali Medical & General Store,31.5564177,74.28331949999999,pharmacy,OPERATIONAL,"H74M+H87, Malik Munir Rd, Sanda Kalan, Sanda, Block D 1 Gulshan-e-Ravi, Lahore",0.0,0
ChIJMSOxvsccGTkRdxCfJq-w_C0,M.ALI AMIN MED.MRKT,Naveed medical store,31.5687449,74.2866238,pharmacy,OPERATIONAL,"31 32 chowk chohan road outfall, near tariq pan shop, Islampura, Lahore",4.6,14
ChIJ8V8UsM4cGTkR7Zr27Ja8ZDI,M.ALI AMIN MED.MRKT,Pakistan Medical & General Store,31.5617169,74.2817804,pharmacy,OPERATIONAL,"H76J+MPJ, Sanda Sanda Khurd, Lahore",5.0,1
ChIJQclkKsocGTkRXsVgxZfm7eQ,M.ALI AMIN MED.MRKT,Shehroz Medical Store,31.5612109,74.2856425,pharmacy,OPERATIONAL,"H76P+F6X, Zahoor Din Rd, Sanda Kalan Sanda, Lahore",3.0,1
ChIJ2fcPrMscGTkRrEnHdVhJxKA,M.ALI AMIN MED.MRKT,Mazhar Medical Store,31.558852,74.2851063,pharmacy,OPERATIONAL,"H75P+G2Q, Joyshah Rd, Sanda Kalan Sanda, Lahore",0.0,0
ChIJtUoC2bkcGTkRmnqsBCmKDIs,M.ALI AMIN MED.MRKT,Medicure Pharmacy,31.5678812,74.2922329,pharmacy,OPERATIONAL,"Sant Nagar Islampura, Lahore",4.0,1
ChIJb3f0BDgdGTkR6jfToKEINkY,M.ALI AMIN MED.MRKT,Bismillah pharmacy,31.5557574,74.28473740000001,pharmacy,OPERATIONAL,"Malik Munir Rd, Sanda Block D 1 Gulshan-e-Ravi, Lahore",0.0,0
ChIJsSUhgjAdGTkRd3aQ-vjoHMg,M.ALI AMIN MED.MRKT,Saad Medical Store,31.55835069999999,74.3008981,pharmacy,OPERATIONAL,"Multani Hotel, Rajgarh Rd, Raj Garh Sanda, Lahore",5.0,2
ChIJT6KMKcwcGTkRbuBxameH88c,M.ALI AMIN MED.MRKT,Al-Hassan Medical & General Store,31.5604995,74.279944,pharmacy,OPERATIONAL,"Sanda Khurd, Lahore",4.0,1
ChIJbb947sscGTkRa8VSwMDBYzQ,M.ALI AMIN MED.MRKT,Naveed Medical Store,31.5600173,74.2833854,pharmacy,OPERATIONAL,"H76M+292, Joyshah Rd, Sanda Lahore",5.0,1
ChIJw2h5AIMdGTkR3d2MVn5x7rg,M.ALI AMIN MED.MRKT,Innovodent dental clinic Dr Talal & associates,31.5631048,74.28001569999999,dentist,OPERATIONAL,"Service Road, Sanda Khurd, Lahore",5.0,153
ChIJp0Ll2rMcGTkRtoLDl1r28eE,M.ALI AMIN MED.MRKT,Dental Hygiene Clinic,31.5620704,74.29628029999999,dentist,OPERATIONAL,"Islampura, Lahore",0.0,0
ChIJWUaqxsscGTkRjdNWOvdM6wc,M.ALI AMIN MED.MRKT,Eman Dental Clinic,31.5600946,74.28433150000001,dentist,OPERATIONAL,"Zahoor Din Rd, Sanda Kalan, Sanda, Sanda, Lahore",3.4,5
ChIJtxs06AcdGTkRlqGmOVMwZ6I,M.ALI AMIN MED.MRKT,Ideal Dental Surgery,31.56062,74.3016178,dentist,OPERATIONAL,"Noor-E-Madina Building, 144, Rewaz Garden Lahore",4.6,5
ChIJ3RHjELEcGTkR4P3KYnZrHMA,M.ALI AMIN MED.MRKT,Din Dental Clinic,31.5645557,74.2961833,dentist,OPERATIONAL,"H77W+RFF, Main Bazar, Krishan Nagar, Islampura, Lahore, Punjab, Krishan Nagar, Lahore",2.0,1
ChIJ3Q6mtFkDGTkRxkMwEsu3_-Y,BADAMI BAGH,Aldaim Dental Center,31.5490772,74.2878036,dentist,OPERATIONAL,"138, A Block Block A Gulshan-e-Ravi, Lahore",5.0,11
ChIJ51ITdcwcGTkRam6EpGWpvoo,M.ALI AMIN MED.MRKT,Nizami Dental Clinic,31.5593782,74.2823602,dentist,OPERATIONAL,"H75J+QX2, Afzal Rd, Sanda Kalan Sanda, Lahore",0.0,0
ChIJk7cWMwADGTkR5mHKDjljajE,BADAMI BAGH,Premium Smile Dental Care,31.5515906,74.2808733,dentist,OPERATIONAL,"36 Moon Market Road, E Block Block E Gulshan-e-Ravi, Lahore",5.0,50
ChIJz0koPbMcGTkRcpbplM-h19g,M.ALI AMIN MED.MRKT,Fayyaz Dental Clinic,31.55833119999999,74.2963997,dentist,OPERATIONAL,"H75W+8HJ, Rajgarh Rd, Rajgarh, Sanda, Rajgarh, Lahore",0.0,0
ChIJX5c4IkADGTkRO6FC5Aki2MY,BADAMI BAGH,Dr Fareeha Shabeer Dental Clinic -,31.5536654,74.287964,dentist,OPERATIONAL,"238, Block B Gulshan-e-Ravi, Lahore",5.0,32
ChIJuTVC_kwDGTkRTMW5kJCBhOs,CHOUBURJI,AM Dental Clinic,31.5547045,74.2970635,dentist,OPERATIONAL,"H73W+VRF, Shamnagar Rd, Rajgarh, Sanda, Block B New Chauburji Park, Lahore",0.0,0
ChIJObTknE0DGTkRA4x7LxRNmWA,CHOUBURJI,Fawad Dental Clinic,31.5544062,74.299228,dentist,OPERATIONAL,"H73X+QM8, Shamnagar Rd, Rajgarh, Sanda, Block B New Chauburji Park, Lahore",0.0,0
ChIJ3z4OBDUDGTkRZL96S0knKgo,BADAMI BAGH,Elahi Dental Clinic,31.5533822,74.2853813,dentist,OPERATIONAL,"Khawaja, Baba Farid Rd, Thoker Niaz Baig Block C Gulshan-e-Ravi, Lahore",4.9,11
ChIJyWZhJ8wcGTkRu6Fz8gw9tLY,M.ALI AMIN MED.MRKT,Rizwan Dental Surgery,31.5606508,74.2805396,dentist,OPERATIONAL,"H76J+767, Taj Manzil, Sanda Rd, Sanda Kalan, Sanda, Lahore, Punjab, Sanda, Lahore",4.5,6
ChIJ2Yeyf3kEGTkRM0OFAc6uVi4,SHK.ZAID,Imran Medical Center,31.5045795,74.3155239,hospital,OPERATIONAL,"232, Ahmed Block Garden Town, Lahore",5.0,1
ChIJAQBw73gEGTkRFCHHS_ciYh4,SHK.ZAID,Medivision Hospital,31.5072674,74.3139794,hospital,OPERATIONAL,"3-A, New Muslim Town، Canal Bank Road Lahore، Punjab",3.6,25
ChIJ4_j4A0AEGTkRMoOfyo7jK4Q,GOPAL NAGAR GULBERG-III,Shehryar Medical Complex,31.4955167,74.3356124,hospital,OPERATIONAL,"22 A, Gulberg III, Lahore",3.5,18
ChIJHaxyVHUFGTkRD0NF0v3-nt8,SHK.ZAID,Healthnox Medical Center | Dr Aamir Khan | Dr Asif Zaidi | Dr Adnan Jabbar,31.5093274,74.3159946,hospital,OPERATIONAL,"12-A, Block A Muslim Town, Lahore",5.0,9
ChIJzdJIbCwDGTkRu7y7m-CBibw,SHK.ZAID,INMOL Cancer Hospital,31.5090976,74.3061379,hospital,OPERATIONAL,"Khayaban-e-Jamia Punjab, Block D Muslim Town, Lahore",4.2,280
ChIJTW48UCMDGTkRMmnWVbUgh4s,KOT LAKHPAT,Abeeha Maternity Clinic,31.5264003,74.3057984,hospital,OPERATIONAL,"G8G4+H87, Shah Kamal Rd, Combo Chowk Combo Colony, Lahore",5.0,7
ChIJTc5tboYEGTkRd8Kce_rmv-8,KOT KHAWAJA SAEED,Bilal Medical Centre,31.5205018,74.3216655,hospital,OPERATIONAL,"G8CC+6M3, Wahdat Rd, Shahid Colony, Muslim Town, Lahore, Punjab, Rehmanpura Colony, Lahore",4.0,3
ChIJT1oHcYEDGTkR-5myAE4OIdE,SHK.ZAID,Cosmos Hospital,31.51067359999999,74.3068515,hospital,OPERATIONAL,"65- D Muslim Town Flyover, Block D Block A Muslim Town, Lahore",4.0,3
ChIJIbloCvAFGTkR0dyZ6hxyhII,SHK.ZAID,SPECIALIST INN CLINIC,31.517655,74.32002589999999,doctor,OPERATIONAL,"Plot 66, Block C Muslim Town, Lahore",5.0,3
ChIJkboOsYMEGTkRZrKqjvgXhH0,KOT KHAWAJA SAEED,Dr. Idrees Clinic,31.5227194,74.31682339999999,doctor,OPERATIONAL,"Sultan Ahmed Rd, opposite Jamia Qasmia, Rehmanpura Colony, Lahore",4.9,15
ChIJpXEBdm4FGTkRk2enl-ZxhMc,SHK.ZAID,Dr. Abdus Salam Sheikh Homeopathic Clinic,31.5159092,74.3212609,doctor,OPERATIONAL,"32-C, 24 Salik St, Block C Muslim Town, Lahore",4.9,7
ChIJwfIS44EFGTkRclsMptJK32Y,SHK.ZAID,Total Life Care Clinics,31.5046169,74.3276845,doctor,OPERATIONAL,"G83H+V33, Ali Block Garden Town, Lahore",5.0,2
ChIJ-ww9o28EGTkRj0iqFDbmFw0,SHK.ZAID,Prof. Dr. Chishti's Clinic,31.5035716,74.3258266,doctor,OPERATIONAL,"11, New Muslim Town Ali Block Garden Town, Lahore",4.5,2
ChIJFUzM_l8FGTkRH7W1EW50IUQ,SHK.ZAID,Dr.A.R.Sami's Skin & Laser Clinic,31.5190625,74.3251875,doctor,OPERATIONAL,"Noon Ave، adjacent Punjab College Bustand, Muslim Town, Lahore",4.4,7
ChIJsYbWoSkFGTkRL_nMzjUiTjQ,SHK.ZAID,Al-Rasool Medical Store,31.5034203,74.3211884,pharmacy,OPERATIONAL,"Jevan Hana Ali Block Garden Town, Lahore",3.0,2
ChIJn0160vgFGTkRZD0uMSyFAM0,SHK.ZAID,MedCo Pharmacy,31.5185059,74.3194585,pharmacy,OPERATIONAL,"25 Faiz Rd, near Good Luck Bakery, Muslim Town, Lahore",4.0,3
ChIJu1lrNOYFGTkRRnGzr8MuCrI,SHK.ZAID,Al-Umar Medical Store,31.5038381,74.3222285,pharmacy,OPERATIONAL,"G83C+GVQ, Jevan Hana Ali Block Garden Town, Lahore",0.0,0
ChIJqYiwr-QFGTkRbVUXXFKkn6k,SHK.ZAID,Medix Pharmacy,31.5112669,74.31399689999999,pharmacy,OPERATIONAL,"Plot 250, Block A Muslim Town, Lahore",5.0,6
ChIJjUl3NwADGTkRO7eyA02LHAQ,SHK.ZAID,INMOL Pharmacy,31.5094456,74.3066532,pharmacy,OPERATIONAL,"G854+VH2, Khayaban-e-Jamia Punjab, Block D Muslim Town, Lahore",4.0,1
