Place ID,Brick Name,Business Name,Latitude,Longitude,Type,Status,Address,Rating,User Ratings
ChIJ9eWLIgBVGDkRt9So73kqDHs,BAHRIA TOWN,Faisal Health Clinic,31.3442567,74.1780383,hospital,OPERATIONAL,"85VH+P63, Ghaznavi bkock (extn Bahria Town, Lahore",5.0,1
ChIJkwIrXd5VGDkRcZoIlIW4HHY,BAHRIA TOWN,Al assar Pharmacy Poly clinic,31.3573665,74.18219289999999,pharmacy,OPERATIONAL,"Plaza 37، Quaid Commercial، F Violet Block Bahria Town, Lahore",5.0,4
ChIJf4a7ARH_GDkRwMh-GdbLDjc,BAHRIA TOWN,Qamar Medical center,31.384485,74.15064579999999,hospital,OPERATIONAL,"95M2+Q7R, Maraka - Bahria Town Rd, Maraka Village, Lahore",5.0,1
ChIJzzMoERf_GDkR4LGtTalV4w4,BAHRIA TOWN,(AL NOOR) MMFMH Mian Muhammad Fazil Memorial Hospital,31.3922282,74.1514857,hospital,OPERATIONAL,"95R2+VHX, Maraka Village, Lahore",4.8,12
ChIJV3NoEjdVGDkRmM3T6M4Jj8I,BAHRIA TOWN,eShifa Health Center,31.3619133,74.1868405,hospital,OPERATIONAL,"35- A Main Blvd, near Clock Tower, Rafi Block Bahria Town, Lahore",4.5,4
ChIJW1zpp-D_GDkR-J9JKh6pshQ,BAHRIA TOWN,CURE-ALL MEDICAL COMPLEX(CMC),31.3683919,74.1866841,hospital,OPERATIONAL,"250-B, opposite Grand Mosque, Tulip Block Sector C Bahria Town, Lahore",5.0,40
ChIJ74LpZwD_GDkRBAPQYpMWqLY,BAHRIA TOWN,Care and Cure Hospital,31.3895505,74.1768112,hospital,OPERATIONAL,"apposite sukh chain naer, 56 G-Block canal Garden, Block G Bahria Town, Lahore",4.4,11
ChIJy7QZI2X_GDkRcbCkU31-DDk,BAHRIA TOWN,Health Plus Speciality Clinics,31.388168,74.18223429999999,hospital,OPERATIONAL,"Plot 208, Ghori Block Sector B Bahria Town, Lahore",5.0,24
ChIJuxDFRX7_GDkR68t3uCA0z0g,BAHRIA TOWN,Punjab Poly Clinic,31.3767459,74.1855887,hospital,OPERATIONAL,"95GP+M6W, Sector C Commercial Area Sector C Bahria Town, Lahore",5.0,1
ChIJy86V973_GDkR5B_6h-tZP2w,BAHRIA TOWN,Bahria Town International Hospital Lahore -Best Hospital in Lahore,31.3878914,74.1876979,hospital,OPERATIONAL,"Takbeer Block Sector B Bahria Town, Lahore",3.4,443
