Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category,,,,name,id,cmp_customer_id
ChIJJbgMNxEWsz4RiqGixEg0fC4,,Dr. Ziauddin Hospital Keamari,24.825803,66.9826054,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AL-MADINA M/STORE,2365,191-9108
ChIJ_____xYWsz4R2N_XZn1aE7E,,Karwan e Hayat,24.8269582,66.9823756,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,PHARMA MEDICARE,2366,191-13615
ChIJq7usqRcWsz4R4dnphTBueKY,,Afridi Medical Center 24 Hours Imran Khan House,24.8226302,66.9844633,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,HAYAT PHARMACY,2367,191-12816
ChIJve72Bd4Xsz4RlOz3-Aeb1B4,,Aims International,24.8214504,66.9905509,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,DR. SHAZIA NAWAZ,2368,191-9612
ChIJ1WDJ72kXsz4RSHfeph7O1z8,,Masjid - Ziauddin hospital,24.8259333,66.983079,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AL-HAMMAD MEDICAL STORE.,2369,191-1473
ChIJ0RFwPwAXsz4R8ak7VQUEsZ8,,Dr.TARIQ HUSSAIN,24.8255932,66.9815482,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,KAMAL MEDICAL STORE.,2370,191-277
ChIJgZP3Y8kXsz4RSaI9CvzNULA,,Rural Health Centre Kemari,24.82171,66.9787722,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,TALHA ENTERPRISES,2371,191-1492
ChIJBcFNQAAXsz4RCKUwcA9cbtQ,,Abu zaid medical and general store,24.8241657,66.9788917,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,GHOSIA MEDICAL STORE.,2372,191-1256
ChIJY7c5YBEWsz4R0ohoNuOkOm4,,KPT Hospital,24.826544,66.9810086,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ASIM MEDICAL STORE,2373,191-10311
ChIJ3w-5qdEXsz4RH8NJGt9GgYE,,NICVD Chest Pain Unit at Keamari,24.8221181,66.9774247,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,REHMAT MEDICAL STORE.,2374,191-3163
ChIJy4z3IMoXsz4R2HoexavXKO4,,Dr zaman khan clinic,24.8262657,66.9913314,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,MAHER MEDICOS,2375,191-7428
ChIJxXNOaC4Xsz4RVHbUlBlC_JA,,Darul Shifa Hospital,24.8210508,66.9937415,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ISANI MEDICOS,2376,191-10329
ChIJo5KV50YXsz4RQ5-NIEslwYk,,Jadoon Medical Store,24.8220769,66.99466,OPERATIONAL,"hospital, point_of_interest, health, establishment",2667,,,NEW REHMAN HOSPITAL PHARMACY,2377,191-8186
ChIJuxTQzAEXsz4RGHikG7thsc0,,Abdul wajid medical center,24.8170369,66.9953714,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ZEESHAN MEDICAL STORE,2378,191-9360
ChIJb9AbmPAXsz4RNVUv4ZMEppw,,Asif medical & general store,24.8208013,66.9963578,OPERATIONAL,"hospital, point_of_interest, health, establishment",2553,,,IMTIAZ GROUP (SMC-PRIVATE) LIM,2379,191-14273
ChIJ7_3IOqU9sz4RLu7HTMVuUiM,,Clifton medical centre,24.817749,66.998969,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,BANGHASH MEDICAL STORE,2380,191-9085
