Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJR0J-ZSA5sz4R8TQo5WZilKM,BLK;10+RASHID MINHAS R,Maham Poly Clinic,24.9074776,67.1156936,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ4UZ3g9g4sz4R0tBMXxLkMOw,BLK;10+RASHID MINHAS R,Agha Khan Medical Care Centre,24.9077245,67.1095522,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJM5s0_XY5sz4RszPYalkDmJU,STADIUM ROAD,Rehman medical centre dalmia cement factory,24.9036285,67.098886,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJk4ciE7c5sz4R_FSftrSqGwc,STADIUM ROAD,MUHAMMADI CLINIC GULSHAN,24.9027078,67.0977259,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ-3MaegA5sz4RMI2UyHhX2Jw,STADIUM ROAD,Dalmia khatna center (BACHOO BHAI KHATNA KARNY WALAY),24.9038413,67.0993982,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJHcQiWQA5sz4R1HtDz1X3URg,STADIUM ROAD,"EPI Center, DC Dispensary 2, Dolmia, Gulshan-e-Iqbal, District East, Karachi Sindh.",24.9051074,67.0967261,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJy6W7B0c5sz4RaGd2LiCWHbY,STADIUM ROAD,Ama charity clinic,24.9058407,67.0967067,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJra-EJ-s5sz4RtGOIrN9pu9Y,STADIUM ROAD,tariq medical & ganeral store karachi,24.9047026,67.09528350000001,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJh1bxTvU5sz4RFwjodUHYPRA,STADIUM ROAD,Rehman medical center,24.900527,67.10024489999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJqUATv8g5sz4Rxevm_GV6PkA,STADIUM ROAD,Haji rehmat ilahi memorial trust medical center,24.90408469999999,67.1024681,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJjQiDRQA5sz4RNcNAOzgucvU,STADIUM ROAD,"EPI Center, DC Dispensary 1, Shanti Nagar, Dolmia Gulshan-e-Iqbal, District East, Karachi Sindh",24.9029797,67.1024101,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJpVIuIqE5sz4RgUVHAai4Qp4,STADIUM ROAD,HealthSolutions Clinic,24.898121,67.09625369999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJNWQelNY4sz4RqMIZ-XzM8Oc,BLK;10+RASHID MINHAS R,Noor Clinic,24.9099105,67.1009074,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJJdQlJGM5sz4R75rPgQ36vuU,BLK;10+RASHID MINHAS R,AMA Charity Hospital,24.9099592,67.10103149999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJB1PBauM5sz4RkA83lZk_xTY,BLK;10+RASHID MINHAS R,Kalam medical center,24.9088061,67.1050448,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJv29wSqk5sz4RAkwdH8qBees,BLK;10+RASHID MINHAS R,Kalam Medical Center (Gulshan Campus),24.9088886,67.1051331,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJAdTvo9I4sz4Rsr0vfZh3gTk,BLK;10+RASHID MINHAS R,Gulshan-e-Iqbal Sindh Government Hospital,24.9158256,67.0952099,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJCzt7ZvQ5sz4RVJQpVMPnVN4,BLK;10+RASHID MINHAS R,Sindh Infectious Disease Hospital & Research Center,24.9162335,67.09557889999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJFb_satE4sz4ROIZuOO_0ez4,BLK;10+RASHID MINHAS R,Specialist Chamber,24.9128114,67.101763,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJqf9S3d05sz4RNodkuqCX-lQ,BLK;10+RASHID MINHAS R,Ahmed Ibrahim Eye Hospital,24.9131325,67.1023662,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJG0CucnY7sz4RhiUGVls62H0,KORANGI CROSSING,Indus Hospital & Health Network,24.8173888,67.11129489999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJ1VfMrFg7sz4RwPlljlO1A1o,KORANGI # 6,Ahmed Clinic,24.8238734,67.1073447,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJfxbyX5s7sz4RjCXoC7ru9NQ,KORANGI # 6,Fazale Illahi Hospital,24.82307789999999,67.1074478,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJC-vDI707sz4RvjJeSLvmv_k,KORANGI # 6,Vision care optics,24.82628579999999,67.1070331,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJAQAATIU7sz4RzY6EyVS0iUQ,KORANGI # 6,Bismillah Hospital,24.8272908,67.10566299999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJRYXoj2o7sz4RFj2MGL9PDuU,KORANGI # 6,S.B.Medicine Point,24.8281251,67.1065891,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJobvoKwA7sz4Rez3Fkn0XFPQ,KORANGI # 6,بلقیس میموریل اسپتال,24.8192274,67.107278,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJb_RxGZ07sz4Re14nuvD1TB4,KORANGI # 6,Bilquees Memorial Hospital,24.819201,67.1072046,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJv2qe_mw7sz4RxTQ_4u1wG_I,KORANGI CROSSING,Hope Welfare Foundation Trust,24.81905339999999,67.1067291,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJFdX2IWI7sz4RIRddRcobVjI,KORANGI # 6,Karwan-e-Hayat,24.8226488,67.11344439999999,OPERATIONAL,"hospital, health, point_of_interest, establishment"
