API Hit - Location: (31.961175481592576, 74.22603233930192), Place Type: hospital, Customers Found: 10
API Hit - Location: (31.961175481592576, 74.22603233930192), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.961175481592576, 74.22603233930192), Place Type: pharmacy, Customers Found: 13
API Hit - Location: (31.961175481592576, 74.22603233930192), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.986328194492327, 74.22603233930192), Place Type: hospital, Customers Found: 16
API Hit - Location: (31.986328194492327, 74.22603233930192), Place Type: doctor, Customers Found: 3
API Hit - Location: (31.986328194492327, 74.22603233930192), Place Type: pharmacy, Customers Found: 18
API Hit - Location: (31.986328194492327, 74.22603233930192), Place Type: dentist, Customers Found: 2
API Hit - Location: (31.966034357612582, 74.2433595662319), Place Type: hospital, Customers Found: 10
API Hit - Location: (31.966034357612582, 74.2433595662319), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.966034357612582, 74.2433595662319), Place Type: pharmacy, Customers Found: 0
API Hit - Location: (31.966034357612582, 74.2433595662319), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.940675522136054, 74.23067790549092), Place Type: hospital, Customers Found: 0
API Hit - Location: (31.940675522136054, 74.23067790549092), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.940675522136054, 74.23067790549092), Place Type: pharmacy, Customers Found: 0
API Hit - Location: (31.940675522136054, 74.23067790549092), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.981897906220635, 74.20772538724368), Place Type: hospital, Customers Found: 16
API Hit - Location: (31.981897906220635, 74.20772538724368), Place Type: doctor, Customers Found: 4
API Hit - Location: (31.981897906220635, 74.20772538724368), Place Type: pharmacy, Customers Found: 5
API Hit - Location: (31.981897906220635, 74.20772538724368), Place Type: dentist, Customers Found: 1
API Hit - Location: (31.99737601457234, 74.2432968172336), Place Type: hospital, Customers Found: 6
API Hit - Location: (31.99737601457234, 74.2432968172336), Place Type: doctor, Customers Found: 1
API Hit - Location: (31.99737601457234, 74.2432968172336), Place Type: pharmacy, Customers Found: 2
API Hit - Location: (31.99737601457234, 74.2432968172336), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.954887303367638, 74.21974416107697), Place Type: hospital, Customers Found: 5
API Hit - Location: (31.954887303367638, 74.21974416107697), Place Type: doctor, Customers Found: 3
API Hit - Location: (31.954887303367638, 74.21974416107697), Place Type: pharmacy, Customers Found: 7
API Hit - Location: (31.954887303367638, 74.21974416107697), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.97375183804245, 74.21974416107697), Place Type: hospital, Customers Found: 17
API Hit - Location: (31.97375183804245, 74.21974416107697), Place Type: doctor, Customers Found: 4
API Hit - Location: (31.97375183804245, 74.21974416107697), Place Type: pharmacy, Customers Found: 20
API Hit - Location: (31.97375183804245, 74.21974416107697), Place Type: dentist, Customers Found: 2
API Hit - Location: (31.99261637271726, 74.21974416107697), Place Type: hospital, Customers Found: 14
API Hit - Location: (31.99261637271726, 74.21974416107697), Place Type: doctor, Customers Found: 3
API Hit - Location: (31.99261637271726, 74.21974416107697), Place Type: pharmacy, Customers Found: 5
API Hit - Location: (31.99261637271726, 74.21974416107697), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.99261637271726, 74.23860869575178), Place Type: hospital, Customers Found: 15
API Hit - Location: (31.99261637271726, 74.23860869575178), Place Type: doctor, Customers Found: 1
API Hit - Location: (31.99261637271726, 74.23860869575178), Place Type: pharmacy, Customers Found: 3
API Hit - Location: (31.99261637271726, 74.23860869575178), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.958614410441474, 74.23446957706831), Place Type: hospital, Customers Found: 20
API Hit - Location: (31.958614410441474, 74.23446957706831), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.958614410441474, 74.23446957706831), Place Type: pharmacy, Customers Found: 3
API Hit - Location: (31.958614410441474, 74.23446957706831), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.977886522538476, 74.20529941127653), Place Type: hospital, Customers Found: 15
API Hit - Location: (31.977886522538476, 74.20529941127653), Place Type: doctor, Customers Found: 4
API Hit - Location: (31.977886522538476, 74.20529941127653), Place Type: pharmacy, Customers Found: 2
API Hit - Location: (31.977886522538476, 74.20529941127653), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.99701701769596, 74.20697142611225), Place Type: hospital, Customers Found: 9
API Hit - Location: (31.99701701769596, 74.20697142611225), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.99701701769596, 74.20697142611225), Place Type: pharmacy, Customers Found: 1
API Hit - Location: (31.99701701769596, 74.20697142611225), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.961175481592573, 74.21345598285204), Place Type: hospital, Customers Found: 10
API Hit - Location: (31.961175481592573, 74.21345598285204), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.961175481592573, 74.21345598285204), Place Type: pharmacy, Customers Found: 13
API Hit - Location: (31.961175481592573, 74.21345598285204), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.973751838042446, 74.21345598285204), Place Type: hospital, Customers Found: 17
API Hit - Location: (31.973751838042446, 74.21345598285204), Place Type: doctor, Customers Found: 4
API Hit - Location: (31.973751838042446, 74.21345598285204), Place Type: pharmacy, Customers Found: 20
API Hit - Location: (31.973751838042446, 74.21345598285204), Place Type: dentist, Customers Found: 2
API Hit - Location: (31.98632819449232, 74.21345598285204), Place Type: hospital, Customers Found: 17
API Hit - Location: (31.98632819449232, 74.21345598285204), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.98632819449232, 74.21345598285204), Place Type: pharmacy, Customers Found: 14
API Hit - Location: (31.98632819449232, 74.21345598285204), Place Type: dentist, Customers Found: 2
API Hit - Location: (31.998904550942193, 74.21345598285204), Place Type: hospital, Customers Found: 16
API Hit - Location: (31.998904550942193, 74.21345598285204), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.998904550942193, 74.21345598285204), Place Type: pharmacy, Customers Found: 1
API Hit - Location: (31.998904550942193, 74.21345598285204), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.9485991251427, 74.22603233930191), Place Type: hospital, Customers Found: 2
API Hit - Location: (31.9485991251427, 74.22603233930191), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.9485991251427, 74.22603233930191), Place Type: pharmacy, Customers Found: 1
API Hit - Location: (31.9485991251427, 74.22603233930191), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.961175481592573, 74.22603233930191), Place Type: hospital, Customers Found: 10
API Hit - Location: (31.961175481592573, 74.22603233930191), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.961175481592573, 74.22603233930191), Place Type: pharmacy, Customers Found: 13
API Hit - Location: (31.961175481592573, 74.22603233930191), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.973751838042446, 74.22603233930191), Place Type: hospital, Customers Found: 17
API Hit - Location: (31.973751838042446, 74.22603233930191), Place Type: doctor, Customers Found: 4
API Hit - Location: (31.973751838042446, 74.22603233930191), Place Type: pharmacy, Customers Found: 20
API Hit - Location: (31.973751838042446, 74.22603233930191), Place Type: dentist, Customers Found: 2
API Hit - Location: (31.98632819449232, 74.22603233930191), Place Type: hospital, Customers Found: 16
API Hit - Location: (31.98632819449232, 74.22603233930191), Place Type: doctor, Customers Found: 3
API Hit - Location: (31.98632819449232, 74.22603233930191), Place Type: pharmacy, Customers Found: 18
API Hit - Location: (31.98632819449232, 74.22603233930191), Place Type: dentist, Customers Found: 2
API Hit - Location: (31.961175481592573, 74.23860869575178), Place Type: hospital, Customers Found: 20
API Hit - Location: (31.961175481592573, 74.23860869575178), Place Type: doctor, Customers Found: 1
API Hit - Location: (31.961175481592573, 74.23860869575178), Place Type: pharmacy, Customers Found: 0
API Hit - Location: (31.961175481592573, 74.23860869575178), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.98632819449232, 74.23860869575178), Place Type: hospital, Customers Found: 16
API Hit - Location: (31.98632819449232, 74.23860869575178), Place Type: doctor, Customers Found: 1
API Hit - Location: (31.98632819449232, 74.23860869575178), Place Type: pharmacy, Customers Found: 4
API Hit - Location: (31.98632819449232, 74.23860869575178), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.998904550942193, 74.23860869575178), Place Type: hospital, Customers Found: 9
API Hit - Location: (31.998904550942193, 74.23860869575178), Place Type: doctor, Customers Found: 1
API Hit - Location: (31.998904550942193, 74.23860869575178), Place Type: pharmacy, Customers Found: 2
API Hit - Location: (31.998904550942193, 74.23860869575178), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.952558202852416, 74.23446047591148), Place Type: hospital, Customers Found: 3
API Hit - Location: (31.952558202852416, 74.23446047591148), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.952558202852416, 74.23446047591148), Place Type: pharmacy, Customers Found: 2
API Hit - Location: (31.952558202852416, 74.23446047591148), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.939637448174924, 74.23170147628463), Place Type: hospital, Customers Found: 0
API Hit - Location: (31.939637448174924, 74.23170147628463), Place Type: doctor, Customers Found: 0
API Hit - Location: (31.939637448174924, 74.23170147628463), Place Type: pharmacy, Customers Found: 0
API Hit - Location: (31.939637448174924, 74.23170147628463), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.976838167198363, 74.20357446631367), Place Type: hospital, Customers Found: 12
API Hit - Location: (31.976838167198363, 74.20357446631367), Place Type: doctor, Customers Found: 4
API Hit - Location: (31.976838167198363, 74.20357446631367), Place Type: pharmacy, Customers Found: 1
API Hit - Location: (31.976838167198363, 74.20357446631367), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.99264702443501, 74.20669321389315), Place Type: hospital, Customers Found: 14
API Hit - Location: (31.99264702443501, 74.20669321389315), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.99264702443501, 74.20669321389315), Place Type: pharmacy, Customers Found: 2
API Hit - Location: (31.99264702443501, 74.20669321389315), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.994849703524846, 74.22188139458386), Place Type: hospital, Customers Found: 13
API Hit - Location: (31.994849703524846, 74.22188139458386), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.994849703524846, 74.22188139458386), Place Type: pharmacy, Customers Found: 4
API Hit - Location: (31.994849703524846, 74.22188139458386), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.99444473048308, 74.23044261334532), Place Type: hospital, Customers Found: 13
API Hit - Location: (31.99444473048308, 74.23044261334532), Place Type: doctor, Customers Found: 2
API Hit - Location: (31.99444473048308, 74.23044261334532), Place Type: pharmacy, Customers Found: 6
API Hit - Location: (31.99444473048308, 74.23044261334532), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.997411715547432, 74.24746413222819), Place Type: hospital, Customers Found: 2
API Hit - Location: (31.997411715547432, 74.24746413222819), Place Type: doctor, Customers Found: 1
API Hit - Location: (31.997411715547432, 74.24746413222819), Place Type: pharmacy, Customers Found: 2
API Hit - Location: (31.997411715547432, 74.24746413222819), Place Type: dentist, Customers Found: 0
API Hit - Location: (31.972846839242354, 74.2362003504602), Place Type: hospital, Customers Found: 17
API Hit - Location: (31.972846839242354, 74.2362003504602), Place Type: doctor, Customers Found: 3
API Hit - Location: (31.972846839242354, 74.2362003504602), Place Type: pharmacy, Customers Found: 9
API Hit - Location: (31.972846839242354, 74.2362003504602), Place Type: dentist, Customers Found: 1
Grid #0 | Search #0 | API Hit: hospital at (31.380450, 74.347297) - Found: 17 customers
Grid #0 | Search #1 | API Hit: doctor at (31.380450, 74.347297) - Found: 3 customers
Grid #0 | Search #2 | API Hit: pharmacy at (31.380450, 74.347297) - Found: 6 customers
Grid #0 | Search #3 | API Hit: dentist at (31.380450, 74.347297) - Found: 0 customers

Grid #0 - Total API Hits: 4
  Hospital Search Hits: 1
  Doctor Search Hits: 1
  Pharmacy Search Hits: 1
  Dentist Search Hits: 1
