Business Name,Latitude,Longitude,Status,Category
Surhan Medical Center,24.9063723,67.0706173,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Omair Sana Welfare Foundationعمیر ثناء فاؤنڈیشن,24.9166525,67.0780134,OPERATIONAL,"hospital, point_of_interest, health, establishment"
AS CABLE NETWORK,24.9118293,67.0657524,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Family Health Clinic (Dr. Rubina Faisal),24.9140813,67.0630399,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Qureshi Health System,24.9153881,67.0663978,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Memon Diabatic and Digonastic Center Gulshan-E-Iqbal,24.9100434,67.0720874,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Rida Medical Centre,24.9095962,67.0721596,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Shakaib Dental & Orthodontic Clinic,24.9101482,67.0726111,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Karachi Emergency & Medical Centre,24.9059135,67.0696919,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Neuro Mind Hospital,24.9186107,67.0910546,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Ashfaq Memorial Hospital,24.9092117,67.0845978,OPERATIONAL,"hospital, point_of_interest, health, establishment"
NASIR CLINIC,24.9109881,67.075502,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Gulshan Medical Complex گُلشن میڈیکل کَمپلیکس,24.9121096,67.0788956,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Alkhidmat Medical Center Madina Colony,24.913044,67.0786377,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Dawam Healthcare,24.9126195,67.0801542,OPERATIONAL,"hospital, point_of_interest, health, establishment"
WAPDA KPI DISPENSARY KARACHI,24.9071643,67.0774857,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Osama Medical Centre,24.9137526,67.079819,OPERATIONAL,"hospital, point_of_interest, health, establishment"
"EPI Center, Vaccination Center, Usama Medical Centre and dental clinic",24.9138182,67.0798292,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Gp Zone,24.9066309,67.0782434,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Samdani Hospital,24.9216954,67.0884593,OPERATIONAL,"hospital, point_of_interest, doctor, health, establishment"
Roshan Homeo Clinic,24.9222907,67.0758652,OPERATIONAL,"hospital, point_of_interest, health, establishment"
A-1 Shamim Compund,24.9176106,67.0771583,OPERATIONAL,"hospital, point_of_interest, health, establishment"
One Health Laboratory-Gulshan e Shamim,24.9173357,67.0758234,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Shan Hospital,24.9191127,67.0955078,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Herbalist AliAzam Treatment Center Gulshan e Iqbal Karachi,24.9112235,67.086967,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Al Shahab Homoeopathic store and Clinic,24.9117108,67.0882796,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Abdul Karim & H Usman Sons Trust,24.910106,67.0843889,OPERATIONAL,"hospital, health, point_of_interest, establishment"
"EPI Center, Ashfaq Memorial Hospital, Gulshan Iqbal, District East Karachi",24.9093446,67.0845749,OPERATIONAL,"hospital, health, point_of_interest, establishment"
"EPI Center, Al-Mustafa Hospital, Gulshan Iqbal, District East Karachi",24.908443,67.0831741,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Al-Mustafa Hospital,24.9083955,67.0831753,OPERATIONAL,"hospital, health, point_of_interest, establishment"
asian lab and diagnostic centre,24.9080745,67.0829649,OPERATIONAL,"hospital, health, point_of_interest, establishment"
University Rd Medical Services,24.9079786,67.082738,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Jawed Eye Hospital,24.9077047,67.0824026,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Ayesha Clinic by Dr Ashfaq Amiwala,24.9079695,67.0821002,OPERATIONAL,"hospital, health, point_of_interest, establishment"
Mother And Child Clinic,24.9331818,67.1031262,OPERATIONAL,"hospital, point_of_interest, health, establishment"
The Modern Hospital,24.9260777,67.1072362,OPERATIONAL,"hospital, point_of_interest, health, establishment"
dawai time pey,24.9180625,67.0970625,OPERATIONAL,"pharmacy, hospital, point_of_interest, health, store, establishment"
Gulshan Medical centre,24.9238464,67.0985856,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Dental Zone,24.9220192,67.0925279,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Messiah dental care and aesthetics,24.9222737,67.0925862,OPERATIONAL,"hospital, point_of_interest, health, establishment"
The Dental Specialist's Hub,24.9228303,67.0927412,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Health Icon Medical & Diagnostic Centre,24.9210502,67.100397,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Murreum Memorial Hospital,24.9237097,67.0930385,OPERATIONAL,"hospital, point_of_interest, health, establishment"
mariyam memorial hospital,24.9237566,67.0930255,OPERATIONAL,"hospital, point_of_interest, health, establishment"
AL WASAY INSTITUTE & MEDICAL CENTER,24.9236736,67.0927246,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Al-Raaziah Clinic & Maternity Home,24.9339633,67.104396,OPERATIONAL,"hospital, point_of_interest, health, establishment"
Times General Hospital ٹائِمز جَنرل ھسپتال,24.9323342,67.1023369,OPERATIONAL,"hospital, point_of_interest, health, establishment"
