id,cmp_territ,name,region_id,zone_id,area_id,distributo,color_id,created_at,updated_at,deleted_at,sub_id
137,191-65395,MASAN ROAD,2,3,5,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
1,191-65384,BALDIA TOWN,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
2,191-65277,METROVILL,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
3,191-65482,ABBASI SHAHEED + NAZIMABAD # 5,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
4,191-65528,NAZIMABAD # 1.2.4,2,3,6,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
5,191-65236,BANARAS COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
6,191-65233,HUB,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
7,191-65332,METROVIL,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
9,191-65174,ITTEHAD TOWN (O),1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
10,191-65284,FRONTIER COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
11,191-65478,MOMINABAD,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
12,191-65391,REHMAT CHOWK,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
14,191-65231,"ORANGI TOWN # 5,10",1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
15,191-65438,PAPOSH,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
16,191-65270,NEVAL COLONY,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
17,191-65489,FAREED COLONY,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
21,191-65476,NAI ABADI (PEELA SCHOOL),1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
22,191-65293,QATAR HOSPITAL,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
23,191-65385,SAEEDABAD,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
24,191-65276,PATHAN COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
25,191-65290,MUJAHID COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
30,191-65223,RASHIDABAD,1,1,1,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
35,191-65469,GOHDRA CAMP,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
36,191-65217,BUFFER ZONE,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
37,191-65532,QASBA COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
38,191-65539,AISHA MANZIL,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
40,191-65216,NORTH KARACHI # 5 1/2,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
41,191-65353,NUSRAT BHUTTO COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
42,191-65299,"HYDERI BLOCK # E,D",1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
45,191-65189,"ANCHOLI BLOCK # 17,20",1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
46,191-65286,GULSHAN-E-BIHAR,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
47,191-65434,"SECTOR 5C,5C1 TO 5C4,5B1",1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
48,191-65526,SIR SYED TOWN,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
49,191-65219,SHADMAN TOWN 1TO10,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
50,191-65305,M.P.R COLONY,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
51,191-65379,ADAM TOWN,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
52,191-65218,U.P MORE,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
53,191-65243,N.NAZIMABAD BLK-B KAUSER NIAZI,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
54,191-65244,"BLOCK # A,C,I,J,K",1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
56,191-65380,SURJANI TOWN,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
57,191-65297,"DASTAGIR # 7,9,15",1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
64,191-65178,AZIZABAD,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
66,191-65201,NASIRABAD,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
67,191-65300,"BLOCK # N,M,H,L",1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
68,191-65534,BALOCH COLONY,2,3,6,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
69,191-65192,BLOCK-G,1,1,2,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
70,191-65167,MAYMAR COMPLEX,1,2,4,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
71,191-65242,WATER PUMP,1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
73,191-65292,AL-ASIF SQUARE (SOHRAB GOTH),1,2,3,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
74,191-65531,FAQEERA GOTH,1,2,4,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
75,191-65343,GUSHAN-E-MAYMAR,1,2,4,3,1,2023/05/04 11:24:28.059,2023/05/04 11:24:28.059,,
