Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category
ChIJo_u_Ggg9sz4RKDL8h6fGMEU,,Karachi Medicos and Radiology,24.7973229,67.045552,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJSZpRVO08sz4RPokeFfxKIXw,,Shan Medicos And Super Store,24.8000013,67.0700502,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJi9dEtQ8Xsz4RAvP2gbbN5Lc,,Ali Medico,24.8234585,66.9790151,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJdwppwKM9sz4RDfPCHAujV60,,New Iqra medicos,24.8122939,67.0167965,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJDW78n5k9sz4RZtohQrQvZ_g,,Clifton Medico Pharmacy,24.8114038,67.0181832,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJUy6Qr7U9sz4RGj7YYgyDg9M,,Kausar Medico (Gizri),24.8267471,67.0431761,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJhTZhjbM9sz4RIMuhXLO-LJw,,Amir Medicos & General Items,24.8230546,67.0420797,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJy_l7-jM9sz4R_WjPe3LjXNc,,ABBASI MEDICOS & Clinics (GIZRI BRANCH) | Dow Lab Collection Point,24.8267179,67.0431885,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJ6YPhsLA9sz4Rl1IlXsjY9Z0,,Irfan Medicos (Pharmacy),24.8270015,67.0429961,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJVZ0C_Mo9sz4RaSbE7_4ru48,,Salman Medicos,24.8320647,67.0438643,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJReJsmlM8sz4RGuyfEcS44HE,,Bawany Medicos Homeopathic Store,24.8146875,67.0500625,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJTQ9bDVQ8sz4RzT3chdnUMu4,,Hak Medico,24.8132876,67.0510668,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJE97Fn289sz4RRR6A2c5wKOI,,Aimon Medicos & General Store,24.8130598,67.0513,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJzRn3QgA9sz4RO3Vpr8muT2I,,Kausar Medico (Bukhari),24.7927165,67.0644974,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJQVhBEzA8sz4RatjWfZOKR20,,Sunny Medico & General Store,24.8416259,67.0573228,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJJdGDpLQ9sz4R6qurZ-zTKsE,,ABBASI MEDICOS & CLINICS,24.8095397,67.0709401,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJ5zWsSQA9sz4Rb42s-TBt0yQ,,Sky medicos,24.8300582,67.0697747,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJkeytIQA9sz4RMhAS7H3alTE,,CLIFTON MEDICO,24.830251,67.0697382,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJVctQXf89sz4RM58yWntciyM,,Unico medicos,24.8350271,67.0686075,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJXWnvFYI_sz4Rbsix_FvwQ4s,NORTH NAZIMABAD,Zam Zam General And Medicos,24.9350573,67.0450326,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJn3UXjls_sz4RQK_mAtvort0,MOOSA COLONY,Umair Medicos and General Store,24.9237962,67.0466637,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJpxPemiZBsz4Rr8geDxMGyaM,NORTH NAZIMABAD,Jz Medicos,24.9429783,67.0466864,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJB1AV0GxHsz4RtzXk01_xdAA,MAMAR COMPLEX,Zain medicos,24.9963679,67.1160658,OPERATIONAL,"hospital, health, point_of_interest, establishment"
ChIJP_RrdtsVsz4RksrnBxU9bTo,BIHAR COLONY,Family Care+ Medicose & General Store,24.8733662,66.9886191,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJhyNli0gVsz4RQTds1kADDQg,KHARADAR,Mi Medico & General store,24.8520031,66.9959467,OPERATIONAL,"pharmacy, health, store, food, point_of_interest, establishment"
ChIJ4Y9ulnsVsz4RB0Zk6gFUnks,KHARADAR,Mehran Medicos,24.8530625,66.9955625,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJ-c-gz8UVsz4RhOFVhiZsYjA,NAWABADDARYABAD,Jameela Medico,24.865393,66.9924383,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJvYT1_9gVsz4RMWmBlcubqLc,NAWABADDARYABAD,Agha Medicos,24.8646275,66.998155,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJFZVn1dk_sz4RHJBVE06AWZI,BURNS ROAD,Muneeb Medicos,24.8534354,67.0085158,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJRW-lbsI_sz4RQegL8E8TgAg,CIVIL HOSPITAL,S.k Vet Medicos & PET MART,24.8614445,67.0193893,OPERATIONAL,"pharmacy, veterinary_care, health, store, point_of_interest, establishment"
ChIJPyVML_w_sz4RGQpT9xEpqfQ,SADDAR,Abdullah Medicos,24.860908,67.0244477,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
ChIJmWazOGs-sz4Rhu33lyCQenw,SOLDIER BAZAR,Khan Medico,24.8669888,67.0237396,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJ-7cPf2o-sz4RpjmxlZgHKRA,SOLDIER BAZAR,Khanum Medicos,24.8713511,67.0258612,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJof_PQGs-sz4RiV1a0Qgy2lM,SOLDIER BAZAR,Al-Shifa Medicos,24.8667758,67.0238138,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJh2w1Wrw_sz4RT9Ar0Qfbhkk,GARDEN EAST,F.I.N MEDICOS,24.8823152,67.0267964,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJ0_hL78A_sz4R077HXBKW6ww,M.A.JINNAH ROAD,Al Tawakkal Medicos & mart,24.8678197,67.030457,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJqWBVU0I-sz4RKjVRvlc8Rr0,M.A.JINNAH ROAD,Amir Medicos,24.874375,67.0309207,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJW-VVMzo_sz4RplSjxvwgSh0,SOLDIER BAZAR,Almadina Super Store Medico/Grocery/General Items,24.8743879,67.0296325,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJf39DSG8-sz4R2V1dnuTHYmM,LINES AREA  JACOB LINE,Imran Medicos,24.8664612,67.033183,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJI8xaGkM-sz4RnAvTB0GZ3zw,SOLDIER BAZAR,Akbar Medicos,24.8759002,67.0325586,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJjUzgYCk_sz4R0fRsGdyWcgk,SOLDIER BAZAR,Friends Medicos,24.877773,67.0343896,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJ7zQOPUM-sz4RAAPIoHb6SzE,SOLDIER BAZAR,Al-Hikmat Medicos,24.8762879,67.0332137,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJ_0zp9mU-sz4RbUDhYjR6SwI,LINES AREA  JACOB LINE,Abdullah Medico and General Store,24.8664114,67.0347849,OPERATIONAL,"pharmacy, health, store, food, point_of_interest, establishment"
ChIJnRoyOQA_sz4R_gCJEk86fWs,NICVD,Hussain Medicos,24.8530881,67.0412299,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
