Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Clanic, Islamabad"
5,islamabadspecialistc_33.696991_73.051271,Islamabad Specialist Clinic G-8 Markaz Islamabad,,Medical clinic,Open,33.6969906,73.0512707,https://www.google.com/maps/place/Islamabad+Specialist+Clinic+G-8+Markaz+Islamabad/data=!4m7!3m6!1s0x38dfbf6482f6aa81:0xae209a86fda47a8b!8m2!3d33.6969906!4d73.0512707!16s%2Fg%2F11hf72mc2q!19sChIJgar2gmS_3zgRi3qk_YaaIK4?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
37,drajmalosmanfatimacl_33.688607_73.013056,Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi,"Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi
4.8(184)
Hospital ·  · House 93 Street 44
Open ⋅ Closes 12 AM · +92 323 6833333",Hospital,Open,33.6886072,73.013056,https://www.google.com/maps/place/Dr.+Ajmal+Osman+%7C+Fatima+Clinic+F-10+%7C+Top%2FBest+%28No.1%29+Specialist+of+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38dfbe1693dca1a1:0x4d05249fbcd133d5!8m2!3d33.6886072!4d73.013056!16s%2Fg%2F11fxx64hvf!19sChIJoaHckxa-3zgR1TPRvJ8kBU0?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
38,hmdiagnosticsandclin_33.698479_73.048750,HM Diagnostics and Clinics,"HM Diagnostics and Clinics
4.8(213)
Medical clinic · Basement shop no. 11 & 12 Crescent Arcade, Road
Open ⋅ Closes 10 PM · +92 321 5199295",Medical clinic,Open,33.6984794,73.0487497,https://www.google.com/maps/place/HM+Diagnostics+and+Clinics/data=!4m7!3m6!1s0x38dfbfd2f102e0f9:0x3e7c6653ba9236fd!8m2!3d33.6984794!4d73.0487497!16s%2Fg%2F11jx6jbvnp!19sChIJ-eAC8dK_3zgR_TaSulNmfD4?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
39,lelotuscliniquetopsk_33.706189_73.037792,Le Lotus Clinique - Top Skin Care Clinic in Islamabad,"Le Lotus Clinique - Top Skin Care Clinic in Islamabad
4.8(793)
Dermatologist · Besides Studio M & Kitchen Cuisine Restaurant, Allah Wali Market, 1 Street 33
Open ⋅ Closes 7 PM · +92 318 5457381",Dermatologist,Open,33.7061886,73.0377925,https://www.google.com/maps/place/Le+Lotus+Clinique+-+Top+Skin+Care+Clinic+in+Islamabad/data=!4m7!3m6!1s0x38dfbf08effa8d9f:0xa430311967c12e8f!8m2!3d33.7061886!4d73.0377925!16s%2Fg%2F11r2rnrl71!19sChIJn4367wi_3zgRjy7BZxkxMKQ?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
40,alfatimaclinicislama_33.716399_73.084738,"Al fatima Clinic, islamabad","Al fatima Clinic, islamabad
3.7(26)
Medical Center ·  · Ground Floor, Melody Market, Islamabad Medical and Surgical Centre
Open 24 hours · +92 336 2824124",Medical Center,Open 24 hours,33.7163989,73.0847375,"https://www.google.com/maps/place/Al+fatima+Clinic,+islamabad/data=!4m7!3m6!1s0x38dfbf7c8641b7cf:0x1713a8999cc921b!8m2!3d33.7163989!4d73.0847375!16s%2Fg%2F11sjrnmzyv!19sChIJz7dBhny_3zgRG5LMmYk6cQE?authuser=0&hl=en&rclk=1","Clanic, Islamabad"
41,islamabadfamilyclini_33.642228_73.127788,Islamabad Family Clinic,"Islamabad Family Clinic
5.0(24)
Health consultant · Gardyzi colony, Barma
Open ⋅ Closes 10 PM · +92 323 5555082",Health consultant,Open,33.642228,73.1277884,https://www.google.com/maps/place/Islamabad+Family+Clinic/data=!4m7!3m6!1s0x38dfeb43850c74e3:0xce7e92b616b34742!8m2!3d33.642228!4d73.1277884!16s%2Fg%2F11qg6616pd!19sChIJ43QMhUPr3zgRQkezFraSfs4?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
42,lelotuscliniqueskinc_33.530342_73.133320,Le Lotus Clinique - Skin Care Clinic in Islamabad,"Le Lotus Clinique - Skin Care Clinic in Islamabad
4.9(708)
Skin care clinic ·  · Crystal Heights Plaza # 14 Bank Al Habib Building, G.T. Rd
Open ⋅ Closes 7 PM · +92 335 5181166",Skin care clinic,Open,33.5303419,73.1333203,https://www.google.com/maps/place/Le+Lotus+Clinique+-+Skin+Care+Clinic+in+Islamabad/data=!4m7!3m6!1s0x38dfed2bebf3dc4f:0x31619be77520b7d7!8m2!3d33.5303419!4d73.1333203!16s%2Fg%2F11g0dgv39c!19sChIJT9zz6yvt3zgR17cgdeebYTE?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
43,graceinternationalho_33.663460_72.887963,Grace International Hospital Islamabad,"Grace International Hospital Islamabad
2.8(46)
Hospital · 
Open 24 hours · +92 301 5710777",Hospital,Open 24 hours,33.6634596,72.8879628,https://www.google.com/maps/place/Grace+International+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfa3e8224f80f1:0x89bea84f88237fda!8m2!3d33.6634596!4d72.8879628!16s%2Fg%2F11lg2nf5v3!19sChIJ8YBPIuij3zgR2n8jiE-ovok?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
44,islamabadentcenterpv_33.697989_73.048847,"Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's","Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's
4.8(186)
Otolaryngology clinic ·  · officia 20 Ground Floor, executive Complex, Back Side PSO Pump, Markaz, near TCS Office
Open ⋅ Closes 9 PM · +92 342 4512784",Otolaryngology clinic,Open,33.6979885,73.0488475,"https://www.google.com/maps/place/Islamabad+ENT+Center-Pvt.Ltd%22+%28Rhinoplasty%29+Ear,+Nose,+Throat+Specialist%27s,+Surgeon%27s/data=!4m7!3m6!1s0x38dfbfbf21ad4751:0xd3a073468163936!8m2!3d33.6979885!4d73.0488475!16s%2Fg%2F11mwys_dgl!19sChIJUUetIb-_3zgRNjkWaDQHOg0?authuser=0&hl=en&rclk=1","Clanic, Islamabad"
45,avicennaclinic_33.710497_73.038990,Avicenna Clinic,"Avicenna Clinic
5.0(4)
Medical clinic ·  · Khasif Plaza, Parking, offJohar Road
Open ⋅ Closes 11 PM · +92 51 8448474",Medical clinic,Open,33.7104968,73.03899,https://www.google.com/maps/place/Avicenna+Clinic/data=!4m7!3m6!1s0x38dfbfae8c8e2981:0xabae6ce0c269947!8m2!3d33.7104968!4d73.03899!16s%2Fg%2F11fn242f7y!19sChIJgSmOjK6_3zgRR5kmDM7mugo?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
46,drsamanwaseembestder_33.722529_73.060211,DR SAMAN WASEEM | Best Dermatologist in Islamabad | Best Skin Specialist | Best Laser Clinic | Derma Bliss,"DR SAMAN WASEEM | Best Dermatologist in Islamabad | Best Skin Specialist | Best Laser Clinic | Derma Bliss
4.8(245)
Skin care clinic · Jinnah Super Market, Shop 8-13, Lower Ground Floor PAKLAND Trade Center, next to Bareeze
Open ⋅ Closes 7 PM · +92 302 8866556",Skin care clinic,Open,33.7225293,73.0602112,https://www.google.com/maps/place/DR+SAMAN+WASEEM+%7C+Best+Dermatologist+in+Islamabad+%7C+Best+Skin+Specialist+%7C+Best+Laser+Clinic+%7C+Derma+Bliss/data=!4m7!3m6!1s0x38dfbfa0c6ba1861:0x8fc387a7941089ad!8m2!3d33.7225293!4d73.0602112!16s%2Fg%2F11g9s_9px0!19sChIJYRi6xqC_3zgRrYkQlKeHw48?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
47,dynamicclinicislamab_33.723608_73.057472,Dynamic Clinic islamabad,"Dynamic Clinic islamabad
4.9(13)
Skin care clinic · Ammar Center F-7 Markaz, ISB, Markaz
Open ⋅ Closes 8 PM · +92 51 2656491",Skin care clinic,Open,33.7236077,73.0574718,https://www.google.com/maps/place/Dynamic+Clinic+islamabad/data=!4m7!3m6!1s0x85421ccf8a220589:0xa82247ac8dd20281!8m2!3d33.7236077!4d73.0574718!16s%2Fg%2F11m5qjw5mr!19sChIJiQUiis8cQoURgQLSjaxHIqg?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
48,imranzcliniccertifie_33.669177_73.075760,Imranz Clinic - Certified Sexologist in Islamabad & Rawalpindi,"Imranz Clinic - Certified Sexologist in Islamabad & Rawalpindi
4.6(50)
Sexologist · Suite No 9, 1st Floor, Twin City Center, Markaz
Open ⋅ Closes 6 PM · +92 311 1120007",Sexologist,Open,33.669177,73.0757595,https://www.google.com/maps/place/Imranz+Clinic+-+Certified+Sexologist+in+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38df950c11db12d9:0x1787f93aaf3c430a!8m2!3d33.669177!4d73.0757595!16s%2Fg%2F11v42p5h26!19sChIJ2RLbEQyV3zgRCkM8rzr5hxc?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
49,draasmatayyabkhanisl_33.715395_73.054802,DR AASMA TAYYAB KHAN - Islamabad laser and skin clinic | Best dermatologist in Islamabad | Best laser clinic,"DR AASMA TAYYAB KHAN - Islamabad laser and skin clinic | Best dermatologist in Islamabad | Best laser clinic
4.9(927)
Dermatologist · Faisal Market، plot 6, first floor, Islamabad Laser and Skin Clinic Al-Sheikh Plaza
Open ⋅ Closes 5 PM · +92 331 5005904",Dermatologist,Open,33.7153949,73.0548025,https://www.google.com/maps/place/DR+AASMA+TAYYAB+KHAN+-+Islamabad+laser+and+skin+clinic+%7C+Best+dermatologist+in+Islamabad+%7C+Best+laser+clinic/data=!4m7!3m6!1s0x38dfbf719ba93491:0xae95545bd08cc6f5!8m2!3d33.7153949!4d73.0548025!16s%2Fg%2F11s_s620p9!19sChIJkTSpm3G_3zgR9caM0FtUla4?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
50,zobiahospitalg9islam_33.677978_73.030205,Zobia Hospital G-9 Islamabad,"Zobia Hospital G-9 Islamabad
3.5(103)
Hospital ·  · Street 30
Open 24 hours · +92 51 2261130",Hospital,Open 24 hours,33.6779776,73.0302046,https://www.google.com/maps/place/Zobia+Hospital+G-9+Islamabad/data=!4m7!3m6!1s0x38dfbf80a2b451a5:0x316fd483f145e55d!8m2!3d33.6779776!4d73.0302046!16s%2Fg%2F11h336n5v0!19sChIJpVG0ooC_3zgRXeVF8YPUbzE?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
51,aayanhealthclinic_33.705295_73.068247,Aayan Health Clinic,"Aayan Health Clinic
4.6(19)
Medical clinic ·  · Sitara، Shop # 1-2, Kohsar Cinema Building. Sitara Market, Islamabad G-7 Markaz، Market
Open ⋅ Closes 11 PM · +92 51 2606816",Medical clinic,Open,33.7052947,73.0682471,https://www.google.com/maps/place/Aayan+Health+Clinic/data=!4m7!3m6!1s0x38dfbf94f6965785:0x4ac781ac8c060939!8m2!3d33.7052947!4d73.0682471!16s%2Fg%2F11c1ngy_97!19sChIJhVeW9pS_3zgROQkGjKyBx0o?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
52,thefamilyclinic_33.722563_73.060438,The Family Clinic,"The Family Clinic
4.0(59)
Medical clinic · Jinnah super Market, Pak Land trade center, 3rd floor Office no 8 F7/2
Open ⋅ Closes 5 PM · +92 51 2651666",Medical clinic,Open,33.7225625,73.0604375,https://www.google.com/maps/place/The+Family+Clinic/data=!4m7!3m6!1s0x38dfbfd01869359d:0xa42e70676acb0d42!8m2!3d33.7225625!4d73.0604375!16s%2Fg%2F11v9byxh_3!19sChIJnTVpGNC_3zgRQg3LamdwLqQ?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
53,pafhospitalislamabad_33.708229_73.015313,PAF Hospital Islamabad,"PAF Hospital Islamabad
3.7(690)
Doctor ·  · Main Margalla Rd
Open 24 hours · +92 51 9564000",Doctor,Open 24 hours,33.708229,73.015313,https://www.google.com/maps/place/PAF+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf22bfada2c1:0xa4d9acbf9789555b!8m2!3d33.708229!4d73.015313!16s%2Fg%2F11gmgd5zhy!19sChIJwaKtvyK_3zgRW1WJl7-s2aQ?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
54,glamorousprptherapyc_33.668064_73.074335,Glamorous PRP Therapy Clinic Islamabad - PRP Face & Hair,"Glamorous PRP Therapy Clinic Islamabad - PRP Face & Hair
4.9(39)
Dermatologist · Office No 32, 1st Floor, City Centre, 31
Open 24 hours · +92 333 5705871",Dermatologist,Open 24 hours,33.6680644,73.0743347,https://www.google.com/maps/place/Glamorous+PRP+Therapy+Clinic+Islamabad+-+PRP+Face+%26+Hair/data=!4m7!3m6!1s0x38dfbf1975d8b5e5:0x11d67fccb0a2f02b!8m2!3d33.6680644!4d73.0743347!16s%2Fg%2F11jt3psrd_!19sChIJ5bXYdRm_3zgRK_CisMx_1hE?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
55,drtaliyasclinic_33.689457_73.039991,Dr. Taliya's Clinic,"Dr. Taliya's Clinic
3.9(117)
Medical Center ·  · Street #66, Noor Plaza, Taqwa Market
Open 24 hours · +92 51 2260010",Medical Center,Open 24 hours,33.6894567,73.0399914,https://www.google.com/maps/place/Dr.+Taliya%27s+Clinic/data=!4m7!3m6!1s0x38dfbe32c93d4c9b:0x57e939cbc65699b5!8m2!3d33.6894567!4d73.0399914!16s%2Fg%2F11b5s2gj9_!19sChIJm0w9yTK-3zgRtZlWxss56Vc?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
56,zaiultrasoundclinic_33.710258_73.058354,ZAI Ultrasound Clinic,"ZAI Ultrasound Clinic
4.9(64)
Medical diagnostic imaging center ·  · 5 Ground Floor, Ghulam Rasool Plaza, 107 AKM Fazl-ul-Haq Rd
Open ⋅ Closes 5 PM · +92 343 2806111",Medical diagnostic imaging center,Open,33.7102582,73.0583536,https://www.google.com/maps/place/ZAI+Ultrasound+Clinic/data=!4m7!3m6!1s0x38dfbfbc9dbc6abb:0xa4a7b30592432e72!8m2!3d33.7102582!4d73.0583536!16s%2Fg%2F1tq4pgls!19sChIJu2q8nby_3zgRci5DkgWzp6Q?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
57,myhairclinicislamaba_33.677936_72.984491,My Hair Clinic Islamabad,"My Hair Clinic Islamabad
4.5(53)
Medical clinic · House # 120 Street 9
Open ⋅ Closes 8 PM · +92 317 5555930",Medical clinic,Open,33.6779362,72.9844906,https://www.google.com/maps/place/My+Hair+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfbdfae53c5ef9:0x34d663814e6f6a14!8m2!3d33.6779362!4d72.9844906!16s%2Fg%2F11c1txn6b1!19sChIJ-V485fq93zgRFGpvToFj1jQ?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
58,skinestheticsclinici_33.694753_72.999705,Skin Esthetics Clinic Islamabad,"Skin Esthetics Clinic Islamabad
4.8(112)
Skin care clinic · Idrees Market, Street 11A
Open ⋅ Closes 8 PM · +92 319 0531845",Skin care clinic,Open,33.6947529,72.9997047,https://www.google.com/maps/place/Skin+Esthetics+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfbe3257cb5a49:0x36c80a2ed8fcff8f!8m2!3d33.6947529!4d72.9997047!16s%2Fg%2F11fsls9cc8!19sChIJSVrLVzK-3zgRj__82C4KyDY?authuser=0&hl=en&rclk=1,"Clanic, Islamabad"
