Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Dawakhana, Islamabad"
5,amanateyehospitalraw_33.587252_73.066364,Amanat Eye Hospital Rawalpindi,,Eye care center,Open,33.5872518,73.0663637,https://www.google.com/maps/place/Amanat+Eye+Hospital+Rawalpindi/data=!4m7!3m6!1s0x38df935dc4333d53:0xa7d989ebc4727fe!8m2!3d33.5872518!4d73.0663637!16s%2Fg%2F1tf060yh!19sChIJUz0zxF2T3zgR_idHvJ6YfQo?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
37,drajmalosmanfatimacl_33.688607_73.013056,Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi,"Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi
4.8(184)
Hospital ·  · House 93 Street 44
Open ⋅ Closes 12 AM · +92 323 6833333",Hospital,Open,33.6886072,73.013056,https://www.google.com/maps/place/Dr.+Ajmal+Osman+%7C+Fatima+Clinic+F-10+%7C+Top%2FBest+%28No.1%29+Specialist+of+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38dfbe1693dca1a1:0x4d05249fbcd133d5!8m2!3d33.6886072!4d73.013056!16s%2Fg%2F11fxx64hvf!19sChIJoaHckxa-3zgR1TPRvJ8kBU0?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
38,islamabadspecialistc_33.696991_73.051271,Islamabad Specialist Clinic G-8 Markaz Islamabad,"Islamabad Specialist Clinic G-8 Markaz Islamabad
4.9(109)
Doctor ·  · G, 8 Markaz Rd
Open ⋅ Closes 9 PM · +92 343 0000433",Doctor,Open,33.6969906,73.0512707,https://www.google.com/maps/place/Islamabad+Specialist+Clinic+G-8+Markaz+Islamabad/data=!4m7!3m6!1s0x38dfbf6482f6aa81:0xae209a86fda47a8b!8m2!3d33.6969906!4d73.0512707!16s%2Fg%2F11hf72mc2q!19sChIJgar2gmS_3zgRi3qk_YaaIK4?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
39,drmuneebullahgeneral_33.697480_73.011910,Dr. Muneeb Ullah (General & Laparoscopic Surgeon),"Dr. Muneeb Ullah (General & Laparoscopic Surgeon)
5.0(283)
Surgeon ·  · MAROOF International Hospital
Open ⋅ Closes 6 PM · +92 334 5215334",Surgeon,Open,33.6974802,73.0119105,https://www.google.com/maps/place/Dr.+Muneeb+Ullah+%28General+%26+Laparoscopic+Surgeon%29/data=!4m7!3m6!1s0x38dfbfaa337786c1:0x19a9a794755a8550!8m2!3d33.6974802!4d73.0119105!16s%2Fg%2F11rxldc4bn!19sChIJwYZ3M6q_3zgRUIVadZSnqRk?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
40,drsyedwazahattaqvisp_33.714165_73.040212,Dr. Syed Wazahat Taqvi ( Spinal and Orthopedic surgeon),"Dr. Syed Wazahat Taqvi ( Spinal and Orthopedic surgeon)
5.0(96)
Orthopedic clinic ·  · Ali Medical center, Islamabad specialist clinic
Open ⋅ Closes 7 PM · +92 331 8825552",Orthopedic clinic,Open,33.7141645,73.040212,https://www.google.com/maps/place/Dr.+Syed+Wazahat+Taqvi+%28+Spinal+and+Orthopedic+surgeon%29/data=!4m7!3m6!1s0x38dfbfb5671069d9:0x6e1f60899a3f4849!8m2!3d33.7141645!4d73.040212!16s%2Fg%2F11rd_8m28y!19sChIJ2WkQZ7W_3zgRSUg_molgH24?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
41,drjunaidshahzadentsp_33.698028_73.048982,Dr Junaid Shahzad | ENT specialist in Islamabad | Rhinoplasty | Sinus Surgery | Ear cleaning,"Dr Junaid Shahzad | ENT specialist in Islamabad | Rhinoplasty | Sinus Surgery | Ear cleaning
4.8(484)
Otolaryngologist ·  · Ground floor, M3W2+M2M JSK ENT clinic, Executive complex
Open ⋅ Closes 5 PM · +92 314 5325939",Otolaryngologist,Open,33.6980278,73.0489821,https://www.google.com/maps/place/Dr+Junaid+Shahzad+%7C+ENT+specialist+in+Islamabad+%7C+Rhinoplasty+%7C+Sinus+Surgery+%7C+Ear+cleaning/data=!4m7!3m6!1s0x38dfbf4880f6d677:0x8163e5273208931b!8m2!3d33.6980278!4d73.0489821!16s%2Fg%2F11fmz8vlr6!19sChIJd9b2gEi_3zgRG5MIMiflY4E?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
42,professordoctorraufn_33.694265_73.012907,Professor Doctor Rauf Niazi Clinic,"Professor Doctor Rauf Niazi Clinic
4.4(172)
Doctor ·  · Office 9, 10, Unit 1Q, Al mustafa mansion, Qadeer City Centre, near tanti optics
Opens soon ⋅ 2:30 PM · +92 51 2299466",Doctor,Opens soon,33.6942649,73.0129074,https://www.google.com/maps/place/Professor+Doctor+Rauf+Niazi+Clinic/data=!4m7!3m6!1s0x38dfbe14cf687c3b:0xa24761ba024b343d!8m2!3d33.6942649!4d73.0129074!16s%2Fg%2F12mkw8lby!19sChIJO3xozxS-3zgRPTRLArphR6I?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
43,drfaisalmurad_33.692392_72.995464,Dr. Faisal Murad,"Dr. Faisal Murad
5.0(163)
Surgeon ·  · F, 10 Street 10
Open ⋅ Closes 7 PM · +92 333 5103148",Surgeon,Open,33.6923922,72.9954642,https://www.google.com/maps/place/Dr.+Faisal+Murad/data=!4m7!3m6!1s0x38dfbf428ac25e57:0xde74481f24712666!8m2!3d33.6923922!4d72.9954642!16s%2Fg%2F11ttb471my!19sChIJV17CikK_3zgRZiZxJB9IdN4?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
44,drahmedshahabgpclini_33.725127_73.044353,Dr. Ahmed Shahab (GP Clinic),"Dr. Ahmed Shahab (GP Clinic)
5.0(28)
Doctor ·  · house 250 Street 23
Open ⋅ Closes 6 PM · +92 300 8541212",Doctor,Open,33.7251266,73.0443527,https://www.google.com/maps/place/Dr.+Ahmed+Shahab+%28GP+Clinic%29/data=!4m7!3m6!1s0x38dfbf01418163d5:0x5c7b230c44970cd!8m2!3d33.7251266!4d73.0443527!16s%2Fg%2F11dxl9g2z9!19sChIJ1WOBQQG_3zgRzXBJxDCyxwU?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
45,drammarageneralphysi_33.648485_73.040456,Dr Ammara general physician(Adult and child physician)(specialized doctors clinic),"Dr Ammara general physician(Adult and child physician)(specialized doctors clinic)
5.0(21)
Medical Center · Specialized doctors clinic, shoukat plaza, korang road near ABL parking, Markaz
Open 24 hours · +92 336 1110225",Medical Center,Open 24 hours,33.6484854,73.0404562,https://www.google.com/maps/place/Dr+Ammara+general+physician%28Adult+and+child+physician%29%28specialized+doctors+clinic%29/data=!4m7!3m6!1s0x38df958e1ba019af:0xcbfffc7dfe0d76ee!8m2!3d33.6484854!4d73.0404562!16s%2Fg%2F11wfrb_666!19sChIJrxmgG46V3zgR7nYN_n38_8s?authuser=0&hl=en&rclk=1,"Dawakhana, Islamabad"
