Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Hospetal, Islamabad"
5,advancedinternationa_33.696577_73.050456,Advanced International Hospital Islamabad,,Hospital,Open 24 hours,33.6965775,73.0504561,https://www.google.com/maps/place/Advanced+International+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf8a6764276f:0xdbb21f59afe3a45b!8m2!3d33.6965775!4d73.0504561!16s%2Fg%2F11hnbz_9lk!19sChIJbydkZ4q_3zgRW6Tjr1kfsts?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
37,islamabadinternation_33.702019_72.967700,Islamabad International Hospital & Research Center (IIHRC),"Islamabad International Hospital & Research Center (IIHRC)
4.2(301)
Hospital ·  · 2 Main Double Rd
Open 24 hours · +92 51 2304941",Hospital,Open 24 hours,33.7020189,72.9676998,https://www.google.com/maps/place/Islamabad+International+Hospital+%26+Research+Center+%28IIHRC%29/data=!4m7!3m6!1s0x38dfbdb7b33ca017:0xc4f40d2ce1e0e985!8m2!3d33.7020189!4d72.9676998!16s%2Fg%2F11gf8hs6jv!19sChIJF6A8s7e93zgRheng4SwN9MQ?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
38,pimshospitalislamaba_33.703334_73.052352,PIMS Hospital Islamabad,"PIMS Hospital Islamabad
3.9(818)
Government hospital ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Government hospital,Open 24 hours,33.7033339,73.0523516,https://www.google.com/maps/place/PIMS+Hospital+Islamabad/data=!4m7!3m6!1s0x38df950787a46b87:0x38d56dc761e05e4f!8m2!3d33.7033339!4d73.0523516!16s%2Fg%2F11r6fwws34!19sChIJh2ukhweV3zgRT17gYcdt1Tg?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
39,shifainternationalho_33.675015_73.066009,Shifa International Hospitals Limited,"Shifa International Hospitals Limited
3.4(2,453)
Hospital ·  · 4 Pitras Bukhari Rd
Open 24 hours · +92 51 8464646",Hospital,Open 24 hours,33.6750148,73.0660089,https://www.google.com/maps/place/Shifa+International+Hospitals+Limited/data=!4m7!3m6!1s0x38df955e641b11dd:0xa273b768a51a9c54!8m2!3d33.6750148!4d73.0660089!16s%2Fm%2F03c3g4_!19sChIJ3REbZF6V3zgRVJwapWi3c6I?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
40,maroofinternationalh_33.697460_73.011651,Maroof International Hospital,"Maroof International Hospital
3.2(807)
General hospital ·  · Service Rd E, F-10 Markaz F 10/3 F-10, 04412
Open 24 hours · +92 51 111 644 911",General hospital,Open 24 hours,33.6974597,73.0116512,https://www.google.com/maps/place/Maroof+International+Hospital/data=!4m7!3m6!1s0x38dfbe6b77fc7279:0x855a61d1ef5e9def!8m2!3d33.6974597!4d73.0116512!16s%2Fg%2F1hdzv62pm!19sChIJeXL8d2u-3zgR751e79FhWoU?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
41,pafhospitalislamabad_33.708229_73.015313,PAF Hospital Islamabad,"PAF Hospital Islamabad
3.7(690)
Hospital ·  · Main Margalla Rd
Open 24 hours · +92 51 9564000",Hospital,Open 24 hours,33.708229,73.015313,https://www.google.com/maps/place/PAF+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf22bfada2c1:0xa4d9acbf9789555b!8m2!3d33.708229!4d73.015313!16s%2Fg%2F11gmgd5zhy!19sChIJwaKtvyK_3zgRW1WJl7-s2aQ?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
42,shahidakhaliqhospita_33.692240_73.057561,Shahida Khaliq Hospital,"Shahida Khaliq Hospital
4.6(269)
Private hospital ·  · Plot No 14, Street No 22, 17-4 Street 22
Open 24 hours · +92 51 2331908",Private hospital,Open 24 hours,33.6922398,73.0575614,https://www.google.com/maps/place/Shahida+Khaliq+Hospital/data=!4m7!3m6!1s0x38dfbfe86d1359ad:0x565822eeafed1115!8m2!3d33.6922398!4d73.0575614!16s%2Fg%2F11sh5jzyx9!19sChIJrVkTbei_3zgRFRHtr-4iWFY?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
43,capitalinternational_33.649738_72.976560,Capital International Hospital (CIH),"Capital International Hospital (CIH)
4.4(214)
Hospital ·  · Street 3, Adjacent G-13/4 Park, Srinagar Highway, Service Rd
Open 24 hours · +92 315 3515555",Hospital,Open 24 hours,33.6497383,72.9765602,https://www.google.com/maps/place/Capital+International+Hospital+%28CIH%29/data=!4m7!3m6!1s0x38df97121bd4389d:0x4d0f61f6d63e994f!8m2!3d33.6497383!4d72.9765602!16s%2Fg%2F11gzq_k_vm!19sChIJnTjUGxKX3zgRT5k-1vZhD00?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
44,premiumdiagnosticand_33.703519_73.051454,Premium Diagnostic and Clinics,"Premium Diagnostic and Clinics
4.2(2,549)
Doctor ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Doctor,Open 24 hours,33.7035185,73.0514542,https://www.google.com/maps/place/Premium+Diagnostic+and+Clinics/data=!4m7!3m6!1s0x38dfbfb826dae131:0xba5e1cbcad4376fe!8m2!3d33.7035185!4d73.0514542!16zL20vMGQyeGNw!19sChIJMeHaJri_3zgR_nZDrbwcXro?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
45,quaideazaminternatio_33.624800_72.973246,Quaid-e-Azam International Hospital,"Quaid-e-Azam International Hospital
3.1(950)
Private hospital ·  · Main Peshawar Rd, near Golra Morr
Open 24 hours · +92 51 8449100",Private hospital,Open 24 hours,33.6248005,72.9732462,https://www.google.com/maps/place/Quaid-e-Azam+International+Hospital/data=!4m7!3m6!1s0x38df9661cfcea8cb:0x95f8f9fcd37941d9!8m2!3d33.6248005!4d72.9732462!16s%2Fg%2F1tlczk54!19sChIJy6jOz2GW3zgR2UF50_z5-JU?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
46,maxhealthhospital_33.697569_73.049161,Max Health Hospital,"Max Health Hospital
3.8(355)
General hospital ·  · 12-K Markaz Rd
Open 24 hours · +92 51 8094762",General hospital,Open 24 hours,33.6975693,73.0491612,https://www.google.com/maps/place/Max+Health+Hospital/data=!4m7!3m6!1s0x38dfbfc9ab6d46d5:0xf0f515eb876e3c03!8m2!3d33.6975693!4d73.0491612!16s%2Fg%2F11cjkd0f8b!19sChIJ1UZtq8m_3zgRAzxuh-sV9fA?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
47,kulsuminternationalh_33.718084_73.072795,Kulsum International Hospital,"Kulsum International Hospital
3.7(1,101)
Hospital ·  · Kulsum Plaza، 2020 Jinnah Ave
Open 24 hours · +92 51 8446666",Hospital,Open 24 hours,33.7180842,73.0727948,https://www.google.com/maps/place/Kulsum+International+Hospital/data=!4m7!3m6!1s0x38dfbf9b0adeb791:0xc2c5c863a0ed4ffb!8m2!3d33.7180842!4d73.0727948!16s%2Fg%2F1txc5dt3!19sChIJkbfeCpu_3zgR-0_toGPIxcI?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
48,alimedicalcentre_33.710413_73.042016,Ali Medical Centre,"Ali Medical Centre
3.4(730)
Private hospital ·  · P26Q+JWM, Kohistan Rd
Open 24 hours · +92 51 8090200",Private hospital,Open 24 hours,33.7104129,73.0420161,https://www.google.com/maps/place/Ali+Medical+Centre/data=!4m7!3m6!1s0x38dfbfad680bca0d:0x8035f4aacf56cf3d!8m2!3d33.7104129!4d73.0420161!16s%2Fg%2F1tgw88nw!19sChIJDcoLaK2_3zgRPc9Wz6r0NYA?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
49,paecgeneralhospitali_33.652561_73.016503,"PAEC General Hospital,Islamabad","PAEC General Hospital,Islamabad
3.7(349)
Hospital ·  · PAEC GENERAL HOSPITAL
Open 24 hours · +92 51 92571716",Hospital,Open 24 hours,33.6525608,73.016503,"https://www.google.com/maps/place/PAEC+General+Hospital,Islamabad/data=!4m7!3m6!1s0x38df95c01daa1a0b:0x63574e8b75b77ed1!8m2!3d33.6525608!4d73.016503!16s%2Fg%2F1tmpc9k8!19sChIJCxqqHcCV3zgR0X63dYtOV2M?authuser=0&hl=en&rclk=1","Hospetal, Islamabad"
50,familyhealthhospital_33.649380_73.046830,Family Health Hospital,"Family Health Hospital
3.5(157)
Hospital ·  · J2XW+QP4, St 30
Open 24 hours · +92 51 4446840",Hospital,Open 24 hours,33.64938,73.04683,https://www.google.com/maps/place/Family+Health+Hospital/data=!4m7!3m6!1s0x38df950ec9f30bd3:0xef6ddd02594d1da6!8m2!3d33.64938!4d73.04683!16s%2Fg%2F11x9bnkhh!19sChIJ0wvzyQ6V3zgRph1NWQLdbe8?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
51,caremedicalcenter_33.698542_73.048703,Care+ Medical Center,"Care+ Medical Center
3.9(208)
Private hospital ·  · 20-C, M2XX+F95 Crescent Arcade
Open 24 hours · +92 51 111 111 097",Private hospital,Open 24 hours,33.6985419,73.0487032,https://www.google.com/maps/place/Care%2B+Medical+Center/data=!4m7!3m6!1s0x38dfbf4b32a7fb61:0xca3ac0299b9d7aa4!8m2!3d33.6985419!4d73.0487032!16s%2Fg%2F11g3y4qzr_!19sChIJYfunMku_3zgRpHqdmynAOso?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
52,zobiahospitalg9islam_33.677978_73.030205,Zobia Hospital G-9 Islamabad,"Zobia Hospital G-9 Islamabad
3.5(103)
Hospital ·  · Street 30
Open 24 hours · +92 51 2261130",Hospital,Open 24 hours,33.6779776,73.0302046,https://www.google.com/maps/place/Zobia+Hospital+G-9+Islamabad/data=!4m7!3m6!1s0x38dfbf80a2b451a5:0x316fd483f145e55d!8m2!3d33.6779776!4d73.0302046!16s%2Fg%2F11h336n5v0!19sChIJpVG0ooC_3zgRXeVF8YPUbzE?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
53,lifecareinternationa_33.676624_73.015368,Life Care International Hospital,"Life Care International Hospital
2.8(317)
Hospital ·  · M2G8+Q6G
Open 24 hours · +92 51 2355501",Hospital,Open 24 hours,33.6766236,73.0153676,https://www.google.com/maps/place/Life+Care+International+Hospital/data=!4m7!3m6!1s0x38dfbe1f0d2d6b37:0x8389e594522baac6!8m2!3d33.6766236!4d73.0153676!16s%2Fg%2F119v44ckb!19sChIJN2stDR--3zgRxqorUpTliYM?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
54,islamabadmedicalands_33.716275_73.084751,Islamabad Medical and Surgical Hospital,"Islamabad Medical and Surgical Hospital
3.7(57)
Hospital ·  · Melody Market
Open 24 hours · +92 51 2603566",Hospital,Open 24 hours,33.7162751,73.0847509,https://www.google.com/maps/place/Islamabad+Medical+and+Surgical+Hospital/data=!4m7!3m6!1s0x38dfbf862d3909cb:0x867c7db711a27e7c!8m2!3d33.7162751!4d73.0847509!16s%2Fg%2F11dyqrrqkw!19sChIJywk5LYa_3zgRfH6iEbd9fIY?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
55,fatimahospital_33.609116_73.131128,Fatima Hospital,"Fatima Hospital
4.2(83)
Hospital ·  · main Islamabad Expy
Open 24 hours · +92 332 5906961",Hospital,Open 24 hours,33.6091165,73.1311281,https://www.google.com/maps/place/Fatima+Hospital/data=!4m7!3m6!1s0x38dfebb28156d7ab:0x3c915f33f740d68!8m2!3d33.6091165!4d73.1311281!16s%2Fg%2F11rqj5xj46!19sChIJq9dWgbLr3zgRaA10P_MVyQM?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
56,islamabadhealthservi_33.568875_73.200526,Islamabad Health Services Hospital,"Islamabad Health Services Hospital
4.6(99)
Hospital ·  · D-23, Commercial Street 02, Block D Naval Anchorage, Islamabad Expressway Islamabad
Open 24 hours · +92 333 5767177",Hospital,Open 24 hours,33.5688753,73.200526,https://www.google.com/maps/place/Islamabad+Health+Services+Hospital/data=!4m7!3m6!1s0x38dfef77a8d3ea13:0xc7a33b4eb65b3bcf!8m2!3d33.5688753!4d73.200526!16s%2Fg%2F11h0b8y3g2!19sChIJE-rTqHfv3zgRzztbtk47o8c?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
57,islamabadspecialized_33.652723_73.071629,Islamabad specialized hospital...,"Islamabad specialized hospital...
4.6(150)
Hospital ·  · Main Double, Rawalpindi Stadium Rd
Open 24 hours · +92 51 8779111",Hospital,Open 24 hours,33.6527227,73.0716286,https://www.google.com/maps/place/Islamabad+specialized+hospital.../data=!4m7!3m6!1s0x38df95af2158e1c3:0xbcf787e80e5c86a4!8m2!3d33.6527227!4d73.0716286!16s%2Fg%2F11sq_hgzjk!19sChIJw-FYIa-V3zgRpIZcDuiH97w?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
58,abidhospital_33.722513_73.082228,Abid Hospital,"Abid Hospital
4.0(29)
Hospital ·  · 1st floor, Huma Plaza, Fazal e Haq Rd
Open 24 hours · +92 51 2604955",Hospital,Open 24 hours,33.7225132,73.0822276,https://www.google.com/maps/place/Abid+Hospital/data=!4m7!3m6!1s0x38dfbf9b4ebf674d:0x618cc6189224851!8m2!3d33.7225132!4d73.0822276!16s%2Fg%2F11c37knjxy!19sChIJTWe_Tpu_3zgRUUgiiWHMGAY?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
59,shaafiinternationalh_33.566112_73.129859,Shaafi International Hospital,"Shaafi International Hospital
3.8(531)
General hospital ·  · C-3 Doctor's Town، Main Main PWD Rd
Open 24 hours · +92 51 5170395",General hospital,Open 24 hours,33.5661116,73.1298586,https://www.google.com/maps/place/Shaafi+International+Hospital/data=!4m7!3m6!1s0x38dfecf968300eb3:0xb44a498ed59f5089!8m2!3d33.5661116!4d73.1298586!16s%2Fg%2F1pp2tjqff!19sChIJsw4waPns3zgRiVCf1Y5JSrQ?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
60,noorgeneralhospital_33.669007_73.000414,Noor General Hospital,"Noor General Hospital
4.8(240)
Hospital ·  · Ground floor، Al-Rehman Plaza، near Shaheen grocers & chemist
Open 24 hours · +92 51 2362315",Hospital,Open 24 hours,33.6690075,73.0004137,https://www.google.com/maps/place/Noor+General+Hospital/data=!4m7!3m6!1s0x38df95f8dfb39291:0x4ade70f69be40ed6!8m2!3d33.6690075!4d73.0004137!16s%2Fg%2F11c6yz0304!19sChIJkZKz3_iV3zgR1g7km_Zw3ko?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
61,pafhospitalislamabad_33.715625_73.017060,PAF Hospital Islamabad,"PAF Hospital Islamabad
3.9(70)
Hospital ·  · P288+7R3, Hospital Rd
Open 24 hours · +92 51 9567000",Hospital,Open 24 hours,33.7156253,73.0170599,https://www.google.com/maps/place/PAF+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbfd57bb06255:0xb4a4f054dc92f901!8m2!3d33.7156253!4d73.0170599!16s%2Fg%2F11h_679c05!19sChIJVWKwe9W_3zgRAfmS3FTwpLQ?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
62,rehmanhospital_33.692670_73.058429,Rehman Hospital,"Rehman Hospital
5.0(12)
Hospital ·  · Plot no 9, I&T Center
Open 24 hours · +92 51 2255599",Hospital,Open 24 hours,33.6926699,73.0584288,https://www.google.com/maps/place/Rehman+Hospital/data=!4m7!3m6!1s0x38dfbf9f8f497357:0x6a3eeb1ee9c8a820!8m2!3d33.6926699!4d73.0584288!16s%2Fg%2F11sds2c_0c!19sChIJV3NJj5-_3zgRIKjI6R7rPmo?authuser=0&hl=en&rclk=1,"Hospetal, Islamabad"
