Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Madicos, Islamabad"
5,javedmedicos_33.571525_73.145287,Javed Medicos,,Pharmacy,Open,33.571525,73.1452869,https://www.google.com/maps/place/Javed+Medicos/data=!4m7!3m6!1s0x38dfedcdefd63e3f:0xdfb403dec792f8be!8m2!3d33.571525!4d73.1452869!16s%2Fg%2F11ptrwv_yh!19sChIJPz7W783t3zgRvviSx94DtN8?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
37,javedmedicospharmacy_33.720146_73.054481,Javed medicos pharmacy,"Javed medicos pharmacy
3.5(17)
Pharmacy · P3C3+3Q5
+92 51 2650868",Pharmacy,,33.720146,73.0544806,https://www.google.com/maps/place/Javed+medicos+pharmacy/data=!4m7!3m6!1s0x38dfbfc36002fb2d:0xb70046134a85d17c!8m2!3d33.720146!4d73.0544806!16s%2Fg%2F11fm1x8k9s!19sChIJLfsCYMO_3zgRfNGFShNGALc?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
38,alkausardrugstore_33.729384_73.077039,Al-Kausar Drug Store,"Al-Kausar Drug Store
4.2(12)
Pharmacy · School Rd, F-6 Markaz, F-6
Open ⋅ Closes 10 PM · +92 51 8311550",Pharmacy,Open,33.729384,73.0770395,https://www.google.com/maps/place/Al-Kausar+Drug+Store/data=!4m7!3m6!1s0x38dfbf79c113c8e9:0x9864efa90d2f59cf!8m2!3d33.729384!4d73.0770395!16s%2Fg%2F12mkz8kq6!19sChIJ6cgTwXm_3zgRz1kvDanvZJg?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
39,medicsi_33.715287_73.063448,MEDICSi,"MEDICSi
3.3(205)
Hospital ·  · Saudi-Pak Towers، First floor, Low Rise، 61-A Jinnah Ave
Open 24 hours · +92 51 111 125 128",Hospital,Open 24 hours,33.7152872,73.0634478,https://www.google.com/maps/place/MEDICSi/data=!4m7!3m6!1s0x38dfbfa29a9387f9:0xfed9ddb53dd2a454!8m2!3d33.7152872!4d73.0634478!16s%2Fg%2F1tfrq91s!19sChIJ-YeTmqK_3zgRVKTSPbXd2f4?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
40,medicsihospital_33.551578_73.124169,Medicsi Hospital,"Medicsi Hospital
3.1(71)
Hospital ·  · Plaza, 4 59-61
Open 24 hours · +92 51 111 125 128",Hospital,Open 24 hours,33.5515779,73.1241695,https://www.google.com/maps/place/Medicsi+Hospital/data=!4m7!3m6!1s0x38dfed4481df704f:0x6053a5e41b7c7966!8m2!3d33.5515779!4d73.1241695!16s%2Fg%2F11k3jfgc2_!19sChIJT3DfgUTt3zgRZnl8G-SlU2A?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
41,medicsiopd2jinnahsup_33.721294_73.059258,Medicsi OPD 2 Jinnah Super,"Medicsi OPD 2 Jinnah Super
3.2(111)
Maternity hospital ·  · Plot No, 134 Jinnah Super Market،, near PSO Pump
Open ⋅ Closes 6 PM · +92 51 111 111 128",Maternity hospital,Open,33.7212942,73.0592575,https://www.google.com/maps/place/Medicsi+OPD+2+Jinnah+Super/data=!4m7!3m6!1s0x38dfbfa70ddf02e9:0x6229cedab4dd18ae!8m2!3d33.7212942!4d73.0592575!16s%2Fg%2F1tdkw15v!19sChIJ6QLfDae_3zgRrhjdtNrOKWI?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
42,shahabmadicos_34.009060_72.031403,Shahab Madicos,"Shahab Madicos
5.0(1)
Pharmacy · Hakim Abad
Open ⋅ Closes 12 AM · +92 345 9311006",Pharmacy,Open,34.0090603,72.031403,https://www.google.com/maps/place/Shahab+Madicos/data=!4m7!3m6!1s0x38ded23100000001:0x3e4f51ad44b9d058!8m2!3d34.0090603!4d72.031403!16s%2Fg%2F11f3y2r1fw!19sChIJAQAAADHS3jgRWNC5RK1RTz4?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
43,leadspharmaceuticals_33.653180_73.033975,Leads Pharmaceuticals,"Leads Pharmaceuticals
4.6(14)
Pharmaceutical company ·  · Plot 81-A St 6
Open ⋅ Closes 6 PM · +92 51 111 103 103",Pharmaceutical company,Open,33.6531805,73.0339755,https://www.google.com/maps/place/Leads+Pharmaceuticals/data=!4m7!3m6!1s0x38df95a1f1d230b7:0x80cdaa8e741d2033!8m2!3d33.6531805!4d73.0339755!16s%2Fg%2F12mkz7jwq!19sChIJtzDS8aGV3zgRMyAddI6qzYA?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
44,skinartisansbydrmadi_33.683904_72.997993,Skin Artisans By Dr. Madiha Khan,"Skin Artisans By Dr. Madiha Khan
4.9(27)
Doctor · House # 315, 58 Service Rd E
Open ⋅ Closes 8 PM · +92 323 8282202",Doctor,Open,33.6839045,72.9979934,https://www.google.com/maps/place/Skin+Artisans+By+Dr.+Madiha+Khan/data=!4m7!3m6!1s0x38dfbfb25f319a3f:0x1e218cf03214a22a!8m2!3d33.6839045!4d72.9979934!16s%2Fg%2F11k9sy5205!19sChIJP5oxX7K_3zgRKqIUMvCMIR4?authuser=0&hl=en&rclk=1,"Madicos, Islamabad"
