Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Medical Store, Islamabad"
5,dlightpharmacy_33.708688_73.055937,D-Light Pharmacy,,Pharmacy,Open 24 hours,33.7086875,73.0559375,https://www.google.com/maps/place/D-Light+Pharmacy/data=!4m7!3m6!1s0x38dfbfbba8ca80e1:0x73268a4d58e72ecc!8m2!3d33.7086875!4d73.0559375!16s%2Fg%2F11xhx58g4!19sChIJ4YDKqLu_3zgRzC7nWE2KJnM?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
37,medicalstore_33.686748_73.139501,Medical Store,"Medical Store
1.8(5)
Medical supply store · M4PQ+MRR
Open 24 hours · +92 300 6169220",Medical supply store,Open 24 hours,33.6867484,73.139501,https://www.google.com/maps/place/Medical+Store/data=!4m7!3m6!1s0x38dfea7ebfb6cd3d:0xf4077dcae21e3ab7!8m2!3d33.6867484!4d73.139501!16s%2Fg%2F11c58rt9sw!19sChIJPc22v37q3zgRtzoe4sp9B_Q?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
38,idealmedicalstore_33.625646_72.970345,Ideal Medical Store,"Ideal Medical Store
5.0(4)
Pharmacy · Shop no 2 gulshan plaza Golda mor islamabad H 14
Open ⋅ Closes 9:30 PM · +92 333 5391163",Pharmacy,Open,33.6256459,72.9703448,https://www.google.com/maps/place/Ideal+Medical+Store/data=!4m7!3m6!1s0x38df96607036fa47:0xbb370b924a3afe70!8m2!3d33.6256459!4d72.9703448!16s%2Fg%2F12mkw85x2!19sChIJR_o2cGCW3zgRcP46SpILN7s?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
39,ameerpharmacy_33.699184_73.048760,Ameer Pharmacy,"Ameer Pharmacy
4.1(11)
Pharmacy · Al-Abbas Plaza
Open ⋅ Closes 12 AM · +92 51 2253329",Pharmacy,Open,33.6991843,73.0487602,https://www.google.com/maps/place/Ameer+Pharmacy/data=!4m7!3m6!1s0x38dfbfc8e36d49b5:0x77d909ac723fbf43!8m2!3d33.6991843!4d73.0487602!16s%2Fg%2F12mkwb59z!19sChIJtUlt48i_3zgRQ78_cqwJ2Xc?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
40,dwatsonpharmacy_33.615468_73.138649,D.WATSON PHARMACY,"D.WATSON PHARMACY
3.9(151)
Pharmacy · Ghauri Town Phase 5-A, Plot 26,27 Zohaib Arcade
Open ⋅ Closes 1 AM · +92 51 2157564",Pharmacy,Open,33.6154682,73.1386485,https://www.google.com/maps/place/D.WATSON+PHARMACY/data=!4m7!3m6!1s0x38dfebb62483883d:0xb1a65ad42f50feac!8m2!3d33.6154682!4d73.1386485!16s%2Fg%2F11fp3vyj1x!19sChIJPYiDJLbr3zgRrP5QL9RaprE?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
41,dwatsonchemistf6mark_33.729701_73.075424,D.WATSON CHEMIST F-6 MARKAZ,"D.WATSON CHEMIST F-6 MARKAZ
4.3(255)
Pharmacy ·  · P3HG+W53, School Rd
Open ⋅ Closes 1 AM · +92 51 8438111",Pharmacy,Open,33.7297008,73.0754236,https://www.google.com/maps/place/D.WATSON+CHEMIST+F-6+MARKAZ/data=!4m7!3m6!1s0x38dfbf775cc17be5:0xbe2ed3739e338621!8m2!3d33.7297008!4d73.0754236!16s%2Fg%2F1wcxbgb2!19sChIJ5XvBXHe_3zgRIYYznnPTLr4?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
42,islamabadmedicalstor_33.658437_73.059368,Islamabad Medical Store,"Islamabad Medical Store
4.4(5)
Medical Center · M355+9PH
Open ⋅ Closes 10 PM · +92 336 0906915",Medical Center,Open,33.6584369,73.0593678,https://www.google.com/maps/place/Islamabad+Medical+Store/data=!4m7!3m6!1s0x38df956b4955ef5f:0xd90ea335e36a0782!8m2!3d33.6584369!4d73.0593678!16s%2Fg%2F11xgwdprr!19sChIJX-9VSWuV3zgRggdq4zWjDtk?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
43,alkausardrugstore_33.729384_73.077039,Al-Kausar Drug Store,"Al-Kausar Drug Store
4.2(12)
Pharmacy · School Rd, F-6 Markaz, F-6
Open ⋅ Closes 10 PM · +92 51 8311550",Pharmacy,Open,33.729384,73.0770395,https://www.google.com/maps/place/Al-Kausar+Drug+Store/data=!4m7!3m6!1s0x38dfbf79c113c8e9:0x9864efa90d2f59cf!8m2!3d33.729384!4d73.0770395!16s%2Fg%2F12mkz8kq6!19sChIJ6cgTwXm_3zgRz1kvDanvZJg?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
44,newgujjerkhanmedical_33.644984_73.175468,New gujjer Khan medical store Ali pur Islamabad,"New gujjer Khan medical store Ali pur Islamabad
4.8(5)
Pharmacy · pure, Ali Pur, Ali
Open 24 hours · +92 342 1945217",Pharmacy,Open 24 hours,33.6449836,73.1754683,https://www.google.com/maps/place/New+gujjer+Khan+medical+store+Ali+pur+Islamabad/data=!4m7!3m6!1s0x38dfebd6cfbb8783:0xd32650ff5a37ce9e!8m2!3d33.6449836!4d73.1754683!16s%2Fg%2F11r92y6h_!19sChIJg4e7z9br3zgRns43Wv9QJtM?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
45,centralmedicalstore_33.664550_73.046570,Central Medical Store,"Central Medical Store
3.0(2)
Medical supply store
Open ⋅ Closes 5 PM · +92 51 9265150",Medical supply store,Open,33.66455,73.04657,https://www.google.com/maps/place/Central+Medical+Store/data=!4m7!3m6!1s0x38df9570d4fb33a1:0xd21395af85b05572!8m2!3d33.66455!4d73.04657!16s%2Fg%2F11x9d5d1n!19sChIJoTP71HCV3zgRclWwha-VE9I?authuser=0&hl=en&rclk=1,"Medical Store, Islamabad"
