Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Mental Health Clinic, Islamabad"
5,islamabadpsychiatric_33.663819_73.153974,Islamabad Psychiatric Clinic & Rehabilitation Centre | Addiction Treatment and Rehabilitation Center in Islamabad,,Mental health clinic,Open 24 hours,33.6638193,73.1539744,https://www.google.com/maps/place/Islamabad+Psychiatric+Clinic+%26+Rehabilitation+Centre+%7C+Addiction+Treatment+and+Rehabilitation+Center+in+Islamabad/data=!4m7!3m6!1s0x38dfeb9814780d4d:0x8717ceb69842c135!8m2!3d33.6638193!4d73.1539744!16s%2Fg%2F11h1hnkywz!19sChIJTQ14FJjr3zgRNcFCmLbOF4c?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
37,sochpsychologicalcli_33.560173_73.133577,SOCH Psychological Clinics Bahria Branch,"SOCH Psychological Clinics Bahria Branch
4.9(163)
Mental health clinic ·  · 415D Street 26, near Bahria 1
Open ⋅ Closes 7 PM · +92 343 1433331",Mental health clinic,Open,33.5601729,73.1335767,https://www.google.com/maps/place/SOCH+Psychological+Clinics+Bahria+Branch/data=!4m7!3m6!1s0x38dfedee6ff0f6f9:0x596fc28ace050820!8m2!3d33.5601729!4d73.1335767!16s%2Fg%2F11h6m4n74z!19sChIJ-fbwb-7t3zgRIAgFzorCb1k?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
38,sochclinicsislamabad_33.696830_73.051393,SOCH Clinics Islamabad Branch,"SOCH Clinics Islamabad Branch
4.8(283)
Psychologist ·  · Clinic #2 Pakland Square
Open ⋅ Closes 9 PM · +92 343 1433331",Psychologist,Open,33.69683,73.0513934,https://www.google.com/maps/place/SOCH+Clinics+Islamabad+Branch/data=!4m7!3m6!1s0x38dfecffddb2c569:0x1aeb15c96e355700!8m2!3d33.69683!4d73.0513934!16s%2Fg%2F11f_0wnkrh!19sChIJacWy3f_s3zgRAFc1bskV6xo?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
39,islamabadmindwellnes_33.572145_73.144785,Islamabad Mind Wellness Clinic & Rehabilitation Centre (Best Drug Addiction and Psychiatric Treatment Centre),"Islamabad Mind Wellness Clinic & Rehabilitation Centre (Best Drug Addiction and Psychiatric Treatment Centre)
4.5(226)
Psychiatric hospital ·  · House 265 Street Number 1
Open 24 hours · +92 333 0951030",Psychiatric hospital,Open 24 hours,33.5721454,73.1447852,https://www.google.com/maps/place/Islamabad+Mind+Wellness+Clinic+%26+Rehabilitation+Centre+%28Best+Drug+Addiction+and+Psychiatric+Treatment+Centre%29/data=!4m7!3m6!1s0x38dfedc7a53e932d:0x8d427a47b7c7278a!8m2!3d33.5721454!4d73.1447852!16s%2Fg%2F11vbl9w77p!19sChIJLZM-pcft3zgRiifHt0d6Qo0?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
40,psychologicalhealthc_33.697728_73.046929,Psychological health care center Islamabad,"Psychological health care center Islamabad
4.8(33)
Psychologist · House no, 279 Street 3, opposite tandoori restaurant
+92 300 8505221",Psychologist,,33.6977283,73.0469289,https://www.google.com/maps/place/Psychological+health+care+center+Islamabad/data=!4m7!3m6!1s0x38dfbf72b1434937:0xe555922930620b05!8m2!3d33.6977283!4d73.0469289!16s%2Fg%2F11r7s3l2sh!19sChIJN0lDsXK_3zgRBQtiMCmSVeU?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
41,happylifepsychologic_33.619057_73.140475,Happy Life Psychological Services (HLPS),"Happy Life Psychological Services (HLPS)
5.0(272)
Rehabilitation center · HLPS Drugs Addiction Treatment Center, Street 5
Open 24 hours · +92 300 0945066",Rehabilitation center,Open 24 hours,33.6190574,73.1404751,https://www.google.com/maps/place/Happy+Life+Psychological+Services+%28HLPS%29/data=!4m7!3m6!1s0x38dfeb3df297c315:0xbc3c428ab879ac66!8m2!3d33.6190574!4d73.1404751!16s%2Fg%2F11t7p8bmc3!19sChIJFcOX8j3r3zgRZqx5uIpCPLw?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
42,dribadulhaqpsychiatr_33.666818_73.076175,Dr. Ibad-ul-Haq Psychiatry and Therapy Associates Islamabad,"Dr. Ibad-ul-Haq Psychiatry and Therapy Associates Islamabad
5.0(12)
Mental health service ·  · Pakland Business Center
Open ⋅ Closes 4 PM · +92 312 5313641",Mental health service,Open,33.6668179,73.0761751,https://www.google.com/maps/place/Dr.+Ibad-ul-Haq+Psychiatry+and+Therapy+Associates+Islamabad/data=!4m7!3m6!1s0x38df950ef9f894b5:0xd3f5dd6472c1a962!8m2!3d33.6668179!4d73.0761751!16s%2Fg%2F11qycq9lg4!19sChIJtZT4-Q6V3zgRYqnBcmTd9dM?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
43,sehatyabonlinepsychi_33.649743_73.041717,SehatYab - Online Psychiatrists | Psychologists | Psychotherapists | Counselors in Pakistan,"SehatYab - Online Psychiatrists | Psychologists | Psychotherapists | Counselors in Pakistan
4.9(344)
Mental health service · Kickstart, 189 Korang Road
Open ⋅ Closes 4 PM ⋅ Reopens 8 PM · +92 304 1112310",Mental health service,Open,33.6497433,73.0417171,https://www.google.com/maps/place/SehatYab+-+Online+Psychiatrists+%7C+Psychologists+%7C+Psychotherapists+%7C+Counselors+in+Pakistan/data=!4m7!3m6!1s0x38dfedd5e8db75c1:0xf91d3f0f61844771!8m2!3d33.6497433!4d73.0417171!16s%2Fg%2F11qr5pxnd2!19sChIJwXXb6NXt3zgRcUeEYQ8_Hfk?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
44,iomhinstituteofmenta_33.635955_73.142117,IOMH Institute of Mental Health,"IOMH Institute of Mental Health
4.9(128)
Mental health service · Near Al-Badar Masjid Main Lehtrar Road, St 3
Open 24 hours · +92 313 4664786",Mental health service,Open 24 hours,33.635955,73.1421175,https://www.google.com/maps/place/IOMH+Institute+of+Mental+Health/data=!4m7!3m6!1s0x38dfc3412287e4c5:0x5f64400da2f06f29!8m2!3d33.635955!4d73.1421175!16s%2Fg%2F11rsbb_q4f!19sChIJxeSHIkHD3zgRKW_wog1AZF8?authuser=0&hl=en&rclk=1,"Mental Health Clinic, Islamabad"
