Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Chemist, Islamabad"
5,dwatsonchemistf11mar_33.683312_72.989063,D.WATSON CHEMIST F-11 MARKAZ,N/A,Pharmacy,Open,33.6833125,72.9890625,https://www.google.com/maps/place/D.WATSON+CHEMIST+F-11+MARKAZ/data=!4m7!3m6!1s0x38dfbde30aaec387:0x63e245b47f3a883d!8m2!3d33.6833125!4d72.9890625!16s%2Fg%2F1tdj2l7b!19sChIJh8OuCuO93zgRPYg6f7RF4mM?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
37,dwatsonchemistf10mar_33.696252_73.012942,D. Watson Chemist F-10 Markaz,"D. Watson Chemist F-10 Markaz
4.1(415)
Pharmacy ·  · Street 7D
Open ⋅ Closes 12 AM · +92 51 2215784",Pharmacy,Open,33.6962516,73.0129417,https://www.google.com/maps/place/D.+Watson+Chemist+F-10+Markaz/data=!4m7!3m6!1s0x38dfbe6b158ee389:0x252aaeebe811707c!8m2!3d33.6962516!4d73.0129417!16s%2Fg%2F11dymm56c8!19sChIJieOOFWu-3zgRfHAR6OuuKiU?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
38,dwatsonchemistf6mark_33.729701_73.075424,D.WATSON CHEMIST F-6 MARKAZ,"D.WATSON CHEMIST F-6 MARKAZ
4.3(255)
Pharmacy ·  · P3HG+W53, School Rd
Open ⋅ Closes 1 AM · +92 51 8438111",Pharmacy,Open,33.7297008,73.0754236,https://www.google.com/maps/place/D.WATSON+CHEMIST+F-6+MARKAZ/data=!4m7!3m6!1s0x38dfbf775cc17be5:0xbe2ed3739e338621!8m2!3d33.7297008!4d73.0754236!16s%2Fg%2F1wcxbgb2!19sChIJ5XvBXHe_3zgRIYYznnPTLr4?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
39,shaheenchemistcosmet_33.708933_73.055365,Shaheen Chemist & Cosmetics,"Shaheen Chemist & Cosmetics
4.1(113)
Pharmacy ·  · Din Pavallions Plaza, Jinnah Ave
Open ⋅ Closes 12 AM · +92 333 7805798",Pharmacy,Open,33.7089326,73.0553648,https://www.google.com/maps/place/Shaheen+Chemist+%26+Cosmetics/data=!4m7!3m6!1s0x38dfbfbbab763b39:0xa0a5678fb3810fb0!8m2!3d33.7089326!4d73.0553648!16s%2Fg%2F1td4snhq!19sChIJOTt2q7u_3zgRsA-Bs49npaA?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
40,shaheenchemist_33.699194_73.048815,Shaheen Chemist,"Shaheen Chemist
4.1(89)
Pharmacy · Allah Dad Plaza, Markaz Rd
Open ⋅ Closes 1 AM · +92 51 2252215",Pharmacy,Open,33.6991939,73.0488153,https://www.google.com/maps/place/Shaheen+Chemist/data=!4m7!3m6!1s0x38dfbfc9d1ce94e1:0x549deca7538bcd9e!8m2!3d33.6991939!4d73.0488153!16s%2Fg%2F1tp06gtr!19sChIJ4ZTO0cm_3zgRns2LU6fsnVQ?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
41,shaheenchemist_33.669321_73.000151,Shaheen Chemist,"Shaheen Chemist
4.2(1,107)
Pharmacy ·  · M292+P3C
Open ⋅ Closes 1 AM · +92 51 2360246",Pharmacy,Open,33.6693209,73.0001512,https://www.google.com/maps/place/Shaheen+Chemist/data=!4m7!3m6!1s0x38df95f8db82c109:0x9cfd1bc97169daeb!8m2!3d33.6693209!4d73.0001512!16s%2Fg%2F11f2wmbkpl!19sChIJCcGC2_iV3zgR69ppcckb_Zw?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
42,shaheenchemisti8mark_33.667365_73.075329,Shaheen Chemist I-8 Markaz,"Shaheen Chemist I-8 Markaz
4.3(1,255)
Pharmacy ·  · Time Square Plaza
Open ⋅ Closes 1 AM · +92 51 4938118",Pharmacy,Open,33.6673652,73.0753292,https://www.google.com/maps/place/Shaheen+Chemist+I-8+Markaz/data=!4m7!3m6!1s0x38df95458e97813f:0xb5f0722222b74857!8m2!3d33.6673652!4d73.0753292!16s%2Fg%2F11bzrgc0_c!19sChIJP4GXjkWV3zgRV0i3IiJy8LU?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
43,shaheenchemist_33.683349_72.988874,Shaheen Chemist,"Shaheen Chemist
4.2(191)
Pharmacy ·  · Ground Floor, Hassan arcade
Open ⋅ Closes 2 AM · +92 51 2228011",Pharmacy,Open,33.6833491,72.9888739,https://www.google.com/maps/place/Shaheen+Chemist/data=!4m7!3m6!1s0x38dfbde3a00b995b:0x6561a4a3c97a82bf!8m2!3d33.6833491!4d72.9888739!16s%2Fg%2F1ts_4zqh!19sChIJW5kLoOO93zgRv4J6yaOkYWU?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
44,dwatsonchemist_33.645820_72.964309,D-Watson Chemist,"D-Watson Chemist
3.8(157)
Pharmacy · 
Open ⋅ Closes 12 AM · +92 51 2306848",Pharmacy,Open,33.6458197,72.9643094,https://www.google.com/maps/place/D-Watson+Chemist/data=!4m7!3m6!1s0x38df976883796ebd:0x8349d9eb40d9411!8m2!3d33.6458197!4d72.9643094!16s%2Fg%2F11j0brb027!19sChIJvW55g2iX3zgREZQNtJ6dNAg?authuser=0&hl=en&rclk=1,"Chemist, Islamabad"
