Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
"1","na_noloc","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Pharmacy, Islamabad"
"5","dwatsonchemistf6mark_33.729701_73.075424","D.WATSON CHEMIST F-6 MARKAZ","N/A","Pharmacy","Open","33.7297008","73.0754236","https://www.google.com/maps/place/D.WATSON+CHEMIST+F-6+MARKAZ/data=!4m7!3m6!1s0x38dfbf775cc17be5:0xbe2ed3739e338621!8m2!3d33.7297008!4d73.0754236!16s%2Fg%2F1wcxbgb2!19sChIJ5XvBXHe_3zgRIYYznnPTLr4?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"37","mehmoodpharmacy_33.711679_73.041427","Mehmood Pharmacy","Mehmood Pharmacy
3.6(15)
Pharmacy · P26R+MHF, Kohistan Rd
Open ⋅ Closes 12 AM","Pharmacy","Open","33.7116786","73.0414266","https://www.google.com/maps/place/Mehmood+Pharmacy/data=!4m7!3m6!1s0x38dfbfad3ad080a5:0xdb8d5d3030e3960!8m2!3d33.7116786!4d73.0414266!16s%2Fg%2F11cm6j5wpv!19sChIJpYDQOq2_3zgRYDkOA9PVuA0?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"38","alrehmatpharmacy_33.571534_73.176391","Al Rehmat Pharmacy","Al Rehmat Pharmacy
4.8(87)
Pharmacy · Liaquat Ave
Open ⋅ Closes 1 AM · +92 51 5964143","Pharmacy","Open","33.5715335","73.1763907","https://www.google.com/maps/place/Al+Rehmat+Pharmacy/data=!4m7!3m6!1s0x38dfed82750dcb3d:0x45406b3ce243d7f9!8m2!3d33.5715335!4d73.1763907!16s%2Fg%2F11sgqz0_d8!19sChIJPcsNdYLt3zgR-ddD4jxrQEU?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"39","luckypharmacy_33.675827_73.013755","Lucky Pharmacy","Lucky Pharmacy
4.3(32)
Pharmacy · M2G7+8GJ, Bela Rd
Open ⋅ Closes 12 AM · +92 51 6133233","Pharmacy","Open","33.6758272","73.013755","https://www.google.com/maps/place/Lucky+Pharmacy/data=!4m7!3m6!1s0x38dfbe1e55cc2629:0xbe48580bba230d4b!8m2!3d33.6758272!4d73.013755!16s%2Fg%2F1tjff6h0!19sChIJKSbMVR6-3zgRSw0jugtYSL4?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"40","shaheenchemistcosmet_33.708933_73.055365","Shaheen Chemist & Cosmetics","Shaheen Chemist & Cosmetics
4.1(113)
Pharmacy ·  · Din Pavallions Plaza, Jinnah Ave
Open ⋅ Closes 12 AM · +92 333 7805798","Pharmacy","Open","33.7089326","73.0553648","https://www.google.com/maps/place/Shaheen+Chemist+%26+Cosmetics/data=!4m7!3m6!1s0x38dfbfbbab763b39:0xa0a5678fb3810fb0!8m2!3d33.7089326!4d73.0553648!16s%2Fg%2F1td4snhq!19sChIJOTt2q7u_3zgRsA-Bs49npaA?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"41","dwatsonchemistf10mar_33.696252_73.012942","D. Watson Chemist F-10 Markaz","D. Watson Chemist F-10 Markaz
4.1(415)
Pharmacy ·  · Street 7D
Open ⋅ Closes 12 AM · +92 51 2215784","Pharmacy","Open","33.6962516","73.0129417","https://www.google.com/maps/place/D.+Watson+Chemist+F-10+Markaz/data=!4m7!3m6!1s0x38dfbe6b158ee389:0x252aaeebe811707c!8m2!3d33.6962516!4d73.0129417!16s%2Fg%2F11dymm56c8!19sChIJieOOFWu-3zgRfHAR6OuuKiU?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"42","dwatsonpharmacy_33.615468_73.138649","D.WATSON PHARMACY","D.WATSON PHARMACY
3.9(151)
Pharmacy · Ghauri Town Phase 5-A, Plot 26,27 Zohaib Arcade
Open ⋅ Closes 1 AM · +92 51 2157564","Pharmacy","Open","33.6154682","73.1386485","https://www.google.com/maps/place/D.WATSON+PHARMACY/data=!4m7!3m6!1s0x38dfebb62483883d:0xb1a65ad42f50feac!8m2!3d33.6154682!4d73.1386485!16s%2Fg%2F11fp3vyj1x!19sChIJPYiDJLbr3zgRrP5QL9RaprE?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"43","nuskhapharmacy_33.570889_73.176375","Nuskha Pharmacy","Nuskha Pharmacy
4.9(32)
Pharmacy · Shop#3, Al Murtaza Arcade
Open ⋅ Closes 11 PM","Pharmacy","Open","33.5708893","73.1763747","https://www.google.com/maps/place/Nuskha+Pharmacy/data=!4m7!3m6!1s0x38dfed81ba6b577f:0xe247ccda061689ae!8m2!3d33.5708893!4d73.1763747!16s%2Fg%2F11hm5y3_mv!19sChIJf1druoHt3zgRrokWBtrMR-I?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
"44","medxpharmacy_33.706145_73.086526","Med-X Pharmacy","Med-X Pharmacy
4.3(23)
Pharmacy ·  · Shop No. 04,05,06,07, Plot, 15 Khayaban-e-Suhrwardy
Open ⋅ Closes 12 AM · +92 323 9195951","Pharmacy","Open","33.7061451","73.0865264","https://www.google.com/maps/place/Med-X+Pharmacy/data=!4m7!3m6!1s0x38dfbfea444f8481:0x5e17929a83db3b3f!8m2!3d33.7061451!4d73.0865264!16s%2Fg%2F11mv_2ms0n!19sChIJgYRPROq_3zgRPzvbg5qSF14?authuser=0&hl=en&rclk=1","Pharmacy, Islamabad"
