Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Acupuncturist, Islamabad"
5,msanamzafaracupunctu_33.716164_73.069916,Ms. Anam Zafar - Acupuncturist In Islamabad,,Acupuncturist,Open,33.7161635,73.0699161,https://www.google.com/maps/place/Ms.+Anam+Zafar+-+Acupuncturist+In+Islamabad/data=!4m7!3m6!1s0x38dfbffea6c9cb9b:0x5640ed61085b34b7!8m2!3d33.7161635!4d73.0699161!16s%2Fg%2F11s5vk066h!19sChIJm8vJpv6_3zgRtzRbCGHtQFY?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
37,reboundphysiotherapy_33.566743_73.132633,Rebound Physiotherapy Clinic | Acupuncturist | Chiropractor | Home Services Available,"Rebound Physiotherapy Clinic | Acupuncturist | Chiropractor | Home Services Available
4.9(78)
Acupuncture clinic · 1st Floor, Plot No, Rebound Physiotherapy Clinic, 760 Main PWD Rd, opposite National Bank PWD
Open ⋅ Closes 10 PM · +92 319 9460797",Acupuncture clinic,Open,33.5667431,73.1326334,https://www.google.com/maps/place/Rebound+Physiotherapy+Clinic+%7C+Acupuncturist+%7C+Chiropractor+%7C+Home+Services+Available/data=!4m7!3m6!1s0x38dfedafb0dbb8bb:0xd209b0f4548c2727!8m2!3d33.5667431!4d73.1326334!16s%2Fg%2F11vj4zd6wd!19sChIJu7jbsK_t3zgRJyeMVPSwCdI?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
38,easternscholarsacupu_33.688060_73.010894,Eastern Scholars Acupuncture Clinic,"Eastern Scholars Acupuncture Clinic
5.0(5)
Acupuncture clinic ·  · 4 2nd Floor, Treatment Rooms, House 66 Street 46
Open ⋅ Closes 8 PM · +92 310 0001419",Acupuncture clinic,Open,33.6880598,73.0108938,https://www.google.com/maps/place/Eastern+Scholars+Acupuncture+Clinic/data=!4m7!3m6!1s0x38dfbf07eba16e7d:0xcb5a1ef3758d4d55!8m2!3d33.6880598!4d73.0108938!16s%2Fg%2F11t6l1hqwn!19sChIJfW6h6we_3zgRVU2NdfMeWss?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
39,koreanacupuncturecli_33.696936_73.051352,Korean Acupuncture Clinic G-8 Markaz,"Korean Acupuncture Clinic G-8 Markaz
5.0(21)
Alternative medicine practitioner ·  · Office No.6, 2nd Floor, G-8 Square(Doctor Plaza), G-8 Markaz
Closed ⋅ Opens 9:30 AM Fri · +92 51 8449832",Alternative medicine practitioner,Closed,33.696936,73.0513521,https://www.google.com/maps/place/Korean+Acupuncture+Clinic+G-8+Markaz/data=!4m7!3m6!1s0x38df95dd0b723d1b:0xfc419ab7e0d08bc!8m2!3d33.696936!4d73.0513521!16s%2Fg%2F11j11dcl61!19sChIJGz1yC92V3zgRvAgNfqsZxA8?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
40,chinaacupuncturecent_33.693313_73.013849,China Acupuncture Centre and Clinical Lab,"China Acupuncture Centre and Clinical Lab
4.3(18)
Diagnostic center · 3 & 4 First Floor , Rajan plaza
Open ⋅ Closes 7:30 PM · +92 51 2103449",Diagnostic center,Open,33.6933133,73.0138494,https://www.google.com/maps/place/China+Acupuncture+Centre+and+Clinical+Lab/data=!4m7!3m6!1s0xa2fe87bc74139281:0x793fc70ba30f4729!8m2!3d33.6933133!4d73.0138494!16s%2Fg%2F11y3339vss!19sChIJgZITdLyH_qIRKUcPowvHP3k?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
41,arclinicsphysiothera_33.546380_73.128109,AR CLINICS - Physiotherapy and Aesthetics,"AR CLINICS - Physiotherapy and Aesthetics
4.9(156)
Physical therapy clinic ·  · Plaza 56 & 58, Marina Complex, Corniche Road
Open ⋅ Closes 10 PM · +92 318 5119014",Physical therapy clinic,Open,33.5463798,73.128109,https://www.google.com/maps/place/AR+CLINICS+-+Physiotherapy+and+Aesthetics/data=!4m7!3m6!1s0x38dfed02afffb97d:0x73d954749bd1fdea!8m2!3d33.5463798!4d73.128109!16s%2Fg%2F11qbs6mncg!19sChIJfbn_rwLt3zgR6v3Rm3RU2XM?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
42,alshaaficlinichijama_33.704504_72.980024,Al-Shaafi Clinic Hijama & Herbal Medicine,"Al-Shaafi Clinic Hijama & Herbal Medicine
5.0(72)
Doctor · 63 Markaz, near Jameel Sweet
Closed ⋅ Opens 4 PM · +92 334 6986690",Doctor,Closed,33.7045036,72.9800242,https://www.google.com/maps/place/Al-Shaafi+Clinic+Hijama+%26+Herbal+Medicine/data=!4m7!3m6!1s0x38dfbdce478242b7:0x947f0bb00d5a94aa!8m2!3d33.7045036!4d72.9800242!16s%2Fg%2F11dz2k60_8!19sChIJt0KCR8693zgRqpRaDbALf5Q?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
43,physiotherapydryneed_33.554937_73.159468,"Physiotherapy, Dry needling and Dry Cupping therapy center","Physiotherapy, Dry needling and Dry Cupping therapy center
5.0(32)
Acupuncture clinic · garden, Street 25
Open ⋅ Closes 10:30 PM · +92 332 5705643",Acupuncture clinic,Open,33.5549368,73.1594684,"https://www.google.com/maps/place/Physiotherapy,+Dry+needling+and+Dry+Cupping+therapy+center/data=!4m7!3m6!1s0x38dfed2c6f305a69:0xf633c24ae07085b3!8m2!3d33.5549368!4d73.1594684!16s%2Fg%2F11jyf7d941!19sChIJaVowbyzt3zgRs4Vw4ErCM_Y?authuser=0&hl=en&rclk=1","Acupuncturist, Islamabad"
44,alnoorhomeoandacupun_33.617073_72.995254,Al-Noor Homeo and Acupuncture Medical Center,"Al-Noor Homeo and Acupuncture Medical Center
5.0(5)
Hospital · Pir House, Pirwadhai moor Igp Sarvice road, 1 Street 1, opposite turbo CNG, near British Home
Closed ⋅ Opens 3 PM · +92 300 9151998",Hospital,Closed,33.6170727,72.9952544,https://www.google.com/maps/place/Al-Noor+Homeo+and+Acupuncture+Medical+Center/data=!4m7!3m6!1s0x38df97f63e3379f5:0xb9bb6bb8b0cc6fdf!8m2!3d33.6170727!4d72.9952544!16s%2Fg%2F11rj064ypk!19sChIJ9XkzPvaX3zgR32_MsLhru7k?authuser=0&hl=en&rclk=1,"Acupuncturist, Islamabad"
