Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Addiction Treatment Center, Islamabad"
5,healingdoorrehabcent_33.708984_73.154221,Healing Door Rehab Center,"Healing Door Rehab Center
4.9(189)
Addiction treatment center ·  · Main Jinnah Rd, opposite Meezan Bank
Open 24 hours · +92 314 9922547",Addiction treatment center,Open 24 hours,33.7089845,73.154221,https://www.google.com/maps/place/Healing+Door+Rehab+Center/data=!4m7!3m6!1s0x38dfc1c531c72659:0x8d183f99ef7aac08!8m2!3d33.7089845!4d73.154221!16s%2Fg%2F11ptq68twy!19sChIJWSbHMcXB3zgRCKx675k_GI0?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
37,thesunrisehealingdru_33.568423_73.133912,The Sunrise Healing Drug rehabilitation and psychiatric treatment center | best drug rehab in Islamabad,"The Sunrise Healing Drug rehabilitation and psychiatric treatment center | best drug rehab in Islamabad
5.0(56)
Addiction treatment center · House # 948 Street c9
Open 24 hours · +92 318 7681580",Addiction treatment center,Open 24 hours,33.5684229,73.1339119,https://www.google.com/maps/place/The+Sunrise+Healing+Drug+rehabilitation+and+psychiatric+treatment+center+%7C+best+drug+rehab+in+Islamabad/data=!4m7!3m6!1s0x38dfed7dbbd1fee1:0x82ed248f7ca79545!8m2!3d33.5684229!4d73.1339119!16s%2Fg%2F11jz65hw0s!19sChIJ4f7Ru33t3zgRRZWnfI8k7YI?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
38,islamabadrehabandcar_33.567427_73.154942,Islamabad Rehab And Caring Center,"Islamabad Rehab And Caring Center
4.9(123)
Addiction treatment center ·  · Main Double Road, Opposite IDC, near PSO Petrol Pump
Open 24 hours · +92 333 6954507",Addiction treatment center,Open 24 hours,33.567427,73.1549423,https://www.google.com/maps/place/Islamabad+Rehab+And+Caring+Center/data=!4m7!3m6!1s0x38dfed4ed3cad877:0x53a306aec6d7185f!8m2!3d33.567427!4d73.1549423!16s%2Fg%2F11h6l_vjzs!19sChIJd9jK007t3zgRXxjXxq4Go1M?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
39,newhoperehabandaddic_33.573671_73.178923,New Hope Rehab and Addiction Treatment Center Islamabad,"New Hope Rehab and Addiction Treatment Center Islamabad
4.6(53)
Addiction treatment center · House#5G Street Number 62
Open 24 hours · +92 300 5049772",Addiction treatment center,Open 24 hours,33.5736713,73.1789234,https://www.google.com/maps/place/New+Hope+Rehab+and+Addiction+Treatment+Center+Islamabad/data=!4m7!3m6!1s0x38dfed4ca9f03ef5:0x529e2fba29a48bf5!8m2!3d33.5736713!4d73.1789234!16s%2Fg%2F11tp2cd3zr!19sChIJ9T7wqUzt3zgR9YukKbovnlI?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
40,hrchayatrehabclinici_33.718884_73.172027,HRC Hayat Rehab Clinic Islamabad,"HRC Hayat Rehab Clinic Islamabad
4.9(176)
Addiction treatment center ·  · Bilal St
Open 24 hours · +92 331 5500090",Addiction treatment center,Open 24 hours,33.7188839,73.1720265,https://www.google.com/maps/place/HRC+Hayat+Rehab+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfc19bfff5aa3b:0x57e07ebc5111cc21!8m2!3d33.7188839!4d73.1720265!16s%2Fg%2F11q1t258zl!19sChIJO6r1_5vB3zgRIcwRUbx-4Fc?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
41,thenewliferehabpsych_33.565061_73.140612,The New Life Rehab & Psychiatric Center Islamabad,"The New Life Rehab & Psychiatric Center Islamabad
4.7(166)
Addiction treatment center · House 107, Street 22, Main PWD Rd, near SSL School
Open 24 hours · +92 333 7749772",Addiction treatment center,Open 24 hours,33.5650613,73.1406119,https://www.google.com/maps/place/The+New+Life+Rehab+%26+Psychiatric+Center+Islamabad/data=!4m7!3m6!1s0x38dfed89a42aaaf9:0x2290f122e5d762da!8m2!3d33.5650613!4d73.1406119!16s%2Fg%2F11t57gs19p!19sChIJ-aoqpInt3zgR2mLX5SLxkCI?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
42,thenewlifefemalereha_33.565121_73.141421,The New Life Female Rehabilitation & Addiction Treatment Center Islamabad,"The New Life Female Rehabilitation & Addiction Treatment Center Islamabad
5.0(22)
Addiction treatment center · House # 90, Street # 19 Pakistan Town Phase 2 Rd
Open ⋅ Closes 10 PM · +92 321 4528124",Addiction treatment center,Open,33.5651213,73.1414211,https://www.google.com/maps/place/The+New+Life+Female+Rehabilitation+%26+Addiction+Treatment+Center+Islamabad/data=!4m7!3m6!1s0x38dfedc3a3925ad1:0xf4feaceb024f201f!8m2!3d33.5651213!4d73.1414211!16s%2Fg%2F11tfpbwmk7!19sChIJ0VqSo8Pt3zgRHyBPAuus_vQ?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
43,sunnytrustdrugrehabi_33.741731_73.182869,Sunny Trust - Drug Rehabilitation Center Islamabad,"Sunny Trust - Drug Rehabilitation Center Islamabad
4.9(347)
Addiction treatment center · opposite United Bank Ltd
Open 24 hours · +92 301 8666434",Addiction treatment center,Open 24 hours,33.741731,73.1828695,https://www.google.com/maps/place/Sunny+Trust+-+Drug+Rehabilitation+Center+Islamabad/data=!4m7!3m6!1s0x38dfc3d55c3e0eff:0x5fd8f4df429fb0f0!8m2!3d33.741731!4d73.1828695!16s%2Fg%2F11xk4h7pg!19sChIJ_w4-XNXD3zgR8LCfQt_02F8?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
44,islamabadmentalwelln_33.566372_73.126688,Islamabad Mental & Wellness Center - Rehab & Drug Addiction Treatment Center in Islamabad,"Islamabad Mental & Wellness Center - Rehab & Drug Addiction Treatment Center in Islamabad
4.7(37)
Addiction treatment center ·  · Plot No, House # 228, Street 1, 145 Gate 2, near Bahria Town
Open 24 hours · +92 335 0509344",Addiction treatment center,Open 24 hours,33.5663725,73.1266875,https://www.google.com/maps/place/Islamabad+Mental+%26+Wellness+Center+-+Rehab+%26+Drug+Addiction+Treatment+Center+in+Islamabad/data=!4m7!3m6!1s0x38dfed247dec6007:0x119a0db1742eaf5!8m2!3d33.5663725!4d73.1266875!16s%2Fg%2F11s538pj89!19sChIJB2DsfSTt3zgR9epCF9ugGQE?authuser=0&hl=en&rclk=1,"Addiction Treatment Center, Islamabad"
