Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Blood Bank, Islamabad"
5,alaqsawelfaretrustvo_33.704476_73.055837,Al Aqsa Welfare Trust Volunteer Blood Donations Org,,Blood bank,Open,33.7044763,73.0558371,https://www.google.com/maps/place/Al+Aqsa+Welfare+Trust+Volunteer+Blood+Donations+Org/data=!4m7!3m6!1s0x38dfbfb90f077bed:0xf89c0905b9cd0d3f!8m2!3d33.7044763!4d73.0558371!16s%2Fg%2F11f5410rqd!19sChIJ7XsHD7m_3zgRPw3NuQUJnPg?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
37,pakistanthalassemiac_33.698323_73.026938,Pakistan Thalassemia Center,"Pakistan Thalassemia Center
4.4(16)
Blood donation center ·  · Jinnah Avenue
Open ⋅ Closes 5 PM · +92 51 2324241",Blood donation center,Open,33.6983234,73.0269385,https://www.google.com/maps/place/Pakistan+Thalassemia+Center/data=!4m7!3m6!1s0x38dfbfd317827fdd:0x13a1d94eb0cfb922!8m2!3d33.6983234!4d73.0269385!16s%2Fg%2F11gwlbhp0w!19sChIJ3X-CF9O_3zgRIrnPsE7ZoRM?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
38,bloodhelppakistan_33.549269_73.124649,Blood Help Pakistan,"Blood Help Pakistan
4.0(4)
Blood donation center · Office No.03 , Mateen Orchard ,Plaza No, 163
Open 24 hours · +92 316 7460009",Blood donation center,Open 24 hours,33.5492691,73.1246494,https://www.google.com/maps/place/Blood+Help+Pakistan/data=!4m7!3m6!1s0x38dfed1980c34ac9:0x63416c79cffa8ae5!8m2!3d33.5492691!4d73.1246494!16s%2Fg%2F11l4np44l6!19sChIJyUrDgBnt3zgR5Yr6z3lsQWM?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
39,ahmedbloodbank_33.571235_73.145261,Ahmed Blood Bank,"Ahmed Blood Bank
4.3(15)
Non-profit organization · 
Open 24 hours · +92 51 8740175",Non-profit organization,Open 24 hours,33.5712346,73.1452614,https://www.google.com/maps/place/Ahmed+Blood+Bank/data=!4m7!3m6!1s0x38dfed5ad31917cd:0x464e278436adbf75!8m2!3d33.5712346!4d73.1452614!16s%2Fg%2F11qh0zf2m3!19sChIJzRcZ01rt3zgRdb-tNoQnTkY?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
40,pakistanredcrescents_33.683209_73.051331,Pakistan Red Crescent Society,"Pakistan Red Crescent Society
4.5(1,165)
Non-governmental organization ·  · Ashfaq Ahmed Rd
Open ⋅ Closes 5 PM · +92 51 9250404",Non-governmental organization,Open,33.6832087,73.0513308,https://www.google.com/maps/place/Pakistan+Red+Crescent+Society/data=!4m7!3m6!1s0x38dfbfd74806b7c7:0x6ddc5609941b1af!8m2!3d33.6832087!4d73.0513308!16s%2Fg%2F1ts1l04g!19sChIJx7cGSNe_3zgRr7FBmWDF3QY?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
41,bloodbankpimshospita_33.704719_73.055518,"Blood Bank, PIMS Hospital","Blood Bank, PIMS Hospital
3.7(9)
Hospital ·  · P334+V6J",Hospital,,33.7047191,73.0555178,"https://www.google.com/maps/place/Blood+Bank,+PIMS+Hospital/data=!4m7!3m6!1s0x38dfbfb7088de947:0x699c40d5746abe1!8m2!3d33.7047191!4d73.0555178!16s%2Fg%2F11g8yk9d9g!19sChIJR-mNCLe_3zgR4atGVw3EmQY?authuser=0&hl=en&rclk=1","Blood Bank, Islamabad"
42,afitblooddonationhal_33.592771_73.042099,AFIT Blood Donation Hall,"AFIT Blood Donation Hall
4.4(253)
Blood donation center ·  · Convoy Rd
Open 24 hours · +92 51 5584750",Blood donation center,Open 24 hours,33.5927707,73.0420993,https://www.google.com/maps/place/AFIT+Blood+Donation+Hall/data=!4m7!3m6!1s0x38df947cf9555555:0xa2bf17cbe711b9c4!8m2!3d33.5927707!4d73.0420993!16s%2Fg%2F11fz7kqbr0!19sChIJVVVV-XyU3zgRxLkR58sXv6I?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
43,alshifabloodbank_33.676835_73.066472,Al-Shifa Blood Bank,"Al-Shifa Blood Bank
4.2(6)
Blood bank ·  · Tameer-e-Millat Foundation Head Office, 4 Pitras Bukhari Rd
Open now",Blood bank,Open now,33.676835,73.0664722,https://www.google.com/maps/place/Al-Shifa+Blood+Bank/data=!4m7!3m6!1s0x38df950d891e4e51:0x48432e04ab38d915!8m2!3d33.676835!4d73.0664722!16s%2Fg%2F11j11b_5bq!19sChIJUU4eiQ2V3zgRFdk4qwQuQ0g?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
44,bloodbankservices_33.698119_73.048095,Blood bank services,"Blood bank services
5.0(2)
Blood bank
Open ⋅ Closes 10 PM · +92 321 5048444",Blood bank,Open,33.6981193,73.0480952,https://www.google.com/maps/place/Blood+bank+services/data=!4m7!3m6!1s0x38dfbfbcc15a90d1:0x98af136e84307ff8!8m2!3d33.6981193!4d73.0480952!16s%2Fg%2F11y3m9nbws!19sChIJ0ZBawby_3zgR-H8whG4Tr5g?authuser=0&hl=en&rclk=1,"Blood Bank, Islamabad"
