Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Dispen(sary), Islamabad"
5,federalgovernmentdis_33.711597_73.070602,Federal Government Dispensary - Civil Surgeon Dispensary G-7/3-4 Near Al-Habib Market,,Hospital,Closes soon,33.711597,73.0706021,https://www.google.com/maps/place/Federal+Government+Dispensary+-+Civil+Surgeon+Dispensary+G-7%2F3-4+Near+Al-Habib+Market/data=!4m7!3m6!1s0x38dfbf972f976319:0x7852c0b3e57fe9ea!8m2!3d33.711597!4d73.0706021!16s%2Fg%2F1v3hybx0!19sChIJGWOXL5e_3zgR6ul_5bPAUng?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
37,wapdadispensaryislam_33.706779_73.077730,WAPDA Dispensary Islamabad,"WAPDA Dispensary Islamabad
4.0(6)
Government hospital ·  · P34H+P39, Street 43
Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri",Government hospital,Closes soon,33.7067786,73.0777297,https://www.google.com/maps/place/WAPDA+Dispensary+Islamabad/data=!4m7!3m6!1s0x38dfbfb38cae89cd:0x2b22cf94c6435d49!8m2!3d33.7067786!4d73.0777297!16s%2Fg%2F11hdg4mb4s!19sChIJzYmujLO_3zgRSV1DxpTPIis?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
38,cdadispensary_33.643225_73.041699,CDA Dispensary,"CDA Dispensary
3.8(29)
Medical Center ·  · J2VR+7MW, Street 10
Open ⋅ Closes 4 PM · +92 51 9257318",Medical Center,Open,33.6432253,73.0416991,https://www.google.com/maps/place/CDA+Dispensary/data=!4m7!3m6!1s0x38df953f2e43bf8b:0x6aef2fb676c70ecd!8m2!3d33.6432253!4d73.0416991!16s%2Fg%2F1tpb9byf!19sChIJi79DLj-V3zgRzQ7HdrYv72o?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
39,socialsecuritydispen_33.650475_73.044225,Social Security Dispensary,"Social Security Dispensary
4.6(20)
Hospital ·  · M22V+5MQ, Sohni Road, Road, near Saeed Qureshi Park
Open ⋅ Closes 7 PM",Hospital,Open,33.6504748,73.0442251,https://www.google.com/maps/place/Social+Security+Dispensary/data=!4m7!3m6!1s0x38df9509e05542eb:0x3374791bad7acf1d!8m2!3d33.6504748!4d73.0442251!16s%2Fg%2F1tdbcsz1!19sChIJ60JV4AmV3zgRHc96rRt5dDM?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
40,modeltownhumakdispen_33.540217_73.151855,Model Town Humak Dispensary,"Model Town Humak Dispensary
4.1(10)
Government hospital ·  · G5R2+3P3",Government hospital,,33.5402168,73.1518551,https://www.google.com/maps/place/Model+Town+Humak+Dispensary/data=!4m7!3m6!1s0x38dfed005325ede5:0x32c765f31c4855d3!8m2!3d33.5402168!4d73.1518551!16s%2Fg%2F11wv2374cm!19sChIJ5e0lUwDt3zgR01VIHPNlxzI?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
41,federalgovernmentdis_33.700687_73.071356,Federal Government Dispensary - G-7/1,"Federal Government Dispensary - G-7/1
3.6(13)
Medical Center ·  · Flat # 22/1-C Street 78
Closed ⋅ Opens 8:30 AM Fri",Medical Center,Closed,33.7006874,73.0713564,https://www.google.com/maps/place/Federal+Government+Dispensary+-+G-7%2F1/data=!4m7!3m6!1s0x38dfbfec8afea0e7:0xef1c141871ccaac2!8m2!3d33.7006874!4d73.0713564!16s%2Fg%2F1wj_4drb!19sChIJ56D-iuy_3zgRwqrMcRgUHO8?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
42,fgpcdispensaryg9poly_33.692882_73.028328,FGPC Dispensary G 9 Polyclinic,"FGPC Dispensary G 9 Polyclinic
3.0(1)
Hospital ·  · M2VH+584, Unnamed Road
Open ⋅ Closes 5 PM",Hospital,Open,33.6928822,73.0283279,https://www.google.com/maps/place/FGPC+Dispensary+G+9+Polyclinic/data=!4m7!3m6!1s0x38dfbfb251ae4165:0x5adf7a043b4bc023!8m2!3d33.6928822!4d73.0283279!16s%2Fg%2F11h3_y788s!19sChIJZUGuUbK_3zgRI8BLOwR631o?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
43,freedispensary_33.666802_72.874377,Free Dispensary,"Free Dispensary
3.0(3)
Medical clinic ·  · MV8F+PQC, GT Rd Sarai Kharbuza
Closes soon ⋅ 3 PM ⋅ Opens 10 AM Fri",Medical clinic,Closes soon,33.6668019,72.8743772,https://www.google.com/maps/place/Free+Dispensary/data=!4m7!3m6!1s0x38dfa297ce09c247:0x95466eba8b3faca6!8m2!3d33.6668019!4d72.8743772!16s%2Fg%2F11xcqtd2c!19sChIJR8IJzpei3zgRpqw_i7puRpU?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
44,dispensary_33.639476_73.031061,Dispensary,"Dispensary
5.0(1)
Hospital · Gate, near Sabzi Mandi",Hospital,,33.6394757,73.0310611,https://www.google.com/maps/place/Dispensary/data=!4m7!3m6!1s0x38df95abe56ec96b:0xa6f3c79ccbb84287!8m2!3d33.6394757!4d73.0310611!16s%2Fg%2F11fq4jf2tz!19sChIJa8lu5auV3zgRh0K4y5zH86Y?authuser=0&hl=en&rclk=1,"Dispen(sary), Islamabad"
