Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Health, Islamabad"
5,nationalinstituteofh_33.688783_73.137304,National Institute of Health (NIH),"National Institute of Health (NIH)
4.2(333)
Public health department ·  · M4QP+GW7, Park Rd
Open ⋅ Closes 3:44 PM · +92 300 8856321",Public health department,Open,33.6887833,73.1373039,https://www.google.com/maps/place/National+Institute+of+Health+%28NIH%29/data=!4m7!3m6!1s0x38dfea7ed0fc711b:0xf4cc34198ba3d005!8m2!3d33.6887833!4d73.1373039!16s%2Fg%2F1td5dhbz!19sChIJG3H80H7q3zgRBdCjixk0zPQ?authuser=0&hl=en&rclk=1,"Health, Islamabad"
37,islamabadhealthcarer_33.682721_73.050244,Islamabad Healthcare Regulatory Authority (IHRA),"Islamabad Healthcare Regulatory Authority (IHRA)
4.3(18)
Government office ·  · Pakistan Red Crescent Society, Disaster Management & Logistic Center, Second, Ashfaq Ahmed Rd
Open ⋅ Closes 5 PM · +92 51 9250383",Government office,Open,33.6827212,73.0502438,https://www.google.com/maps/place/Islamabad+Healthcare+Regulatory+Authority+%28IHRA%29/data=!4m7!3m6!1s0x38dfc1061f1e7579:0x1fb227146d0c49f1!8m2!3d33.6827212!4d73.0502438!16s%2Fg%2F11j791wj02!19sChIJeXUeHwbB3zgR8UkMbRQnsh8?authuser=0&hl=en&rclk=1,"Health, Islamabad"
38,islamabadhealthservi_33.568875_73.200526,Islamabad Health Services Hospital,"Islamabad Health Services Hospital
4.6(99)
Hospital ·  · D-23, Commercial Street 02, Block D Naval Anchorage, Islamabad Expressway Islamabad
Open 24 hours · +92 333 5767177",Hospital,Open 24 hours,33.5688753,73.200526,https://www.google.com/maps/place/Islamabad+Health+Services+Hospital/data=!4m7!3m6!1s0x38dfef77a8d3ea13:0xc7a33b4eb65b3bcf!8m2!3d33.5688753!4d73.200526!16s%2Fg%2F11h0b8y3g2!19sChIJE-rTqHfv3zgRzztbtk47o8c?authuser=0&hl=en&rclk=1,"Health, Islamabad"
39,ministryofnationalhe_33.741301_73.092244,"Ministry Of National Health Services, Regulations and Coordination","Ministry Of National Health Services, Regulations and Coordination
4.3(69)
State government office ·  · Kohsar Block, 3rd Floor, Constitution Ave
Open ⋅ Closes 4:30 PM · +92 51 9245810",State government office,Open,33.7413005,73.0922439,"https://www.google.com/maps/place/Ministry+Of+National+Health+Services,+Regulations+and+Coordination/data=!4m7!3m6!1s0x38dfc07c78fbaf21:0xb7661c85d115fac0!8m2!3d33.7413005!4d73.0922439!16s%2Fg%2F11bxc78cbl!19sChIJIa_7eHzA3zgRwPoV0YUcZrc?authuser=0&hl=en&rclk=1","Health, Islamabad"
40,directorateofcentral_33.688268_73.136353,Directorate of central health establishments (CHE),"Directorate of central health establishments (CHE)
4.5(8)
Public health department · M4QP+8G5, District
Open ⋅ Closes 5 PM",Public health department,Open,33.6882677,73.1363535,https://www.google.com/maps/place/Directorate+of+central+health+establishments+%28CHE%29/data=!4m7!3m6!1s0x38dfea7fc9c7b673:0xa8b4ff1db7652525!8m2!3d33.6882677!4d73.1363535!16s%2Fg%2F11gbxbt1kv!19sChIJc7bHyX_q3zgRJSVltx3_tKg?authuser=0&hl=en&rclk=1,"Health, Islamabad"
41,healthservicesacadem_33.688674_73.141539,"Health Services Academy, Islamabad","Health Services Academy, Islamabad
4.5(125)
University ·  · Opp. NIH, Park Rd
Open ⋅ Closes 5 PM · +92 51 9255590",University,Open,33.6886745,73.1415392,"https://www.google.com/maps/place/Health+Services+Academy,+Islamabad/data=!4m7!3m6!1s0x38dfeb4b1d37a3b1:0x747eedc0d4116eea!8m2!3d33.6886745!4d73.1415392!16s%2Fg%2F11yq4dd0k!19sChIJsaM3HUvr3zgR6m4R1MDtfnQ?authuser=0&hl=en&rclk=1","Health, Islamabad"
42,familyhealthhospital_33.649380_73.046830,Family Health Hospital,"Family Health Hospital
3.5(157)
Hospital ·  · J2XW+QP4, St 30
Open 24 hours · +92 51 4446840",Hospital,Open 24 hours,33.64938,73.04683,https://www.google.com/maps/place/Family+Health+Hospital/data=!4m7!3m6!1s0x38df950ec9f30bd3:0xef6ddd02594d1da6!8m2!3d33.64938!4d73.04683!16s%2Fg%2F11x9bnkhh!19sChIJ0wvzyQ6V3zgRph1NWQLdbe8?authuser=0&hl=en&rclk=1,"Health, Islamabad"
43,directorateofcentral_33.696079_73.042042,Directorate of Central Health Establishments Camp Office,"Directorate of Central Health Establishments Camp Office
5.0(2)
Government office ·  · 2
Open ⋅ Closes 5 PM · +92 51 9262214",Government office,Open,33.6960789,73.042042,https://www.google.com/maps/place/Directorate+of+Central+Health+Establishments+Camp+Office/data=!4m7!3m6!1s0x38dfbfcd9435c8d9:0x6c06b1b50b26837!8m2!3d33.6960789!4d73.042042!16s%2Fg%2F11fj5lcc0t!19sChIJ2cg1lM2_3zgRN2iyUBtrwAY?authuser=0&hl=en&rclk=1,"Health, Islamabad"
44,districthealthoffice_33.687861_73.034025,District Health Office DHO,"District Health Office DHO
4.4(13)
Federal government office ·  · M2QM+4JR
Open ⋅ Closes 4:30 PM · +92 51 9261210",Federal government office,Open,33.6878607,73.0340255,https://www.google.com/maps/place/District+Health+Office+DHO/data=!4m7!3m6!1s0x38dfbfa8fa2f4457:0xeb96f6cc6fcad0d3!8m2!3d33.6878607!4d73.0340255!16s%2Fg%2F11m1h7lmmc!19sChIJV0Qv-qi_3zgR09DKb8z2lus?authuser=0&hl=en&rclk=1,"Health, Islamabad"
45,premiumdiagnosticand_33.703519_73.051454,Premium Diagnostic and Clinics,"Premium Diagnostic and Clinics
4.2(2,549)
Medical school ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Medical school,Open 24 hours,33.7035185,73.0514542,https://www.google.com/maps/place/Premium+Diagnostic+and+Clinics/data=!4m7!3m6!1s0x38dfbfb826dae131:0xba5e1cbcad4376fe!8m2!3d33.7035185!4d73.0514542!16zL20vMGQyeGNw!19sChIJMeHaJri_3zgR_nZDrbwcXro?authuser=0&hl=en&rclk=1,"Health, Islamabad"
