Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Medicine, Islamabad"
5,hanifmedicalcomplexf_33.609167_72.865749,"Hanif Medical Complex - Faisal Town, Islamabad",,Pharmacy,Open 24 hours,33.6091671,72.8657494,"https://www.google.com/maps/place/Hanif+Medical+Complex+-+Faisal+Town,+Islamabad/data=!4m7!3m6!1s0x38df997275d079bd:0x9ed1a4a85f55ebed!8m2!3d33.6091671!4d72.8657494!16s%2Fg%2F11k3rthrtk!19sChIJvXnQdXKZ3zgR7etVX6ik0Z4?authuser=0&hl=en&rclk=1","Medicine, Islamabad"
37,premiumdiagnosticand_33.703519_73.051454,Premium Diagnostic and Clinics,"Premium Diagnostic and Clinics
4.2(2,549)
Medical school ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Medical school,Open 24 hours,33.7035185,73.0514542,https://www.google.com/maps/place/Premium+Diagnostic+and+Clinics/data=!4m7!3m6!1s0x38dfbfb826dae131:0xba5e1cbcad4376fe!8m2!3d33.7035185!4d73.0514542!16zL20vMGQyeGNw!19sChIJMeHaJri_3zgR_nZDrbwcXro?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
38,islamabadmedicalcent_33.687118_73.032261,Islamabad Medical Centre,"Islamabad Medical Centre
4.6(9)
Doctor · ICT, Rohtas Rd, G9 markaz
Open ⋅ Closes 9 PM · +92 51 2256966",Doctor,Open,33.6871184,73.0322605,https://www.google.com/maps/place/Islamabad+Medical+Centre/data=!4m7!3m6!1s0x38dfbe311dc56119:0x5d4fe7011e598db1!8m2!3d33.6871184!4d73.0322605!16s%2Fg%2F11xc8c18r!19sChIJGWHFHTG-3zgRsY1ZHgHnT10?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
39,islamabadmedicalcomp_33.649271_73.017190,Islamabad Medical Complex (IMC),"Islamabad Medical Complex (IMC)
3.7(158)
Hospital ·  · J2X8+PV4, Faqir Aipee Road
Open 24 hours · +92 51 906 725 102",Hospital,Open 24 hours,33.6492715,73.0171903,https://www.google.com/maps/place/Islamabad+Medical+Complex+%28IMC%29/data=!4m7!3m6!1s0x38df95bf7f63ca19:0x6d31923341485537!8m2!3d33.6492715!4d73.0171903!16s%2Fg%2F12mkz7vh9!19sChIJGcpjf7-V3zgRN1VIQTOSMW0?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
40,nustmedicalcentre_33.644090_72.997799,NUST Medical Centre,"NUST Medical Centre
4.7(28)
Medical clinic ·  · JXVX+J4M Nat'l Univ of Sciences & Technology, Ravi Rd
Open 24 hours · +92 51 90851666",Medical clinic,Open 24 hours,33.64409,72.9977989,https://www.google.com/maps/place/NUST+Medical+Centre/data=!4m7!3m6!1s0x38df95deb59e8c23:0x7babaa2f1575b6ea!8m2!3d33.64409!4d72.9977989!16s%2Fg%2F1vtqtglq!19sChIJI4yetd6V3zgR6rZ1FS-qq3s?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
41,islamabadmedicinemar_33.637658_73.144294,Islamabad Medicine Mart,"Islamabad Medicine Mart
5.0(1)
Pharmacy · Ch Rehman Plaza, Lehtrar Rd
Open ⋅ Closes 8 PM · +92 307 5100052",Pharmacy,Open,33.6376582,73.1442943,https://www.google.com/maps/place/Islamabad+Medicine+Mart/data=!4m7!3m6!1s0x38dfeb002e934247:0x26978cef2c937da4!8m2!3d33.6376582!4d73.1442943!16s%2Fg%2F11lyrkcnfc!19sChIJR0KTLgDr3zgRpH2TLO-MlyY?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
42,islamabadhomeo_33.668420_72.998312,Islamabad homeo,"Islamabad homeo
4.8(38)
Medical Center · Al Ghaffar Mall Shop#9 Ground floor
Open ⋅ Closes 10 PM · +92 300 5178485",Medical Center,Open,33.6684198,72.9983121,https://www.google.com/maps/place/Islamabad+homeo/data=!4m7!3m6!1s0x38df9564e8def301:0x305672d7fc754b1c!8m2!3d33.6684198!4d72.9983121!16s%2Fg%2F11q84lxh20!19sChIJAfPe6GSV3zgRHEt1_NdyVjA?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
43,gulbergmedicalcenter_33.597849_73.142213,Gulberg Medical Center,"Gulberg Medical Center
4.2(171)
Hospital ·  · Plot 30, Street 2, Service Road, Expressway, near Imtiaz Super Store
Open 24 hours · +92 300 8545942",Hospital,Open 24 hours,33.5978486,73.1422128,https://www.google.com/maps/place/Gulberg+Medical+Center/data=!4m7!3m6!1s0x38dfed5a7f50614f:0x681f431d7c656eaa!8m2!3d33.5978486!4d73.1422128!16s%2Fg%2F11j37g75vk!19sChIJT2FQf1rt3zgRqm5lfB1DH2g?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
44,tabibimedicalcentre_33.692288_73.030280,Tabibi Medical Centre,"Tabibi Medical Centre
4.8(77)
Hospital ·  · Stree# 5, Jahangir Market
Open 24 hours · +92 51 2324344",Hospital,Open 24 hours,33.6922879,73.0302795,https://www.google.com/maps/place/Tabibi+Medical+Centre/data=!4m7!3m6!1s0x38dfbfee5aca6f49:0x96d49ed063951d5!8m2!3d33.6922879!4d73.0302795!16s%2Fg%2F11m29ljvl1!19sChIJSW_KWu6_3zgR1VE5Bu1JbQk?authuser=0&hl=en&rclk=1,"Medicine, Islamabad"
