Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Optometrist, Islamabad"
5,amanateyehospitalraw_33.587252_73.066364,Amanat Eye Hospital Rawalpindi,,Eye care center,Open,33.5872518,73.0663637,https://www.google.com/maps/place/Amanat+Eye+Hospital+Rawalpindi/data=!4m7!3m6!1s0x38df935dc4333d53:0xa7d989ebc4727fe!8m2!3d33.5872518!4d73.0663637!16s%2Fg%2F1tf060yh!19sChIJUz0zxF2T3zgR_idHvJ6YfQo?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
37,dranumnadirbesteyesp_33.547482_73.137064,Dr Anum Nadir | Best Eye Specialist | Eye Specialist In Bahria Town,"Dr Anum Nadir | Best Eye Specialist | Eye Specialist In Bahria Town
5.0(15)
Optometrist · Medicent Hospital 44 Marina Commercial, Corniche Road Phase 4 Bahria Town Rawalpindi, Islamabad Capital Territory 46220
Open ⋅ Closes 9 PM · +92 323 3331694",Optometrist,Open,33.5474823,73.137064,https://www.google.com/maps/place/Dr+Anum+Nadir+%7C+Best+Eye+Specialist+%7C+Eye+Specialist+In+Bahria+Town/data=!4m7!3m6!1s0x38dfede8665a1ceb:0x7880cc508d410c9c!8m2!3d33.5474823!4d73.137064!16s%2Fg%2F11vf8tvqk5!19sChIJ6xxaZujt3zgRnAxBjVDMgHg?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
38,khurshidbhaichashmay_33.739078_73.182031,Khurshid Bhai Chashmay Walay & Eye Clinic,"Khurshid Bhai Chashmay Walay & Eye Clinic
4.5(26)
Eye care center · P5QJ+JRM, Simly Dam Road
Open ⋅ Closes 9:30 PM · +92 51 2160736",Eye care center,Open,33.7390783,73.1820313,https://www.google.com/maps/place/Khurshid+Bhai+Chashmay+Walay+%26+Eye+Clinic/data=!4m7!3m6!1s0x38dfc1800ac74f89:0x11949a56fd949a52!8m2!3d33.7390783!4d73.1820313!16s%2Fg%2F1ptxybs0j!19sChIJiU_HCoDB3zgRUpqU_VaalBE?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
39,basheeranumareyehosp_33.529999_73.133649,Basheeran Umar Eye Hospital,"Basheeran Umar Eye Hospital
4.6(77)
Eye care center ·  · GM Plaza, Jinnah Boulevard, Main GT Rd, near Gate # 1
Open ⋅ Closes 7 PM · +92 333 6606655",Eye care center,Open,33.5299992,73.1336487,https://www.google.com/maps/place/Basheeran+Umar+Eye+Hospital/data=!4m7!3m6!1s0x38dfed7635b4d9af:0x33b9aebb3508c18e!8m2!3d33.5299992!4d73.1336487!16s%2Fg%2F11byz6rxwq!19sChIJr9m0NXbt3zgRjsEINbuuuTM?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
40,hassanoptical_33.690100_73.032742,Hassan Optical,"Hassan Optical
4.9(260)
Eye care center ·  · Plot No. 31-A, United Plaza
Open ⋅ Closes 10 PM · +92 51 2284810",Eye care center,Open,33.6901005,73.0327425,https://www.google.com/maps/place/Hassan+Optical/data=!4m7!3m6!1s0x38dfbe310578902b:0x137012252d037260!8m2!3d33.6901005!4d73.0327425!16s%2Fg%2F11c328wvc1!19sChIJK5B4BTG-3zgRYHIDLSUScBM?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
41,eyezone_33.621347_73.142523,Eye Zone,"Eye Zone
5.0(28)
Optometrist · 4B Ghori Town Road, Street 13
Open ⋅ Closes 9 PM · +92 311 4006493",Optometrist,Open,33.6213471,73.1425233,https://www.google.com/maps/place/Eye+Zone/data=!4m7!3m6!1s0x38dfeb34586310bb:0x92df6525828f2b03!8m2!3d33.6213471!4d73.1425233!16s%2Fg%2F11g2mkky9l!19sChIJuxBjWDTr3zgRAyuPgiVl35I?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
42,eyelinksopticians_33.684394_73.042072,EYE LINKS OPTICIANS,"EYE LINKS OPTICIANS
4.9(68)
Optician · BLOCK #40,SHOP#3, Industrial and Trading centre, Street 55
Open ⋅ Closes 11:15 PM · +92 332 5549997",Optician,Open,33.6843937,73.0420723,https://www.google.com/maps/place/EYE+LINKS+OPTICIANS/data=!4m7!3m6!1s0x38dfbfd3a9810b0d:0x1fcef96fc3a94690!8m2!3d33.6843937!4d73.0420723!16s%2Fg%2F1pzt6k903!19sChIJDQuBqdO_3zgRkEapw2_5zh8?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
43,tanweeroptical_33.716464_73.085436,Tanweer optical,"Tanweer optical
4.5(58)
Optometrist · Shop 7, Melody Market, Civic Centre, 8 Shaheed-e-Millat Rd
Open ⋅ Closes 9:15 PM · +92 332 0007734",Optometrist,Open,33.7164644,73.0854364,https://www.google.com/maps/place/Tanweer+optical/data=!4m7!3m6!1s0x38dfbf87d1a60dbf:0x758c073d82f96f1a!8m2!3d33.7164644!4d73.0854364!16s%2Fg%2F12mkzcfm5!19sChIJvw2m0Ye_3zgRGm_5gj0HjHU?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
44,eyecareclinicoptical_33.668678_72.998374,Eye care clinic & optical,"Eye care clinic & optical
5.0(3)
Optometrist · Al Ghaffar shapping Mall
Open ⋅ Closes 11 PM · +92 331 9423433",Optometrist,Open,33.6686785,72.998374,https://www.google.com/maps/place/Eye+care+clinic+%26+optical/data=!4m7!3m6!1s0x38df9542d8d41e53:0xe2ac9e91e0d8dcc0!8m2!3d33.6686785!4d72.998374!16s%2Fg%2F11s8z7kf2l!19sChIJUx7U2EKV3zgRwNzY4JGerOI?authuser=0&hl=en&rclk=1,"Optometrist, Islamabad"
