Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Pathologist, Islamabad"
5,dramnaiqbalspeechand_33.697930_73.048678,Dr Amna Iqbal Speech and Language Pathologist,"Dr Amna Iqbal Speech and Language Pathologist
4.9(26)
Medical Center · lower ground floor, Akbar Niazi teaching hospital executive clinics, executive complex
Open ⋅ Closes 5 PM · +92 51 8442806",Medical Center,Open,33.6979304,73.0486781,https://www.google.com/maps/place/Dr+Amna+Iqbal+Speech+and+Language+Pathologist/data=!4m7!3m6!1s0x38dfbf4e3c76618b:0x5d0d79a51731e980!8m2!3d33.6979304!4d73.0486781!16s%2Fg%2F11y4bf73w5!19sChIJi2F2PE6_3zgRgOkxF6V5DV0?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
37,rapidfixspeechpathol_33.698813_72.967896,Rapid Fix Speech Pathologist/ Child Psychologist Physicaltherapy Clinic & Home Services,"Rapid Fix Speech Pathologist/ Child Psychologist Physicaltherapy Clinic & Home Services
5.0(16)
Speech pathologist ·  · 3 Hill Rd
Open 24 hours · +92 311 0979070",Speech pathologist,Open 24 hours,33.6988135,72.967896,https://www.google.com/maps/place/Rapid+Fix+Speech+Pathologist%2F+Child+Psychologist+Physicaltherapy+Clinic+%26+Home+Services/data=!4m7!3m6!1s0x38dfbd7848d6177d:0xa4b176043a471d6d!8m2!3d33.6988135!4d72.967896!16s%2Fg%2F11fnnr16l9!19sChIJfRfWSHi93zgRbR1HOgR2saQ?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
38,faizainamstcicldspee_33.575963_73.133938,"Faiza Inam (STCICLD) Speech Therapy, Speech Therapist, Speech & Language Therapy In Bahria Town, Islamabad & Rawalpindi","Faiza Inam (STCICLD) Speech Therapy, Speech Therapist, Speech & Language Therapy In Bahria Town, Islamabad & Rawalpindi
4.9(69)
Speech pathologist ·  · House number 3, street 58 korang town, Korang
Open ⋅ Closes 9 PM · +92 332 5371112",Speech pathologist,Open,33.5759634,73.1339381,"https://www.google.com/maps/place/Faiza+Inam+%28STCICLD%29+Speech+Therapy,+Speech+Therapist,+Speech+%26+Language+Therapy+In+Bahria+Town,+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38df951511a7f00d:0x9c3d3f59b9e1c673!8m2!3d33.5759634!4d73.1339381!16s%2Fg%2F11fl9gtlbz!19sChIJDfCnERWV3zgRc8bhuVk_PZw?authuser=0&hl=en&rclk=1","Pathologist, Islamabad"
39,mhsphysiotherapyspee_33.722512_73.082228,MHS Physiotherapy Speech Therapy & Psychology Clinic,"MHS Physiotherapy Speech Therapy & Psychology Clinic
4.7(174)
Physical therapy clinic · Office No 12 Huma Plaza
Open ⋅ Closes 9 PM · +92 311 0979070",Physical therapy clinic,Open,33.7225119,73.0822276,https://www.google.com/maps/place/MHS+Physiotherapy+Speech+Therapy+%26+Psychology+Clinic/data=!4m7!3m6!1s0x38df95156aaaaab1:0x3ec18d3a9a0eb9f5!8m2!3d33.7225119!4d73.0822276!16s%2Fg%2F11hb28zf7j!19sChIJsaqqahWV3zgR9bkOmjqNwT4?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
40,laboratoryinislamaba_33.709835_73.057930,Laboratory in Islamabad | Pure Health Lab,"Laboratory in Islamabad | Pure Health Lab
5.0(4)
Laboratory · Royal Centre, Basement #4 B, AKM Fazl-ul-Haq Rd
Open ⋅ Closes 8:30 PM · +92 51 2806441",Laboratory,Open,33.7098354,73.0579299,https://www.google.com/maps/place/Laboratory+in+Islamabad+%7C+Pure+Health+Lab/data=!4m7!3m6!1s0x38dfbf7679707f47:0xb26a6efe3ca01c14!8m2!3d33.7098354!4d73.0579299!16s%2Fg%2F11n14df91b!19sChIJR39weXa_3zgRFBygPP5uarI?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
41,shafiphysiotherapyan_33.616116_73.086108,Shafi Physiotherapy and Speech Therapy Home Services,"Shafi Physiotherapy and Speech Therapy Home Services
5.0(197)
Speech pathologist
+92 333 0303457",Speech pathologist,,33.6161162,73.086108,https://www.google.com/maps/place/Shafi+Physiotherapy+and+Speech+Therapy+Home+Services/data=!4m7!3m6!1s0x38dfbf71f34c1fd9:0x5d8b5cd35800eaea!8m2!3d33.6161162!4d73.086108!16s%2Fg%2F11p4q8dy6w!19sChIJ2R9M83G_3zgR6uoAWNNci10?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
42,pediacaretherapyclin_33.696752_73.051170,PediaCare Therapy Clinic,"PediaCare Therapy Clinic
5.0(99)
Speech pathologist · Module 1 & 2, Grand Time Square Plaza
Open ⋅ Closes 7 PM · +92 318 5695243",Speech pathologist,Open,33.6967519,73.0511696,https://www.google.com/maps/place/PediaCare+Therapy+Clinic/data=!4m7!3m6!1s0x38dfbff82f273af3:0xe693a2b44dceda5a!8m2!3d33.6967519!4d73.0511696!16s%2Fg%2F11lnhl99lv!19sChIJ8zonL_i_3zgRWtrOTbSik-Y?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
43,mhsspeechtherapyphys_33.567130_73.147563,MHS Speech Therapy & Physiotherapy Behavior Therapy OT Center & Home Services,"MHS Speech Therapy & Physiotherapy Behavior Therapy OT Center & Home Services
4.9(15)
Speech pathologist ·  · Muzaffar Plaza,Mehran Market
Open ⋅ Closes 9 PM · +92 311 0979070",Speech pathologist,Open,33.5671296,73.1475631,https://www.google.com/maps/place/MHS+Speech+Therapy+%26+Physiotherapy+Behavior+Therapy+OT+Center+%26+Home+Services/data=!4m7!3m6!1s0x38dfedafc8720b95:0x7489425c73079b29!8m2!3d33.5671296!4d73.1475631!16s%2Fg%2F11sffnj10_!19sChIJlQtyyK_t3zgRKZsHc1xCiXQ?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
44,asialabandclinic_33.642564_72.952103,ASIA Lab and clinic,"ASIA Lab and clinic
5.0(2)
Laboratory · Shop No 107, Humayun Arcade, Street 14
Open ⋅ Closes 9 PM · +92 335 5021118",Laboratory,Open,33.6425636,72.9521033,https://www.google.com/maps/place/ASIA+Lab+and+clinic/data=!4m7!3m6!1s0x38df9723f179c255:0x4c45ff64eca88d69!8m2!3d33.6425636!4d72.9521033!16s%2Fg%2F11tfn_wn48!19sChIJVcJ58SOX3zgRaY2o7GT_RUw?authuser=0&hl=en&rclk=1,"Pathologist, Islamabad"
