Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Abortion Clinic, Islamabad"
5,wellwomensclinic_33.525555_73.156396,Well Women's Clinic,"Well Women's Clinic
4.7(60)
Medical clinic · Plaza 26 second floor, 26 Iqbal Boulevard, above Churn Station, behind Giga Mall
Closed ⋅ Opens 8 PM · +92 333 6731508",Medical clinic,Closed,33.525555,73.1563965,https://www.google.com/maps/place/Well+Women%27s+Clinic/data=!4m7!3m6!1s0x38dfbd9dc68f8285:0x75aac27d3192a9d7!8m2!3d33.525555!4d73.1563965!16s%2Fg%2F11fjt1t8qn!19sChIJhYKPxp293zgR16mSMX3CqnU?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
37,drasmaclinic_33.550880_73.123616,Dr. Asma Clinic,"Dr. Asma Clinic
5.0(1)
Abortion clinic
Open ⋅ Closes 10 PM · +92 301 8555463",Abortion clinic,Open,33.5508798,73.1236164,https://www.google.com/maps/place/Dr.+Asma+Clinic/data=!4m7!3m6!1s0x8b9221460e767937:0x9f734b4057838ab0!8m2!3d33.5508798!4d73.1236164!16s%2Fg%2F11tsd0yg82!19sChIJN3l2DkYhkosRsIqDV0BLc58?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
38,drasmaclinic_33.550871_73.123903,Dr. Asma Clinic,"Dr. Asma Clinic
3.4(5)
Abortion clinic · 57
+92 301 8555463",Abortion clinic,,33.5508705,73.1239035,https://www.google.com/maps/place/Dr.+Asma+Clinic/data=!4m7!3m6!1s0x38dfed8cff89a37b:0xb967762a01ddc4e4!8m2!3d33.5508705!4d73.1239035!16s%2Fg%2F11kb0r_xgd!19sChIJe6OJ_4zt3zgR5MTdASp2Z7k?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
39,drghazalamehmoodclin_33.696920_73.051077,Dr Ghazala Mehmood Clinic,"Dr Ghazala Mehmood Clinic
3.1(54)
Gynecologist · M3W2+QC8
+92 51 2340399",Gynecologist,,33.6969203,73.0510774,https://www.google.com/maps/place/Dr+Ghazala+Mehmood+Clinic/data=!4m7!3m6!1s0x38dfbfc88d9e9aef:0x472f52da20ffd303!8m2!3d33.6969203!4d73.0510774!16s%2Fg%2F11gfh98hnx!19sChIJ75qejci_3zgRA9P_INpSL0c?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
40,malihamaternityhome_33.617945_73.124904,Maliha Maternity Home,"Maliha Maternity Home
4.1(9)
Women's health clinic ·  · 36 Street 1
Closed ⋅ Opens 4 PM · +92 323 5003312",Women's health clinic,Closed,33.6179452,73.1249042,https://www.google.com/maps/place/Maliha+Maternity+Home/data=!4m7!3m6!1s0x38dfeb718c08f1e1:0xe80d76d56db05b22!8m2!3d33.6179452!4d73.1249042!16s%2Fg%2F1hdzckbj3!19sChIJ4fEIjHHr3zgRIluwbdV2Deg?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
41,womenshealthcareclin_33.668521_72.998245,Women's Health Care Clinic,"Women's Health Care Clinic
5.0(1)
Women's health clinic · Shop No 06 (Basement, Al Ghafar Plaza, near G-11 Markaz
Closed ⋅ Opens 6 PM · +92 332 4111132",Women's health clinic,Closed,33.6685206,72.998245,https://www.google.com/maps/place/Women%27s+Health+Care+Clinic/data=!4m7!3m6!1s0x38df957827504a59:0x4c1fffe910ae0b4!8m2!3d33.6685206!4d72.998245!16s%2Fg%2F11y2lshyj5!19sChIJWUpQJ3iV3zgRtOAKkf7_wQQ?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
42,drsanajunaidabbasi_33.667313_73.104453,Dr Sana Junaid Abbasi,"Dr Sana Junaid Abbasi
4.9(287)
Obstetrician-gynecologist ·  · Plot 20 Street 38
Open ⋅ Closes 7 PM · +92 321 5152725",Obstetrician-gynecologist,Open,33.6673125,73.1044532,https://www.google.com/maps/place/Dr+Sana+Junaid+Abbasi/data=!4m7!3m6!1s0x38df959f6b53280b:0xd60f641b71e877eb!8m2!3d33.6673125!4d73.1044532!16s%2Fg%2F11mr237xsy!19sChIJCyhTa5-V3zgR63focRtkD9Y?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
43,awkcareclinic_33.657742_72.984981,Awk Care Clinic,"Awk Care Clinic
No reviews
Abortion clinic · MX5M+3XX, Ghazali Rd
+92 300 5774120",Abortion clinic,,33.657742,72.984981,https://www.google.com/maps/place/Awk+Care+Clinic/data=!4m7!3m6!1s0x38df970014ce3aa5:0xc2bb3d95c3164a52!8m2!3d33.657742!4d72.984981!16s%2Fg%2F11l_2xy5y7!19sChIJpTrOFACX3zgRUkoWw5U9u8I?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
44,drshaguftayasmin_33.697587_73.048881,Dr. Shagufta Yasmin,"Dr. Shagufta Yasmin
5.0(12)
Health consultant · Max Health Hospital
Closed ⋅ Opens 8 PM · +92 346 5973578",Health consultant,Closed,33.6975873,73.0488806,https://www.google.com/maps/place/Dr.+Shagufta+Yasmin/data=!4m7!3m6!1s0x38dfbfac25131ef3:0x6f366c67a1c8e442!8m2!3d33.6975873!4d73.0488806!16s%2Fg%2F11qg330gj_!19sChIJ8x4TJay_3zgRQuTIoWdsNm8?authuser=0&hl=en&rclk=1,"Abortion Clinic, Islamabad"
