Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Centres, Islamabad"
5,pakistanchinafriends_33.697233_73.085247,Pakistan-China Friendship Center,,Exhibition and trade centre,Open,33.6972334,73.0852466,https://www.google.com/maps/place/Pakistan-China+Friendship+Center/data=!4m7!3m6!1s0x38dfbff6f02523ef:0x18a33ce6db52a94d!8m2!3d33.6972334!4d73.0852466!16s%2Fm%2F0r8ljq5!19sChIJ7yMl8Pa_3zgRTalS2-Y8oxg?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
37,kamrancentre_33.716478_73.069581,Kamran Centre,"Kamran Centre
4.0(217)
Corporate office · Kamran Centre, 85 East Jinnah Ave
Open ⋅ Closes 5 PM",Corporate office,Open,33.7164781,73.0695812,https://www.google.com/maps/place/Kamran+Centre/data=!4m7!3m6!1s0x38dfbf997f61b945:0x8a136f14f8aba45c!8m2!3d33.7164781!4d73.0695812!16s%2Fg%2F12mkw93gk!19sChIJRblhf5m_3zgRXKSr-BRvE4o?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
38,awamitradecentreisla_33.690065_73.031062,Awami Trade Centre Islamabad,"Awami Trade Centre Islamabad
4.2(8,473)
Shopping mall ·  · M2RJ+2CF, Rohtas Rd
Open ⋅ Closes 10 PM · +92 51 2285030",Shopping mall,Open,33.6900646,73.031062,https://www.google.com/maps/place/Awami+Trade+Centre+Islamabad/data=!4m7!3m6!1s0x38dfbe30e4a58925:0x79fd2d4810229e14!8m2!3d33.6900646!4d73.031062!16s%2Fg%2F1pty72zcl!19sChIJJYml5DC-3zgRFJ4iEEgt_Xk?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
39,cdafacilitationcentr_33.711310_73.065203,CDA Facilitation Centre Islamabad,"CDA Facilitation Centre Islamabad
3.7(661)
Government office ·  · P368+G3G
Open ⋅ Closes 4:30 PM · +92 342 5221570",Government office,Open,33.7113103,73.0652035,https://www.google.com/maps/place/CDA+Facilitation+Centre+Islamabad/data=!4m7!3m6!1s0x38dfbf97c69bf609:0xeb13955d6c93d7d9!8m2!3d33.7113103!4d73.0652035!16s%2Fg%2F11g6hwcntm!19sChIJCfabxpe_3zgR2deTbF2VE-s?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
40,prometrictestingcent_33.733853_73.068939,Prometric Testing Center No. 8782,"Prometric Testing Center No. 8782
4.1(82)
Educational testing service ·  · House 5, Street 17
Open ⋅ Closes 5 PM · +92 51 8431300",Educational testing service,Open,33.7338529,73.0689389,https://www.google.com/maps/place/Prometric+Testing+Center+No.+8782/data=!4m7!3m6!1s0x38dfbf7229b21949:0x66a7501508ae8cc0!8m2!3d33.7338529!4d73.0689389!16s%2Fg%2F1w4f6g_f!19sChIJSRmyKXK_3zgRwIyuCBVQp2Y?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
41,rewiredhijamaandruqy_33.711485_73.041331,Rewired Hijama and Ruqyah Centre Islamabad,"Rewired Hijama and Ruqyah Centre Islamabad
5.0(274)
Medical clinic · Shop# 1B, Basement, Umar Plaza, ICT, 13-F Kohistan Rd
Open ⋅ Closes 9 PM · +92 333 1117834",Medical clinic,Open,33.7114849,73.0413315,https://www.google.com/maps/place/Rewired+Hijama+and+Ruqyah+Centre+Islamabad/data=!4m7!3m6!1s0x38dfbfea5d0fd797:0x2827b650b2b9e7a9!8m2!3d33.7114849!4d73.0413315!16s%2Fg%2F11s8dc35sz!19sChIJl9cPXeq_3zgRqee5slC2Jyg?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
42,centaurusmall_33.707728_73.049792,Centaurus Mall,"Centaurus Mall
4.4(78,170)
Shopping mall ·  · 4 Jinnah Avenue
Sizable, contemporary shopping center
Open ⋅ Closes 11 PM · +92 51 8483040",Shopping mall,Open,33.7077281,73.0497919,https://www.google.com/maps/place/Centaurus+Mall/data=!4m7!3m6!1s0x38dfbfb0f4f77379:0xf8c50b8651f56d02!8m2!3d33.7077281!4d73.0497919!16s%2Fm%2F01xmgnl!19sChIJeXP39LC_3zgRAm31UYYLxfg?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
43,jinnahconventioncent_33.713322_73.105372,Jinnah Convention Centre,"Jinnah Convention Centre
4.5(4,480)
Convention center ·  · Club Rd
Open 24 hours",Convention center,Open 24 hours,33.7133225,73.1053723,https://www.google.com/maps/place/Jinnah+Convention+Centre/data=!4m7!3m6!1s0x38dfc06c07cee5f3:0x3708b59d9f7db81!8m2!3d33.7133225!4d73.1053723!16s%2Fm%2F0j43zfz!19sChIJ8-XOB2zA3zgRgdv32VmLcAM?authuser=0&hl=en&rclk=1,"Centres, Islamabad"
44,staffwelfareorganisa_33.690628_73.023724,"Staff Welfare Organisation, Community Center Islamabad","Staff Welfare Organisation, Community Center Islamabad
4.2(1,306)
Community center ·  · M2RF+7F5, Street 11",Community center,,33.6906277,73.0237237,"https://www.google.com/maps/place/Staff+Welfare+Organisation,+Community+Center+Islamabad/data=!4m7!3m6!1s0x38dfbe3be17c48b5:0x32eeed020b6f9094!8m2!3d33.6906277!4d73.0237237!16s%2Fg%2F11c3tn_jq9!19sChIJtUh84Tu-3zgRlJBvCwLt7jI?authuser=0&hl=en&rclk=1","Centres, Islamabad"
