Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Chiropractor, Islamabad"
5,chiropractordraghaeb_33.694181_73.051088,Chiropractor Dr. Agha Ebrahim,,Chiropractor,Open,33.6941812,73.0510881,https://www.google.com/maps/place/Chiropractor+Dr.+Agha+Ebrahim/data=!4m7!3m6!1s0x38dfbfcfb4ec6faf:0xc0ced3db65a9ab87!8m2!3d33.6941812!4d73.0510881!16s%2Fg%2F11h25pxj2j!19sChIJr2_stM-_3zgRh6upZdvTzsA?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
37,okcurespainreliefcli_33.698602_73.048521,Okcures Pain Relief Clinic,"Okcures Pain Relief Clinic
4.9(435)
Chiropractor ·  · Office 13, & St 14
Open ⋅ Closes 9 PM · +92 331 9340645",Chiropractor,Open,33.6986018,73.0485214,https://www.google.com/maps/place/Okcures+Pain+Relief+Clinic/data=!4m7!3m6!1s0x38dfbf6787772403:0x239315c4eac104ea!8m2!3d33.6986018!4d73.0485214!16s%2Fg%2F11v18xkd54!19sChIJAyR3h2e_3zgR6gTB6sQVkyM?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
38,drijazalipt_33.696762_73.012687,Dr. Ijaz Ali PT,"Dr. Ijaz Ali PT
5.0(42)
Chiropractor ·  · Royal cure clinic, markaz, near D watson
Open ⋅ Closes 9 PM · +92 334 8774893",Chiropractor,Open,33.6967619,73.0126871,https://www.google.com/maps/place/Dr.+Ijaz+Ali+PT/data=!4m7!3m6!1s0x38df95e270710841:0x1d5eb5cef0cb8c79!8m2!3d33.6967619!4d73.0126871!16s%2Fg%2F11sgy1d1yw!19sChIJQQhxcOKV3zgReYzL8M61Xh0?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
39,dralitherapypvtltdbe_33.710667_73.040730,Dr Ali Therapy Pvt Ltd-best chiropractor Physiotherapist in Islamabad,"Dr Ali Therapy Pvt Ltd-best chiropractor Physiotherapist in Islamabad
4.8(1,603)
Physical therapist ·  · Pakland & Kiran Plaza, Kohistan Rd, near IDC
Open ⋅ Closes 1:30 AM · +92 51 6125380",Physical therapist,Open,33.7106669,73.04073,https://www.google.com/maps/place/Dr+Ali+Therapy+Pvt+Ltd-best+chiropractor+Physiotherapist+in+Islamabad/data=!4m7!3m6!1s0x38dfbf7f9667f1d5:0x287e188a6765e906!8m2!3d33.7106669!4d73.04073!16s%2Fg%2F11rss4ydvy!19sChIJ1fFnln-_3zgRBullZ4oYfig?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
40,drburhanrabibestphys_33.721190_73.074118,Dr Burhan Rabi | Best Physiotherapist in Islamabad,"Dr Burhan Rabi | Best Physiotherapist in Islamabad
4.9(70)
Chiropractor · 20 Nazim-ud-din Rd, near Beverly Centre
Open ⋅ Closes 8 PM · +92 335 9634634",Chiropractor,Open,33.7211901,73.074118,https://www.google.com/maps/place/Dr+Burhan+Rabi+%7C+Best+Physiotherapist+in+Islamabad/data=!4m7!3m6!1s0x38dfbfdc3f5552c9:0xc763eb94882498bb!8m2!3d33.7211901!4d73.074118!16s%2Fg%2F11t_jz0xgb!19sChIJyVJVP9y_3zgRu5gkiJTrY8c?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
41,profdrrajakhurramshe_33.574703_73.151620,Prof Dr Raja Khurram Shehzad (Dr kiyani),"Prof Dr Raja Khurram Shehzad (Dr kiyani)
3.9(68)
Chiropractor ·  · 3D, Mezban Plaza, Main PWD Rd
Open ⋅ Closes 6 PM · +92 300 5207835",Chiropractor,Open,33.5747032,73.1516197,https://www.google.com/maps/place/Prof+Dr+Raja+Khurram+Shehzad+%28Dr+kiyani%29/data=!4m7!3m6!1s0x38dfed89c0ef98df:0xe76e7a43b73ee01c!8m2!3d33.5747032!4d73.1516197!16s%2Fg%2F11t3z62r_w!19sChIJ35jvwInt3zgRHOA-t0N6buc?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
42,elitephysiotherapyan_33.647569_72.962441,Elite physiotherapy and chiropractic adjustment,"Elite physiotherapy and chiropractic adjustment
5.0(51)
Chiropractor · 116
Open 24 hours · +92 346 8866647",Chiropractor,Open 24 hours,33.6475689,72.9624408,https://www.google.com/maps/place/Elite+physiotherapy+and+chiropractic+adjustment/data=!4m7!3m6!1s0x38df973b5838b10f:0x69a077a1c512e37b!8m2!3d33.6475689!4d72.9624408!16s%2Fg%2F11vlk0ms2m!19sChIJD7E4WDuX3zgRe-MSxaF3oGk?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
43,physioworksbystayfit_33.638001_73.067218,Physioworks By Stayfit,"Physioworks By Stayfit
5.0(32)
Physical therapy clinic · Market, 4th road, Main Commercial, above UBL bank
Open ⋅ Closes 9 PM · +92 333 1934880",Physical therapy clinic,Open,33.6380008,73.0672176,https://www.google.com/maps/place/Physioworks+By+Stayfit/data=!4m7!3m6!1s0x38df952bd4a0c493:0xa8de0ac388c72767!8m2!3d33.6380008!4d73.0672176!16s%2Fg%2F11fswdl98f!19sChIJk8Sg1CuV3zgRZyfHiMMK3qg?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
44,chiropractorislamaba_33.696891_73.050249,chiropractor islamabad,"chiropractor islamabad
5.0(1)
Chiropractor · Media Foundation Plaza, 2 Markaz
Temporarily closed · +92 316 5680922",Chiropractor,,33.6968905,73.050249,https://www.google.com/maps/place/chiropractor+islamabad/data=!4m7!3m6!1s0x38dfbf4d8ff83663:0x3c3b1f12f5833374!8m2!3d33.6968905!4d73.050249!16s%2Fg%2F11kc680nfg!19sChIJYzb4j02_3zgRdDOD9RIfOzw?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
45,draqibjamalbestchiro_33.722335_73.060006,Dr Aqib Jamal - Best chiropractor & Physiotherapist in Islamabad,"Dr Aqib Jamal - Best chiropractor & Physiotherapist in Islamabad
4.6(10)
Chiropractor · 2nd Floor, City Centre, Plaza Jinnah Super Market
Temporarily closed · +92 336 8404328",Chiropractor,,33.7223352,73.0600061,https://www.google.com/maps/place/Dr+Aqib+Jamal+-+Best+chiropractor+%26+Physiotherapist+in+Islamabad/data=!4m7!3m6!1s0x38dfeda13083ed59:0x7989a4df5022ec5c!8m2!3d33.7223352!4d73.0600061!16s%2Fg%2F11vj33440h!19sChIJWe2DMKHt3zgRXOwiUN-kiXk?authuser=0&hl=en&rclk=1,"Chiropractor, Islamabad"
