Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Dawakhan, Islamabad"
5,madinapansaranddawak_33.707951_73.089382,Madina Pansar And Dawakhana,,Herbal medicine store,Open,33.7079509,73.0893824,https://www.google.com/maps/place/Madina+Pansar+And+Dawakhana/data=!4m7!3m6!1s0x38dfc0750cbf05ff:0x283d903a12df4089!8m2!3d33.7079509!4d73.0893824!16s%2Fg%2F12mkw902y!19sChIJ_wW_DHXA3zgRiUDfEjqQPSg?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
37,hakeemgorbachansingh_33.692428_73.034464,Hakeem Gorbachan Singh Khalsa Dawakhana,"Hakeem Gorbachan Singh Khalsa Dawakhana
4.1(25)
Medical clinic · Plot 653 Street 6
Closed ⋅ Opens 12 PM Sat · +92 300 5932311",Medical clinic,Closed,33.6924282,73.0344637,https://www.google.com/maps/place/Hakeem+Gorbachan+Singh+Khalsa+Dawakhana/data=!4m7!3m6!1s0x38dfbf5803c1f461:0x668c51e267f1df5c!8m2!3d33.6924282!4d73.0344637!16s%2Fg%2F11hyfwdpgx!19sChIJYfTBA1i_3zgRXN_xZ-JRjGY?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
38,islamicherbaldawakha_33.648970_72.910058,Islamic Herbal Dawakhana & Herbal Store,"Islamic Herbal Dawakhana & Herbal Store
4.7(15)
Herbal medicine store · JWX6+H2M, Malik Israr Market, Fatehjang Rd
Open ⋅ Closes 9 PM · +92 312 5055224",Herbal medicine store,Open,33.6489697,72.9100582,https://www.google.com/maps/place/Islamic+Herbal+Dawakhana+%26+Herbal+Store/data=!4m7!3m6!1s0x38df97fac7f89eb9:0x9f065bac73bfae9d!8m2!3d33.6489697!4d72.9100582!16s%2Fg%2F12mkzkb93!19sChIJuZ74x_qX3zgRna6_c6xbBp8?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
39,madinatibenabvipansa_33.668341_72.998357,Madina Tib-e-Nabvi Pansar Ghar and Dawakhana,"Madina Tib-e-Nabvi Pansar Ghar and Dawakhana
5.0(19)
Herb shop · Shop No. 11 Ground Floor Al-Ghaffar Mall
Open ⋅ Closes 12 AM · +92 300 7200578",Herb shop,Open,33.6683413,72.9983572,https://www.google.com/maps/place/Madina+Tib-e-Nabvi+Pansar+Ghar+and+Dawakhana/data=!4m7!3m6!1s0x38df956ce30bd8c7:0x99990fe4dc260bab!8m2!3d33.6683413!4d72.9983572!16s%2Fg%2F11nmqmtdbx!19sChIJx9gL42yV3zgRqwsm3OQPmZk?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
40,wasifdawakhanahomeop_33.646034_73.035716,"Wasif Dawakhana,Homeo & Pansar Store","Wasif Dawakhana,Homeo & Pansar Store
4.5(10)
Herbal medicine store · Al-Imran Plaza, Korang Road
Open ⋅ Closes 10:30 PM · +92 300 5353617",Herbal medicine store,Open,33.6460336,73.0357158,"https://www.google.com/maps/place/Wasif+Dawakhana,Homeo+%26+Pansar+Store/data=!4m7!3m6!1s0x38df95a665ddbe41:0x77600a16d196cd8d!8m2!3d33.6460336!4d73.0357158!16s%2Fg%2F12mkw9p_r!19sChIJQb7dZaaV3zgRjc2W0RYKYHc?authuser=0&hl=en&rclk=1","Dawakhan, Islamabad"
41,kashmirpansarstoreda_33.667241_72.997680,Kashmir Pansar Store & Dawakhana(Herbs & Herbal Medicines)(G-11 Branch),"Kashmir Pansar Store & Dawakhana(Herbs & Herbal Medicines)(G-11 Branch)
5.0(5)
Herbal medicine store · Shop#7.Ground Floor,Capital Plaza, opp. Bank Of Punjab
Open ⋅ Closes 10 PM · +92 334 1516011",Herbal medicine store,Open,33.6672406,72.9976801,https://www.google.com/maps/place/Kashmir+Pansar+Store+%26+Dawakhana%28Herbs+%26+Herbal+Medicines%29%28G-11+Branch%29/data=!4m7!3m6!1s0x38dfbf89386c40ed:0x1161d2010c530d75!8m2!3d33.6672406!4d72.9976801!16s%2Fg%2F11rd4hdfjp!19sChIJ7UBsOIm_3zgRdQ1TDAHSYRE?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
42,tibbiunanidawakhana_33.625646_72.970353,Tibbi Unani Dawakhana,"Tibbi Unani Dawakhana
5.0(1)
Pharmacy · Gulshan Plaza, Golra Rd, Golra Mor, H-14
Open ⋅ Closes 8 PM · +92 345 5035930",Pharmacy,Open,33.6256458,72.9703533,https://www.google.com/maps/place/Tibbi+Unani+Dawakhana/data=!4m7!3m6!1s0x38df9660702c890f:0x4bbfa04edb9479a9!8m2!3d33.6256458!4d72.9703533!16s%2Fg%2F12mkz7q_8!19sChIJD4kscGCW3zgRqXmU206gv0s?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
43,islamabaddawakhana_33.638365_73.153157,Islamabad Dawakhana,"Islamabad Dawakhana
5.0(1)
Health consultant · J5Q3+87V, Malik Town Terlai
Open ⋅ Closes 8 PM · +92 343 6565551",Health consultant,Open,33.6383651,73.1531571,https://www.google.com/maps/place/Islamabad+Dawakhana/data=!4m7!3m6!1s0x38dfeb1ef418d361:0x2253bb0c83fa8c18!8m2!3d33.6383651!4d73.1531571!16s%2Fg%2F11h8ryj9y8!19sChIJYdMY9B7r3zgRGIz6gwy7UyI?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
44,hijamacenterubqarish_33.645345_73.176074,hijama center & ubqari shop (agency of Islamabad ) Anas dwakhana and hijama centre,"hijama center & ubqari shop (agency of Islamabad ) Anas dwakhana and hijama centre
4.1(417)
Herbal medicine store ·  · H K، Elahi plaza، Shop 1-2 first floor main، Main Lehtrar Rd
Open ⋅ Closes 8:30 AM Fri · +92 336 0195366",Herbal medicine store,Open,33.6453451,73.1760741,https://www.google.com/maps/place/hijama+center+%26+ubqari+shop+%28agency+of+Islamabad+%29+Anas+dwakhana+and+hijama+centre/data=!4m7!3m6!1s0x38df953bbcdff65f:0x2115ba5776b518bf!8m2!3d33.6453451!4d73.1760741!16s%2Fg%2F11c5j7j4mn!19sChIJX_bfvDuV3zgRvxi1dle6FSE?authuser=0&hl=en&rclk=1,"Dawakhan, Islamabad"
