Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Dialysis Center, Islamabad"
5,islamabaddialysisand_33.643785_73.022968,Islamabad Dialysis and NephroCare Centre (Private) Limited,,Dialysis center,Closes soon,33.6437854,73.022968,https://www.google.com/maps/place/Islamabad+Dialysis+and+NephroCare+Centre+%28Private%29+Limited/data=!4m7!3m6!1s0x38df95f581d273e9:0xb696880d3a6713cb!8m2!3d33.6437854!4d73.022968!16s%2Fg%2F11gcn2f556!19sChIJ6XPSgfWV3zgRyxNnOg2IlrY?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
37,idncislamabaddialysi_33.643781_73.023136,IDNC Islamabad Dialysis & NephroCare Centre,"IDNC Islamabad Dialysis & NephroCare Centre
5.0(93)
Dialysis center ·  · Plot no. 16, Sanitary ware market
Open ⋅ Closes 9 PM · +92 336 5204595",Dialysis center,Open,33.6437809,73.0231362,https://www.google.com/maps/place/IDNC+Islamabad+Dialysis+%26+NephroCare+Centre/data=!4m7!3m6!1s0x38df95001849e8ab:0xbafe72e613b62756!8m2!3d33.6437809!4d73.0231362!16s%2Fg%2F11y3rd3d0_!19sChIJq-hJGACV3zgRVie2E-Zy_ro?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
38,noordialysiscentre_33.631667_72.880021,Noor Dialysis Centre,"Noor Dialysis Centre
4.9(25)
Hospital ·  · F-17 Markaz Islamabad, F-17 Main Rd
Open 24 hours · +92 334 8558515",Hospital,Open 24 hours,33.6316675,72.8800211,https://www.google.com/maps/place/Noor+Dialysis+Centre/data=!4m7!3m6!1s0x38df983dded273c9:0xb195526e6d182248!8m2!3d33.6316675!4d72.8800211!16s%2Fg%2F11f3n6h_9t!19sChIJyXPS3j2Y3zgRSCIYbW5SlbE?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
39,dialysiscenterislama_33.702006_72.967708,"Dialysis Center, Islamabad International Hospital & Research Center","Dialysis Center, Islamabad International Hospital & Research Center
1.0(1)
Dialysis center ·  · PX29+R34 International Hospital & Research Center, Main Double Rd
+92 310 4763326",Dialysis center,,33.7020058,72.9677076,"https://www.google.com/maps/place/Dialysis+Center,+Islamabad+International+Hospital+%26+Research+Center/data=!4m7!3m6!1s0x38dfbd63322fab55:0x82108cc66b2eac56!8m2!3d33.7020058!4d72.9677076!16s%2Fg%2F11q8ybqwqv!19sChIJVasvMmO93zgRVqwua8aMEII?authuser=0&hl=en&rclk=1","Dialysis Center, Islamabad"
40,alkhidmatraazidialys_33.554954_73.143554,Al Khidmat Raazi Dialysis Centre and Nephrology clinic,"Al Khidmat Raazi Dialysis Centre and Nephrology clinic
5.0(2)
Hospital ·  · 779 Street 37
Open ⋅ Closes 4 PM · +92 51 2374911",Hospital,Open,33.5549536,73.1435545,https://www.google.com/maps/place/Al+Khidmat+Raazi+Dialysis+Centre+and+Nephrology+clinic/data=!4m7!3m6!1s0x38dfed8e7b8c38bd:0x76b6dcec95a3d86f!8m2!3d33.5549536!4d73.1435545!16s%2Fg%2F11st5zgnl5!19sChIJvTiMe47t3zgRb9ijlezctnY?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
41,shifamedicaldialysis_33.673547_73.020341,Shifa Medical & Dialysis Center G-10,"Shifa Medical & Dialysis Center G-10
3.8(8)
Hospital ·  · 3rd Road ,G-10/4
Open ⋅ Closes 11 PM · +92 51 2228231",Hospital,Open,33.6735466,73.0203412,https://www.google.com/maps/place/Shifa+Medical+%26+Dialysis+Center+G-10/data=!4m7!3m6!1s0x38dfbe2140000001:0x404dcbe102e06f3a!8m2!3d33.6735466!4d73.0203412!16s%2Fg%2F11cm6nbpc2!19sChIJAQAAQCG-3zgROm_gAuHLTUA?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
42,miankidneycarecentre_33.654673_73.081615,Mian Kidney Care Centre,"Mian Kidney Care Centre
4.6(14)
Hospital ·  · Abdullah Plaza, 2nd Floor, Murree Rd, Ojri Kalan, Shamsabad
Open ⋅ Closes 8 PM · +92 333 5196868",Hospital,Open,33.6546732,73.0816145,https://www.google.com/maps/place/Mian+Kidney+Care+Centre/data=!4m7!3m6!1s0x38df953159322da7:0x1e1dde88bed6b20d!8m2!3d33.6546732!4d73.0816145!16s%2Fg%2F1jkxpmrpf!19sChIJpy0yWTGV3zgRDbLWvojeHR4?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
43,riphahinternationalh_33.538671_73.185999,Riphah international hospiatal dialysis centre,"Riphah international hospiatal dialysis centre
4.0(2)
Dialysis center ·  · G5QP+F99
Open ⋅ Closes 8 PM · +92 341 3945627",Dialysis center,Open,33.5386707,73.185999,https://www.google.com/maps/place/Riphah+international+hospiatal+dialysis+centre/data=!4m7!3m6!1s0x38dfef4a519a7f61:0x614a7b43ae950aa9!8m2!3d33.5386707!4d73.185999!16s%2Fg%2F11l6ksdr95!19sChIJYX-aUUrv3zgRqQqVrkN7SmE?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
44,rehmandialysiscentre_33.711330_73.094812,Rehman Dialysis Centre,"Rehman Dialysis Centre
5.0(1)
Dialysis center ·  · P36V+GWM, Street 67",Dialysis center,,33.7113303,73.094812,https://www.google.com/maps/place/Rehman+Dialysis+Centre/data=!4m7!3m6!1s0x38dfc100085af215:0xe6adae869af66d9e!8m2!3d33.7113303!4d73.094812!16s%2Fg%2F11v_22w1hp!19sChIJFfJaCADB3zgRnm32moaureY?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
45,dialysisunitpims_33.704373_73.052006,Dialysis Unit PIMS,"Dialysis Unit PIMS
1.0(2)
Dialysis center ·  · P332+PRR, Pims Rd
Open 24 hours · +92 321 5216341",Dialysis center,Open 24 hours,33.7043726,73.0520063,https://www.google.com/maps/place/Dialysis+Unit+PIMS/data=!4m7!3m6!1s0x38dfbf007109d003:0xb187125a5e838e6!8m2!3d33.7043726!4d73.0520063!16s%2Fg%2F11vykr45ft!19sChIJA9AJcQC_3zgR5jjopSVxGAs?authuser=0&hl=en&rclk=1,"Dialysis Center, Islamabad"
