Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Dispan(sary), Islamabad"
5,bahriadispansory_33.501311_73.113044,Bahria Dispansory,,Hospital department,Open,33.5013106,73.1130441,https://www.google.com/maps/place/Bahria+Dispansory/data=!4m7!3m6!1s0x38dff38e38407865:0x96ea20f41c8383ca!8m2!3d33.5013106!4d73.1130441!16s%2Fg%2F11fghvmb49!19sChIJZXhAOI7z3zgRyoODHPQg6pY?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
37,abbasipansarstore_33.707834_73.088275,Abbasi Pansar Store,"Abbasi Pansar Store
4.4(31)
Herbal medicine store · Unit 685, 3
Open ⋅ Closes 10:30 PM · +92 334 5252125",Herbal medicine store,Open,33.7078343,73.0882751,https://www.google.com/maps/place/Abbasi+Pansar+Store/data=!4m7!3m6!1s0x38dfc0757a572d31:0x68b28e8e47b10c97!8m2!3d33.7078343!4d73.0882751!16s%2Fg%2F12mkz7nbw!19sChIJMS1XenXA3zgRlwyxR46Osmg?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
38,federalgovernmentdis_33.711597_73.070602,Federal Government Dispensary - Civil Surgeon Dispensary G-7/3-4 Near Al-Habib Market,"Federal Government Dispensary - Civil Surgeon Dispensary G-7/3-4 Near Al-Habib Market
3.3(19)
Hospital ·  · P36C+J6Q
Closes soon ⋅ 2:30 PM ⋅ Opens 8:30 AM Fri · +92 51 9252470",Hospital,Closes soon,33.711597,73.0706021,https://www.google.com/maps/place/Federal+Government+Dispensary+-+Civil+Surgeon+Dispensary+G-7%2F3-4+Near+Al-Habib+Market/data=!4m7!3m6!1s0x38dfbf972f976319:0x7852c0b3e57fe9ea!8m2!3d33.711597!4d73.0706021!16s%2Fg%2F1v3hybx0!19sChIJGWOXL5e_3zgR6ul_5bPAUng?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
39,muslimpansarstore_33.620159_73.141308,Muslim Pansar Store /مسلم پنسار سٹور,"Muslim Pansar Store /مسلم پنسار سٹور
4.0(16)
Herbal medicine store · Ghori Town Rd
Open ⋅ Closes 10:30 PM · +92 300 2130344",Herbal medicine store,Open,33.6201592,73.1413083,https://www.google.com/maps/place/Muslim+Pansar+Store+%2F%D9%85%D8%B3%D9%84%D9%85+%D9%BE%D9%86%D8%B3%D8%A7%D8%B1+%D8%B3%D9%B9%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x38dfeb9be3810f9d:0x51c69d1b40d3bb0e!8m2!3d33.6201592!4d73.1413083!16s%2Fg%2F11gczrzcg6!19sChIJnQ-B45vr3zgRDrvTQBudxlE?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
40,gitwelfairdispansary_33.568759_73.002037,GIT Welfair Dispansary,"GIT Welfair Dispansary
1.0(1)
Medical clinic · H292+GR3, Girja Rd
+92 313 5322615",Medical clinic,,33.5687587,73.0020371,https://www.google.com/maps/place/GIT+Welfair+Dispansary/data=!4m7!3m6!1s0x38df93e42b65d4ed:0xe5bebd478da5e611!8m2!3d33.5687587!4d73.0020371!16s%2Fg%2F11f0kx_ytr!19sChIJ7dRlK-ST3zgREealjUe9vuU?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
41,fruitandvegetablemar_33.637675_73.030079,"Fruit and Vegetable Market, Grocery Store, Grain Market, Sabzi Mandi and Ghalla Mandi, Islamabad Rawalpindi Home Delivery","Fruit and Vegetable Market, Grocery Store, Grain Market, Sabzi Mandi and Ghalla Mandi, Islamabad Rawalpindi Home Delivery
4.2(2,349)
Fruit and vegetable wholesaler ·  · J2QH+7FX Pakistan Trading Company, Sabzi Mandi Rd
Open 24 hours · +92 330 2000946",Fruit and vegetable wholesaler,Open 24 hours,33.6376754,73.0300788,"https://www.google.com/maps/place/Fruit+and+Vegetable+Market,+Grocery+Store,+Grain+Market,+Sabzi+Mandi+and+Ghalla+Mandi,+Islamabad+Rawalpindi+Home+Delivery/data=!4m7!3m6!1s0x38df957e74665591:0x53adf410405ed586!8m2!3d33.6376754!4d73.0300788!16s%2Fg%2F11j79nnhdw!19sChIJkVVmdH6V3zgRhtVeQBD0rVM?authuser=0&hl=en&rclk=1","Dispan(sary), Islamabad"
42,islamabadsanitarysto_33.687918_73.049329,Islamabad Sanitary Store,"Islamabad Sanitary Store
4.1(79)
Bathroom supply store · I&T Centre Plot 78,Shop#01, Street 14
Open ⋅ Closes 8 PM · +92 51 2252670",Bathroom supply store,Open,33.6879184,73.0493285,https://www.google.com/maps/place/Islamabad+Sanitary+Store/data=!4m7!3m6!1s0x38dfbfd1caafd235:0x133ced8a4b944820!8m2!3d33.6879184!4d73.0493285!16s%2Fg%2F12mkzjj8y!19sChIJNdKvytG_3zgRIEiUS4rtPBM?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
43,kashmirpansarstoreda_33.689860_73.031854,Kashmir Pansar Store & Dawakhana(Herbs & Herbal Medicines)(G-9 Markaz),"Kashmir Pansar Store & Dawakhana(Herbs & Herbal Medicines)(G-9 Markaz)
5.0(31)
Herbal medicine store ·  · karachi company، Shop # 5-6, Kalar Syedan plaza, Rohtas Rd
Open ⋅ Closes 9 PM · +92 51 2250217",Herbal medicine store,Open,33.6898604,73.031854,https://www.google.com/maps/place/Kashmir+Pansar+Store+%26+Dawakhana%28Herbs+%26+Herbal+Medicines%29%28G-9+Markaz%29/data=!4m7!3m6!1s0x38dfbe30557ac387:0x6621e841666636ab!8m2!3d33.6898604!4d73.031854!16s%2Fg%2F1tdlsnj5!19sChIJh8N6VTC-3zgRqzZmZkHoIWY?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
44,civildispansary_30.632633_72.268359,Civil Dispansary,"Civil Dispansary
No reviews
Medical Center",Medical Center,,30.6326328,72.2683588,https://www.google.com/maps/place/Civil+Dispansary/data=!4m7!3m6!1s0x392346ee48e42dc7:0xa18a3b7c642dd61b!8m2!3d30.6326328!4d72.2683588!16s%2Fg%2F1tff1f8n!19sChIJxy3kSO5GIzkRG9YtZHw7iqE?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
45,pansarstore_33.689495_73.033188,pansar store,"pansar store
4.3(3)
Auto parts store · Office # 34, B-14, Near P.S.O Pump, Bewal Market
Open now · +92 301 8393212",Auto parts store,Open now,33.689495,73.0331883,https://www.google.com/maps/place/pansar+store/data=!4m7!3m6!1s0x38dfbf1ce5c7c0c1:0x5603255206a33c00!8m2!3d33.689495!4d73.0331883!16s%2Fg%2F11rxm7cpgk!19sChIJwcDH5Ry_3zgRADyjBlIlA1Y?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
46,dispservice_33.632098_72.922635,DISP SERVICE,"DISP SERVICE
No reviews
First aid station
+92 347 0715533",First aid station,,33.6320984,72.9226353,https://www.google.com/maps/place/DISP+SERVICE/data=!4m7!3m6!1s0x8704e10c656e9565:0x3e654d9594625f74!8m2!3d33.6320984!4d72.9226353!16s%2Fg%2F11vrynghfx!19sChIJZZVuZQzhBIcRdF9ilJVNZT4?authuser=0&hl=en&rclk=1,"Dispan(sary), Islamabad"
