Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Dr, Islamabad"
5,drajmalosmanfatimacl_33.688607_73.013056,Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi,,Hospital,Open,33.6886072,73.013056,https://www.google.com/maps/place/Dr.+Ajmal+Osman+%7C+Fatima+Clinic+F-10+%7C+Top%2FBest+%28No.1%29+Specialist+of+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38dfbe1693dca1a1:0x4d05249fbcd133d5!8m2!3d33.6886072!4d73.013056!16s%2Fg%2F11fxx64hvf!19sChIJoaHckxa-3zgR1TPRvJ8kBU0?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
37,islamabadspecialistc_33.696991_73.051271,Islamabad Specialist Clinic G-8 Markaz Islamabad,"Islamabad Specialist Clinic G-8 Markaz Islamabad
4.9(109)
Doctor ·  · G, 8 Markaz Rd
Open ⋅ Closes 9 PM · +92 343 0000433",Doctor,Open,33.6969906,73.0512707,https://www.google.com/maps/place/Islamabad+Specialist+Clinic+G-8+Markaz+Islamabad/data=!4m7!3m6!1s0x38dfbf6482f6aa81:0xae209a86fda47a8b!8m2!3d33.6969906!4d73.0512707!16s%2Fg%2F11hf72mc2q!19sChIJgar2gmS_3zgRi3qk_YaaIK4?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
38,islamabadspecialists_33.711194_73.041715,Islamabad Specialists Clinic F8,"Islamabad Specialists Clinic F8
3.7(70)
Doctor ·  · Kiran Plaza، 13-B Kohistan Rd
Open ⋅ Closes 10 PM · +92 343 0000433",Doctor,Open,33.7111944,73.0417154,https://www.google.com/maps/place/Islamabad+Specialists+Clinic+F8/data=!4m7!3m6!1s0x38dfbfad4708d48d:0x941929274b3a9944!8m2!3d33.7111944!4d73.0417154!16s%2Fg%2F11xmdm97h!19sChIJjdQIR62_3zgRRJk6SycpGZQ?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
39,drmuneebullahgeneral_33.697480_73.011910,Dr. Muneeb Ullah (General & Laparoscopic Surgeon),"Dr. Muneeb Ullah (General & Laparoscopic Surgeon)
5.0(283)
Surgeon ·  · MAROOF International Hospital
Open ⋅ Closes 6 PM · +92 334 5215334",Surgeon,Open,33.6974802,73.0119105,https://www.google.com/maps/place/Dr.+Muneeb+Ullah+%28General+%26+Laparoscopic+Surgeon%29/data=!4m7!3m6!1s0x38dfbfaa337786c1:0x19a9a794755a8550!8m2!3d33.6974802!4d73.0119105!16s%2Fg%2F11rxldc4bn!19sChIJwYZ3M6q_3zgRUIVadZSnqRk?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
40,professordoctorraufn_33.694265_73.012907,Professor Doctor Rauf Niazi Clinic,"Professor Doctor Rauf Niazi Clinic
4.4(172)
Doctor ·  · Office 9, 10, Unit 1Q, Al mustafa mansion, Qadeer City Centre, near tanti optics
Opens soon ⋅ 2:30 PM · +92 51 2299466",Doctor,Opens soon,33.6942649,73.0129074,https://www.google.com/maps/place/Professor+Doctor+Rauf+Niazi+Clinic/data=!4m7!3m6!1s0x38dfbe14cf687c3b:0xa24761ba024b343d!8m2!3d33.6942649!4d73.0129074!16s%2Fg%2F12mkw8lby!19sChIJO3xozxS-3zgRPTRLArphR6I?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
41,drfaisalmurad_33.692392_72.995464,Dr. Faisal Murad,"Dr. Faisal Murad
5.0(163)
Surgeon ·  · F, 10 Street 10
Open ⋅ Closes 7 PM · +92 333 5103148",Surgeon,Open,33.6923922,72.9954642,https://www.google.com/maps/place/Dr.+Faisal+Murad/data=!4m7!3m6!1s0x38dfbf428ac25e57:0xde74481f24712666!8m2!3d33.6923922!4d72.9954642!16s%2Fg%2F11ttb471my!19sChIJV17CikK_3zgRZiZxJB9IdN4?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
42,dryassermasoodchildn_33.674264_73.065600,"Dr Yasser Masood , Child & Newborn Specialist Islamabad","Dr Yasser Masood , Child & Newborn Specialist Islamabad
4.8(139)
Pediatrician ·  · Shifa International Hospital, Pitras Bukhari Rd
Open ⋅ Closes 5 PM · +92 51 8463256",Pediatrician,Open,33.674264,73.0655997,"https://www.google.com/maps/place/Dr+Yasser+Masood+,+Child+%26+Newborn+Specialist+Islamabad/data=!4m7!3m6!1s0x38dfbf7bf1303ecf:0x8746b8e24d7e48c8!8m2!3d33.674264!4d73.0655997!16s%2Fg%2F11lgg4kqhh!19sChIJzz4w8Xu_3zgRyEh-TeK4Roc?authuser=0&hl=en&rclk=1","Dr, Islamabad"
43,drjunaidshahzadentsp_33.698028_73.048982,Dr Junaid Shahzad | ENT specialist in Islamabad | Rhinoplasty | Sinus Surgery | Ear cleaning,"Dr Junaid Shahzad | ENT specialist in Islamabad | Rhinoplasty | Sinus Surgery | Ear cleaning
4.8(484)
Otolaryngologist ·  · Ground floor, M3W2+M2M JSK ENT clinic, Executive complex
Open ⋅ Closes 5 PM · +92 314 5325939",Otolaryngologist,Open,33.6980278,73.0489821,https://www.google.com/maps/place/Dr+Junaid+Shahzad+%7C+ENT+specialist+in+Islamabad+%7C+Rhinoplasty+%7C+Sinus+Surgery+%7C+Ear+cleaning/data=!4m7!3m6!1s0x38dfbf4880f6d677:0x8163e5273208931b!8m2!3d33.6980278!4d73.0489821!16s%2Fg%2F11fmz8vlr6!19sChIJd9b2gEi_3zgRG5MIMiflY4E?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
44,sexologistinislamaba_33.669058_73.000499,"Sexologist in Islamabad, Dr. Zain Ali","Sexologist in Islamabad, Dr. Zain Ali
4.6(90)
Sexologist · Noor General Hospital. Ground floor, Al-Rehman Plaza, near Shaheen Grocers & Chemist
Closed ⋅ Opens 7 PM · +92 335 7555700",Sexologist,Closed,33.669058,73.0004992,"https://www.google.com/maps/place/Sexologist+in+Islamabad,+Dr.+Zain+Ali/data=!4m7!3m6!1s0x38df95bb48924767:0xc0eab6657ce081d0!8m2!3d33.669058!4d73.0004992!16s%2Fg%2F11r6ckckp5!19sChIJZ0eSSLuV3zgR0IHgfGW26sA?authuser=0&hl=en&rclk=1","Dr, Islamabad"
45,drsyedwazahattaqvisp_33.714165_73.040212,Dr. Syed Wazahat Taqvi ( Spinal and Orthopedic surgeon),"Dr. Syed Wazahat Taqvi ( Spinal and Orthopedic surgeon)
5.0(96)
Orthopedic clinic ·  · Ali Medical center, Islamabad specialist clinic
Open ⋅ Closes 7 PM · +92 331 8825552",Orthopedic clinic,Open,33.7141645,73.040212,https://www.google.com/maps/place/Dr.+Syed+Wazahat+Taqvi+%28+Spinal+and+Orthopedic+surgeon%29/data=!4m7!3m6!1s0x38dfbfb5671069d9:0x6e1f60899a3f4849!8m2!3d33.7141645!4d73.040212!16s%2Fg%2F11rd_8m28y!19sChIJ2WkQZ7W_3zgRSUg_molgH24?authuser=0&hl=en&rclk=1,"Dr, Islamabad"
46,drfaryalmehmoodendoc_33.711155_73.041480,"Dr Faryal Mehmood – Endocrinologist, Diabetes Specialist in Islamabad (F8 Clinic)","Dr Faryal Mehmood – Endocrinologist, Diabetes Specialist in Islamabad (F8 Clinic)
3.8(56)
Doctor ·  · Kiran Plaza
Open ⋅ Closes 10 PM · +92 333 0926083",Doctor,Open,33.711155,73.0414798,"https://www.google.com/maps/place/Dr+Faryal+Mehmood+%E2%80%93+Endocrinologist,+Diabetes+Specialist+in+Islamabad+%28F8+Clinic%29/data=!4m7!3m6!1s0x38dfbf96e93f80af:0xd4c78634630208cf!8m2!3d33.711155!4d73.0414798!16s%2Fg%2F11h37rgrvk!19sChIJr4A_6Za_3zgRzwgCYzSGx9Q?authuser=0&hl=en&rclk=1","Dr, Islamabad"
