Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Emergency Room, Islamabad"
5,mainemergencypims_33.703708_73.051527,"Main Emergency, PIMS",,Hospital,Open 24 hours,33.7037084,73.0515267,"https://www.google.com/maps/place/Main+Emergency,+PIMS/data=!4m7!3m6!1s0x38dfbfb76e8e0f3d:0x77990a0e1289f1c5!8m2!3d33.7037084!4d73.0515267!16s%2Fg%2F11dzd1q0kw!19sChIJPQ-Obre_3zgRxfGJEg4KmXc?authuser=0&hl=en&rclk=1","Emergency Room, Islamabad"
37,accidentemergencythe_33.704435_73.054630,"Accident & Emergency, The Children's Hospital, PIMS, Islamabad.","Accident & Emergency, The Children's Hospital, PIMS, Islamabad.
3.1(9)
Emergency room ·  · 3 Ibn-e-Sina Rd
Open 24 hours · +92 51 90715517",Emergency room,Open 24 hours,33.7044347,73.0546304,"https://www.google.com/maps/place/Accident+%26+Emergency,+The+Children%27s+Hospital,+PIMS,+Islamabad./data=!4m7!3m6!1s0x38dfbfabb83bd1d9:0xd74ef4479ba541d3!8m2!3d33.7044347!4d73.0546304!16s%2Fg%2F11gy6nk64l!19sChIJ2dE7uKu_3zgR00Glm0f0Ttc?authuser=0&hl=en&rclk=1","Emergency Room, Islamabad"
38,pimshospitalislamaba_33.703334_73.052352,PIMS Hospital Islamabad,"PIMS Hospital Islamabad
3.9(818)
Government hospital ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Government hospital,Open 24 hours,33.7033339,73.0523516,https://www.google.com/maps/place/PIMS+Hospital+Islamabad/data=!4m7!3m6!1s0x38df950787a46b87:0x38d56dc761e05e4f!8m2!3d33.7033339!4d73.0523516!16s%2Fg%2F11r6fwws34!19sChIJh2ukhweV3zgRT17gYcdt1Tg?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
39,advancedinternationa_33.696577_73.050456,Advanced International Hospital Islamabad,"Advanced International Hospital Islamabad
4.5(591)
Hospital ·  · 12-2G Markaz Rd
Open 24 hours · +92 51 111 786 005",Hospital,Open 24 hours,33.6965775,73.0504561,https://www.google.com/maps/place/Advanced+International+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf8a6764276f:0xdbb21f59afe3a45b!8m2!3d33.6965775!4d73.0504561!16s%2Fg%2F11hnbz_9lk!19sChIJbydkZ4q_3zgRW6Tjr1kfsts?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
40,graceinternationalho_33.663460_72.887963,Grace International Hospital Islamabad,"Grace International Hospital Islamabad
2.8(46)
Emergency care service · 
Open 24 hours · +92 301 5710777",Emergency care service,Open 24 hours,33.6634596,72.8879628,https://www.google.com/maps/place/Grace+International+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfa3e8224f80f1:0x89bea84f88237fda!8m2!3d33.6634596!4d72.8879628!16s%2Fg%2F11lg2nf5v3!19sChIJ8YBPIuij3zgR2n8jiE-ovok?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
41,shifainternationalho_33.675015_73.066009,Shifa International Hospitals Limited,"Shifa International Hospitals Limited
3.4(2,453)
Hospital ·  · 4 Pitras Bukhari Rd
Open 24 hours · +92 51 8464646",Hospital,Open 24 hours,33.6750148,73.0660089,https://www.google.com/maps/place/Shifa+International+Hospitals+Limited/data=!4m7!3m6!1s0x38df955e641b11dd:0xa273b768a51a9c54!8m2!3d33.6750148!4d73.0660089!16s%2Fm%2F03c3g4_!19sChIJ3REbZF6V3zgRVJwapWi3c6I?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
42,paecgeneralhospitali_33.652561_73.016503,"PAEC General Hospital,Islamabad","PAEC General Hospital,Islamabad
3.7(349)
Hospital ·  · PAEC GENERAL HOSPITAL
Open 24 hours · +92 51 92571716",Hospital,Open 24 hours,33.6525608,73.016503,"https://www.google.com/maps/place/PAEC+General+Hospital,Islamabad/data=!4m7!3m6!1s0x38df95c01daa1a0b:0x63574e8b75b77ed1!8m2!3d33.6525608!4d73.016503!16s%2Fg%2F1tmpc9k8!19sChIJCxqqHcCV3zgR0X63dYtOV2M?authuser=0&hl=en&rclk=1","Emergency Room, Islamabad"
43,emergencyunit_33.675270_73.067472,Emergency Unit,"Emergency Unit
No reviews
Emergency room ·  · 4 Pitras Bukhari Rd",Emergency room,,33.6752697,73.0674723,https://www.google.com/maps/place/Emergency+Unit/data=!4m7!3m6!1s0x38df95005785272d:0x4ab87483f1ddfe15!8m2!3d33.6752697!4d73.0674723!16s%2Fg%2F11vwpky099!19sChIJLSeFVwCV3zgRFf7d8YN0uEo?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
44,emergency_33.552231_73.095469,Emergency,"Emergency
3.0(1)
Emergency room ·  · H33W+34J
Open 24 hours · +92 51 5788150",Emergency room,Open 24 hours,33.552231,73.0954689,https://www.google.com/maps/place/Emergency/data=!4m7!3m6!1s0x38dfed0071cac645:0x8d50547581ad3e31!8m2!3d33.552231!4d73.0954689!16s%2Fg%2F11wwf436hj!19sChIJRcbKcQDt3zgRMT6tgXVUUI0?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
45,alimedicalcenteremer_33.710320_73.042077,Ali Medical Center Emergency,"Ali Medical Center Emergency
5.0(7)
Emergency care service ·  · P26R+4RG
Open 24 hours · +92 346 5221818",Emergency care service,Open 24 hours,33.7103198,73.042077,https://www.google.com/maps/place/Ali+Medical+Center+Emergency/data=!4m7!3m6!1s0x38dfbfad67828aa3:0xa3b2dfd6772ccbc6!8m2!3d33.7103198!4d73.042077!16s%2Fg%2F11f0x1ysrv!19sChIJo4qCZ62_3zgRxsssd9bfsqM?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
46,newemergencypims_33.704321_73.050585,New Emergency PIMS,"New Emergency PIMS
4.4(10)
Emergency care service ·  · P332+P6G
Open 24 hours",Emergency care service,Open 24 hours,33.7043214,73.0505848,https://www.google.com/maps/place/New+Emergency+PIMS/data=!4m7!3m6!1s0x38dfbfb73e3d4f93:0x94ef4b54eb32d95!8m2!3d33.7043214!4d73.0505848!16s%2Fg%2F11c2qrm_yz!19sChIJk089Pre_3zgRlS2zTrX0Tgk?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
47,pafhospitalislamabad_33.708229_73.015313,PAF Hospital Islamabad,"PAF Hospital Islamabad
3.7(690)
Hospital ·  · Main Margalla Rd
Open 24 hours · +92 51 9564000",Hospital,Open 24 hours,33.708229,73.015313,https://www.google.com/maps/place/PAF+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf22bfada2c1:0xa4d9acbf9789555b!8m2!3d33.708229!4d73.015313!16s%2Fg%2F11gmgd5zhy!19sChIJwaKtvyK_3zgRW1WJl7-s2aQ?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
48,paechospitalemergenc_33.652656_73.016485,PAEC Hospital Emergency,"PAEC Hospital Emergency
4.0(1)
Emergency care physician ·  · 4",Emergency care physician,,33.6526555,73.0164853,https://www.google.com/maps/place/PAEC+Hospital+Emergency/data=!4m7!3m6!1s0x38df95d975a0704b:0x304e4a0ab18d72ac!8m2!3d33.6526555!4d73.0164853!16s%2Fg%2F11h9h0p12z!19sChIJS3CgddmV3zgRrHKNsQpKTjA?authuser=0&hl=en&rclk=1,"Emergency Room, Islamabad"
