Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Homeo, Islamabad"
5,islamabadhomeopathic_33.643215_73.041351,Islamabad Homeopathic Clinic Dr Ata ur Rehman,,Homeopath,Open,33.6432155,73.0413513,https://www.google.com/maps/place/Islamabad+Homeopathic+Clinic+Dr+Ata+ur+Rehman/data=!4m7!3m6!1s0x38df95a28481ff05:0x4f837df7d5cfb850!8m2!3d33.6432155!4d73.0413513!16s%2Fg%2F11h6rrlxmj!19sChIJBf-BhKKV3zgRULjP1fd9g08?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
37,islamabadhomeo_33.668420_72.998312,Islamabad homeo,"Islamabad homeo
4.8(38)
Medical Center · Al Ghaffar Mall Shop#9 Ground floor
Open ⋅ Closes 10 PM · +92 300 5178485",Medical Center,Open,33.6684198,72.9983121,https://www.google.com/maps/place/Islamabad+homeo/data=!4m7!3m6!1s0x38df9564e8def301:0x305672d7fc754b1c!8m2!3d33.6684198!4d72.9983121!16s%2Fg%2F11q84lxh20!19sChIJAfPe6GSV3zgRHEt1_NdyVjA?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
38,homoeofamilyclinicdr_33.686088_73.045201,Homoeo Family Clinic (Dr Abdul Hameed),"Homoeo Family Clinic (Dr Abdul Hameed)
4.2(47)
Medical clinic ·  · Plot 3, Shop 1 & 2 Street 55, Peshawar Mor Interchange
Open ⋅ Closes 10 PM · +92 51 2282856",Medical clinic,Open,33.6860876,73.0452013,https://www.google.com/maps/place/Homoeo+Family+Clinic+%28Dr+Abdul+Hameed%29/data=!4m7!3m6!1s0x38dfbfd23521b437:0x7578fb4afe48b9c5!8m2!3d33.6860876!4d73.0452013!16s%2Fg%2F12mkzhz2h!19sChIJN7QhNdK_3zgRxblI_kr7eHU?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
39,hanifhomoeoclinichom_33.666817_73.074377,Hanif Homoeo Clinic(Homeopathic Dr Hanif Mughal),"Hanif Homoeo Clinic(Homeopathic Dr Hanif Mughal)
4.8(20)
Homeopath ·  · Dr Hanif Mughal,Vip plaza ,first floor office no First
Open ⋅ Closes 5 PM · +92 51 8735530",Homeopath,Open,33.6668172,73.0743768,https://www.google.com/maps/place/Hanif+Homoeo+Clinic%28Homeopathic+Dr+Hanif+Mughal%29/data=!4m7!3m6!1s0x38df9545efd36cbd:0xab014d2856b950c9!8m2!3d33.6668172!4d73.0743768!16s%2Fg%2F11bzs1zf60!19sChIJvWzT70WV3zgRyVC5VihNAas?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
40,alrehmanhomeopathicc_33.571557_73.145494,Al-Rehman Homeopathic Clinic & Store (Dr Muhammad Tahir Khan),"Al-Rehman Homeopathic Clinic & Store (Dr Muhammad Tahir Khan)
4.9(11)
Homeopath · 15 Central Rd, PWD Housing Society
Open ⋅ Closes 10 PM · +92 333 5605689",Homeopath,Open,33.5715572,73.1454942,https://www.google.com/maps/place/Al-Rehman+Homeopathic+Clinic+%26+Store+%28Dr+Muhammad+Tahir+Khan%29/data=!4m7!3m6!1s0x38dfede5fa89752f:0xc7107df6cb7c0cb5!8m2!3d33.5715572!4d73.1454942!16s%2Fg%2F11rwq6r731!19sChIJL3WJ-uXt3zgRtQx8y_Z9EMc?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
41,familyhomeomedicarec_33.535727_73.112971,Family Homeo Medicare Clinic,"Family Homeo Medicare Clinic
5.0(1)
Homeopath · Shop No Lg 12 Emirates Shoppers Paradise Mall Street 12 walayat complex Shop no Lg12 Bahria Town Phase 7
Open ⋅ Closes 9 PM · +92 300 9784951",Homeopath,Open,33.5357273,73.1129712,https://www.google.com/maps/place/Family+Homeo+Medicare+Clinic/data=!4m7!3m6!1s0x38dfed0f5ce54f2b:0x2a135af481d852bd!8m2!3d33.5357273!4d73.1129712!16s%2Fg%2F11fr5q3zmh!19sChIJK0_lXA_t3zgRvVLYgfRaEyo?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
42,holistichomeopathycl_33.518445_73.085898,Holistic Homeopathy Clinic,"Holistic Homeopathy Clinic
4.8(101)
Homeopath · Shop # 3, Ground Floor, Plaza no. 99, Spring North Commercial Business Bay, Phase 7, Bahria Town Phase 7
Closes soon ⋅ 3 PM ⋅ Opens 12 PM Sat · +92 333 5815853",Homeopath,Closes soon,33.5184448,73.0858976,https://www.google.com/maps/place/Holistic+Homeopathy+Clinic/data=!4m7!3m6!1s0x38dfedabbc41221d:0x385d0cdaaff7fe54!8m2!3d33.5184448!4d73.0858976!16s%2Fg%2F11sbfbd_hz!19sChIJHSJBvKvt3zgRVP73r9oMXTg?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
43,almustafahomeopathic_33.644029_72.975579,Al Mustafa Homeopathic Clinic,"Al Mustafa Homeopathic Clinic
4.7(7)
Homeopath ·  · Malik Haroon Street Opposite NUST University Gate # 2, Sector H-13, Sahara Kashmir Rd
Open ⋅ Closes 4 PM · +92 322 6304050",Homeopath,Open,33.6440289,72.9755788,https://www.google.com/maps/place/Al+Mustafa+Homeopathic+Clinic/data=!4m7!3m6!1s0x38dfbe2e3b3e924b:0x1822ac209e5b8d7c!8m2!3d33.6440289!4d72.9755788!16s%2Fg%2F11gbsns0lt!19sChIJS5I-Oy6-3zgRfI1bniCsIhg?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
44,iqbalhomeopathicclin_33.689265_73.032860,Iqbal Homeopathic Clinic & Store,"Iqbal Homeopathic Clinic & Store
3.9(36)
Homeopathic pharmacy · Doctor Plaza
Open ⋅ Closes 10 PM · +92 51 2255914",Homeopathic pharmacy,Open,33.6892648,73.0328595,https://www.google.com/maps/place/Iqbal+Homeopathic+Clinic+%26+Store/data=!4m7!3m6!1s0x38dfbe31a3cafaed:0x68461120b7c6eb86!8m2!3d33.6892648!4d73.0328595!16s%2Fg%2F12mkzjns0!19sChIJ7frKozG-3zgRhuvGtyARRmg?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
45,rahmanhomeopathiccli_33.682490_73.009145,Rahman Homeopathic Clinic,"Rahman Homeopathic Clinic
5.0(44)
Medical clinic · House # 440-F, Street 9
Closed ⋅ Opens 6 PM · +92 300 5588818",Medical clinic,Closed,33.6824903,73.0091446,https://www.google.com/maps/place/Rahman+Homeopathic+Clinic/data=!4m7!3m6!1s0x38dfbe36f60deaf1:0x18ceb018c8164386!8m2!3d33.6824903!4d73.0091446!16s%2Fg%2F11c5qmydcn!19sChIJ8eoN9ja-3zgRhkMWyBiwzhg?authuser=0&hl=en&rclk=1,"Homeo, Islamabad"
