Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Hospital, Islamabad"
5,amanateyehospitalraw_33.587252_73.066364,Amanat Eye Hospital Rawalpindi,,Eye care center,Open,33.5872518,73.0663637,https://www.google.com/maps/place/Amanat+Eye+Hospital+Rawalpindi/data=!4m7!3m6!1s0x38df935dc4333d53:0xa7d989ebc4727fe!8m2!3d33.5872518!4d73.0663637!16s%2Fg%2F1tf060yh!19sChIJUz0zxF2T3zgR_idHvJ6YfQo?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
37,advancedinternationa_33.696577_73.050456,Advanced International Hospital Islamabad,"Advanced International Hospital Islamabad
4.5(591)
Hospital ·  · 12-2G Markaz Rd
Open 24 hours · +92 51 111 786 005",Hospital,Open 24 hours,33.6965775,73.0504561,https://www.google.com/maps/place/Advanced+International+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf8a6764276f:0xdbb21f59afe3a45b!8m2!3d33.6965775!4d73.0504561!16s%2Fg%2F11hnbz_9lk!19sChIJbydkZ4q_3zgRW6Tjr1kfsts?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
38,islamabadinternation_33.702019_72.967700,Islamabad International Hospital & Research Center (IIHRC),"Islamabad International Hospital & Research Center (IIHRC)
4.2(301)
Hospital ·  · 2 Main Double Rd
Open 24 hours · +92 51 2304941",Hospital,Open 24 hours,33.7020189,72.9676998,https://www.google.com/maps/place/Islamabad+International+Hospital+%26+Research+Center+%28IIHRC%29/data=!4m7!3m6!1s0x38dfbdb7b33ca017:0xc4f40d2ce1e0e985!8m2!3d33.7020189!4d72.9676998!16s%2Fg%2F11gf8hs6jv!19sChIJF6A8s7e93zgRheng4SwN9MQ?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
39,pimshospitalislamaba_33.703334_73.052352,PIMS Hospital Islamabad,"PIMS Hospital Islamabad
3.9(818)
Government hospital ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Government hospital,Open 24 hours,33.7033339,73.0523516,https://www.google.com/maps/place/PIMS+Hospital+Islamabad/data=!4m7!3m6!1s0x38df950787a46b87:0x38d56dc761e05e4f!8m2!3d33.7033339!4d73.0523516!16s%2Fg%2F11r6fwws34!19sChIJh2ukhweV3zgRT17gYcdt1Tg?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
40,shifainternationalho_33.675015_73.066009,Shifa International Hospitals Limited,"Shifa International Hospitals Limited
3.4(2,453)
Hospital ·  · 4 Pitras Bukhari Rd
Open 24 hours · +92 51 8464646",Hospital,Open 24 hours,33.6750148,73.0660089,https://www.google.com/maps/place/Shifa+International+Hospitals+Limited/data=!4m7!3m6!1s0x38df955e641b11dd:0xa273b768a51a9c54!8m2!3d33.6750148!4d73.0660089!16s%2Fm%2F03c3g4_!19sChIJ3REbZF6V3zgRVJwapWi3c6I?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
41,maroofinternationalh_33.697460_73.011651,Maroof International Hospital,"Maroof International Hospital
3.2(807)
General hospital ·  · Service Rd E, F-10 Markaz F 10/3 F-10, 04412
Open 24 hours · +92 51 111 644 911",General hospital,Open 24 hours,33.6974597,73.0116512,https://www.google.com/maps/place/Maroof+International+Hospital/data=!4m7!3m6!1s0x38dfbe6b77fc7279:0x855a61d1ef5e9def!8m2!3d33.6974597!4d73.0116512!16s%2Fg%2F1hdzv62pm!19sChIJeXL8d2u-3zgR751e79FhWoU?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
42,pafhospitalislamabad_33.708229_73.015313,PAF Hospital Islamabad,"PAF Hospital Islamabad
3.7(690)
Hospital ·  · Main Margalla Rd
Open 24 hours · +92 51 9564000",Hospital,Open 24 hours,33.708229,73.015313,https://www.google.com/maps/place/PAF+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbf22bfada2c1:0xa4d9acbf9789555b!8m2!3d33.708229!4d73.015313!16s%2Fg%2F11gmgd5zhy!19sChIJwaKtvyK_3zgRW1WJl7-s2aQ?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
43,shahidakhaliqhospita_33.692240_73.057561,Shahida Khaliq Hospital,"Shahida Khaliq Hospital
4.6(269)
Private hospital ·  · Plot No 14, Street No 22, 17-4 Street 22
Open 24 hours · +92 51 2331908",Private hospital,Open 24 hours,33.6922398,73.0575614,https://www.google.com/maps/place/Shahida+Khaliq+Hospital/data=!4m7!3m6!1s0x38dfbfe86d1359ad:0x565822eeafed1115!8m2!3d33.6922398!4d73.0575614!16s%2Fg%2F11sh5jzyx9!19sChIJrVkTbei_3zgRFRHtr-4iWFY?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
44,riphahinternationalh_33.538162_73.185958,Riphah International Hospital,"Riphah International Hospital
3.5(146)
Hospital ·  · Opp Gate 7, DHA Phase2, near kaakpul, Islamabad Expy
Open 24 hours · +92 51 4486062",Hospital,Open 24 hours,33.5381622,73.1859579,https://www.google.com/maps/place/Riphah+International+Hospital/data=!4m7!3m6!1s0x38dfee0913bb1621:0xfa29a1cc535f02f2!8m2!3d33.5381622!4d73.1859579!16s%2Fg%2F11b7f9110s!19sChIJIRa7Ewnu3zgR8gJfU8yhKfo?authuser=0&hl=en&rclk=1,"Hospital, Islamabad"
