Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Laboratory, Islamabad"
5,islamabadspecialistc_33.696991_73.051271,Islamabad Specialist Clinic G-8 Markaz Islamabad,,Medical clinic,Open,33.6969906,73.0512707,https://www.google.com/maps/place/Islamabad+Specialist+Clinic+G-8+Markaz+Islamabad/data=!4m7!3m6!1s0x38dfbf6482f6aa81:0xae209a86fda47a8b!8m2!3d33.6969906!4d73.0512707!16s%2Fg%2F11hf72mc2q!19sChIJgar2gmS_3zgRi3qk_YaaIK4?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
37,drajmalosmanfatimacl_33.688607_73.013056,Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi,"Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi
4.8(184)
Hospital ·  · House 93 Street 44
Open ⋅ Closes 12 AM · +92 323 6833333",Hospital,Open,33.6886072,73.013056,https://www.google.com/maps/place/Dr.+Ajmal+Osman+%7C+Fatima+Clinic+F-10+%7C+Top%2FBest+%28No.1%29+Specialist+of+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38dfbe1693dca1a1:0x4d05249fbcd133d5!8m2!3d33.6886072!4d73.013056!16s%2Fg%2F11fxx64hvf!19sChIJoaHckxa-3zgR1TPRvJ8kBU0?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
38,hmdiagnosticsandclin_33.698479_73.048750,HM Diagnostics and Clinics,"HM Diagnostics and Clinics
4.8(213)
Medical clinic · Basement shop no. 11 & 12 Crescent Arcade, Road
Open ⋅ Closes 10 PM · +92 321 5199295",Medical clinic,Open,33.6984794,73.0487497,https://www.google.com/maps/place/HM+Diagnostics+and+Clinics/data=!4m7!3m6!1s0x38dfbfd2f102e0f9:0x3e7c6653ba9236fd!8m2!3d33.6984794!4d73.0487497!16s%2Fg%2F11jx6jbvnp!19sChIJ-eAC8dK_3zgR_TaSulNmfD4?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
39,lelotuscliniquetopsk_33.706189_73.037792,Le Lotus Clinique - Top Skin Care Clinic in Islamabad,"Le Lotus Clinique - Top Skin Care Clinic in Islamabad
4.8(793)
Dermatologist · Besides Studio M & Kitchen Cuisine Restaurant, Allah Wali Market, 1 Street 33
Open ⋅ Closes 7 PM · +92 318 5457381",Dermatologist,Open,33.7061886,73.0377925,https://www.google.com/maps/place/Le+Lotus+Clinique+-+Top+Skin+Care+Clinic+in+Islamabad/data=!4m7!3m6!1s0x38dfbf08effa8d9f:0xa430311967c12e8f!8m2!3d33.7061886!4d73.0377925!16s%2Fg%2F11r2rnrl71!19sChIJn4367wi_3zgRjy7BZxkxMKQ?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
40,alfatimaclinicislama_33.716399_73.084738,"Al fatima Clinic, islamabad","Al fatima Clinic, islamabad
3.7(26)
Medical Center ·  · Ground Floor, Melody Market, Islamabad Medical and Surgical Centre
Open 24 hours · +92 336 2824124",Medical Center,Open 24 hours,33.7163989,73.0847375,"https://www.google.com/maps/place/Al+fatima+Clinic,+islamabad/data=!4m7!3m6!1s0x38dfbf7c8641b7cf:0x1713a8999cc921b!8m2!3d33.7163989!4d73.0847375!16s%2Fg%2F11sjrnmzyv!19sChIJz7dBhny_3zgRG5LMmYk6cQE?authuser=0&hl=en&rclk=1","Laboratory, Islamabad"
41,islamabadfamilyclini_33.642228_73.127788,Islamabad Family Clinic,"Islamabad Family Clinic
5.0(24)
Health consultant · Gardyzi colony, Barma
Open ⋅ Closes 10 PM · +92 323 5555082",Health consultant,Open,33.642228,73.1277884,https://www.google.com/maps/place/Islamabad+Family+Clinic/data=!4m7!3m6!1s0x38dfeb43850c74e3:0xce7e92b616b34742!8m2!3d33.642228!4d73.1277884!16s%2Fg%2F11qg6616pd!19sChIJ43QMhUPr3zgRQkezFraSfs4?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
42,lelotuscliniqueskinc_33.530342_73.133320,Le Lotus Clinique - Skin Care Clinic in Islamabad,"Le Lotus Clinique - Skin Care Clinic in Islamabad
4.9(708)
Skin care clinic ·  · Crystal Heights Plaza # 14 Bank Al Habib Building, G.T. Rd
Open ⋅ Closes 7 PM · +92 335 5181166",Skin care clinic,Open,33.5303419,73.1333203,https://www.google.com/maps/place/Le+Lotus+Clinique+-+Skin+Care+Clinic+in+Islamabad/data=!4m7!3m6!1s0x38dfed2bebf3dc4f:0x31619be77520b7d7!8m2!3d33.5303419!4d73.1333203!16s%2Fg%2F11g0dgv39c!19sChIJT9zz6yvt3zgR17cgdeebYTE?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
43,graceinternationalho_33.663460_72.887963,Grace International Hospital Islamabad,"Grace International Hospital Islamabad
2.8(46)
Hospital · 
Open 24 hours · +92 301 5710777",Hospital,Open 24 hours,33.6634596,72.8879628,https://www.google.com/maps/place/Grace+International+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfa3e8224f80f1:0x89bea84f88237fda!8m2!3d33.6634596!4d72.8879628!16s%2Fg%2F11lg2nf5v3!19sChIJ8YBPIuij3zgR2n8jiE-ovok?authuser=0&hl=en&rclk=1,"Laboratory, Islamabad"
44,islamabadentcenterpv_33.697989_73.048847,"Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's","Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's
4.8(186)
Otolaryngology clinic ·  · officia 20 Ground Floor, executive Complex, Back Side PSO Pump, Markaz, near TCS Office
Open ⋅ Closes 9 PM · +92 342 4512784",Otolaryngology clinic,Open,33.6979885,73.0488475,"https://www.google.com/maps/place/Islamabad+ENT+Center-Pvt.Ltd%22+%28Rhinoplasty%29+Ear,+Nose,+Throat+Specialist%27s,+Surgeon%27s/data=!4m7!3m6!1s0x38dfbfbf21ad4751:0xd3a073468163936!8m2!3d33.6979885!4d73.0488475!16s%2Fg%2F11mwys_dgl!19sChIJUUetIb-_3zgRNjkWaDQHOg0?authuser=0&hl=en&rclk=1","Laboratory, Islamabad"
