Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Matab, Islamabad"
5,matabemahmood_33.564400_73.143118,Matab-e-Mahmood,,Herbal medicine store,Closed,33.5644001,73.1431176,https://www.google.com/maps/place/Matab-e-Mahmood/data=!4m7!3m6!1s0x38df952b45f555ef:0x2d66e82ed4953c7b!8m2!3d33.5644001!4d73.1431176!16s%2Fg%2F11h6qcrpmh!19sChIJ71X1RSuV3zgRezyV1C7oZi0?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
37,matabhakeembilal_33.626601_72.984076,Matab Hakeem Bilal,"Matab Hakeem Bilal
No reviews
Herbalist · street no. 15-A
+92 345 4723793",Herbalist,,33.6266012,72.9840758,https://www.google.com/maps/place/Matab+Hakeem+Bilal/data=!4m7!3m6!1s0x38df976cf9979c75:0xcb49a9541288ad3a!8m2!3d33.6266012!4d72.9840758!16s%2Fg%2F11rcqmt14k!19sChIJdZyX-WyX3zgROq2IElSpScs?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
38,matabalsaudiatibbifo_33.649644_72.909469,Matab Al-Saudia Tibbi Foundation,"Matab Al-Saudia Tibbi Foundation
4.3(3)
Foundation · JWX5+VQ5, Fatehjang Rd, Tarnol
+92 321 5119638",Foundation,,33.6496441,72.9094694,https://www.google.com/maps/place/Matab+Al-Saudia+Tibbi+Foundation/data=!4m7!3m6!1s0x38df97fac485040d:0xc858c8d1d1357736!8m2!3d33.6496441!4d72.9094694!16s%2Fg%2F12mkwbb6y!19sChIJDQSFxPqX3zgRNnc10dHIWMg?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
39,matabpublications_33.688222_73.022890,Matab Publications,"Matab Publications
5.0(2)
Book store · 2
Open ⋅ Closes 8 PM · +92 318 0840037",Book store,Open,33.6882218,73.0228902,https://www.google.com/maps/place/Matab+Publications/data=!4m7!3m6!1s0x38dfbfd3b89c5fdf:0x6da3f2a7f39c4a0b!8m2!3d33.6882218!4d73.0228902!16s%2Fg%2F11jjj08l2z!19sChIJ31-cuNO_3zgRC0qc86fyo20?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
40,matabhakeemji_33.714906_73.081478,Matab Hakeem Ji,"Matab Hakeem Ji
No reviews
National Market, Street 37
+92 346 9574786","National Market, Street 37",,33.7149061,73.0814779,https://www.google.com/maps/place/Matab+Hakeem+Ji/data=!4m7!3m6!1s0x38dfbf8f517e2a83:0x8255bd64456f2715!8m2!3d33.7149061!4d73.0814779!16s%2Fg%2F12mkw90_w!19sChIJgyp-UY-_3zgRFSdvRWS9VYI?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
41,matabhakeemnazarahme_33.688514_73.033270,Matab Hakeem Nazar Ahmed Asad,"Matab Hakeem Nazar Ahmed Asad
No reviews
Shadab Plaza, G-9 Markaz, G-9","Shadab Plaza, G-9 Markaz, G-9",,33.688514,73.0332697,https://www.google.com/maps/place/Matab+Hakeem+Nazar+Ahmed+Asad/data=!4m7!3m6!1s0x38dfbe3195b8e09f:0x5be1be8f682ead75!8m2!3d33.688514!4d73.0332697!16s%2Fg%2F12mkz5nnb!19sChIJn-C4lTG-3zgRda0uaI--4Vs?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
42,ghulamhassanmatabpha_33.683299_73.040019,Ghulam Hassan Matab & Pharmacy,"Ghulam Hassan Matab & Pharmacy
3.0(2)
Pharmacy · Nishtar Market, St 55, G-9-4, G-9
Open now · +92 51 2256552",Pharmacy,Open now,33.6832986,73.0400191,https://www.google.com/maps/place/Ghulam+Hassan+Matab+%26+Pharmacy/data=!4m7!3m6!1s0x38dfbe2cb106e01d:0x2c0d864e730e4892!8m2!3d33.6832986!4d73.0400191!16s%2Fg%2F12mkw8q1t!19sChIJHeAGsSy-3zgRkkgOc06GDSw?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
43,matabalghaffar_33.573942_73.108925,Matab Al ghaffar,"Matab Al ghaffar
5.0(1)
Medical clinic · 1 Safari Villas Rd
Open ⋅ Closes 8 PM · +92 317 7788332",Medical clinic,Open,33.5739423,73.1089245,https://www.google.com/maps/place/Matab+Al+ghaffar/data=!4m7!3m6!1s0x38dfedb23cc4982d:0xc66bfe0bed4848c4!8m2!3d33.5739423!4d73.1089245!16s%2Fg%2F11gxw11tdq!19sChIJLZjEPLLt3zgRxEhI7Qv-a8Y?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
44,uniquematabandpansar_33.619052_72.951098,Unique Matab and Pansar Store,"Unique Matab and Pansar Store
No reviews
Store · St 11
Open ⋅ Closes 8:30 PM · +92 346 5254073",Store,Open,33.6190519,72.9510979,https://www.google.com/maps/place/Unique+Matab+and+Pansar+Store/data=!4m7!3m6!1s0x38df9702566770f1:0x587cf1770c5da14!8m2!3d33.6190519!4d72.9510979!16s%2Fg%2F11jzjxw6zt!19sChIJ8XBnVgKX3zgRFNrFcBfPhwU?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
45,matabhamdard_33.632330_73.073607,Matab Hamdard,"Matab Hamdard
4.2(5)
Food products supplier · Umer Farooq Plaza, 51C, Murree Rd, Chandni Chowk
Temporarily closed",Food products supplier,,33.6323297,73.0736075,https://www.google.com/maps/place/Matab+Hamdard/data=!4m7!3m6!1s0x38df94da2f0be9cd:0x17360e58e7862dba!8m2!3d33.6323297!4d73.0736075!16s%2Fg%2F12mkw8kl8!19sChIJzekLL9qU3zgRui2G51gONhc?authuser=0&hl=en&rclk=1,"Matab, Islamabad"
