Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Medical Supplies Store, Islamabad"
5,appexglobaltradingin_33.658764_73.048439,Appex Global Trading Inc(Importers of medical equipment ),,Medical equipment supplier,Open,33.6587636,73.048439,https://www.google.com/maps/place/Appex+Global+Trading+Inc%28Importers+of+medical+equipment+%29/data=!4m7!3m6!1s0x38df9796302de9c9:0x3f3a6ac3410d25bc!8m2!3d33.6587636!4d73.048439!16s%2Fg%2F11f7dtb6gm!19sChIJyektMJaX3zgRvCUNQcNqOj8?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
37,medicalstore_33.686748_73.139501,Medical Store,"Medical Store
1.8(5)
Medical supply store · M4PQ+MRR
Open 24 hours · +92 300 6169220",Medical supply store,Open 24 hours,33.6867484,73.139501,https://www.google.com/maps/place/Medical+Store/data=!4m7!3m6!1s0x38dfea7ebfb6cd3d:0xf4077dcae21e3ab7!8m2!3d33.6867484!4d73.139501!16s%2Fg%2F11c58rt9sw!19sChIJPc22v37q3zgRtzoe4sp9B_Q?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
38,scimedinternationali_33.649637_73.047189,SciMed International / Iqbal Medical Services,"SciMed International / Iqbal Medical Services
5.0(16)
Medical equipment supplier · House # 1283 Basement, Street 31
Open ⋅ Closes 5 PM · +92 312 5065505",Medical equipment supplier,Open,33.6496375,73.0471892,https://www.google.com/maps/place/SciMed+International+%2F+Iqbal+Medical+Services/data=!4m7!3m6!1s0x38df95d0352876e9:0x61eb96d375d85a08!8m2!3d33.6496375!4d73.0471892!16s%2Fg%2F11l1d8r_xd!19sChIJ6XYoNdCV3zgRCFrYddOW62E?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
39,galyatmedicalstore_33.744545_73.189514,Galyat Medical Store,"Galyat Medical Store
5.0(2)
Medical supply store · Water Works Road Bhera Seydan
Open ⋅ Closes 12 AM · +92 345 9603110",Medical supply store,Open,33.7445452,73.1895135,https://www.google.com/maps/place/Galyat+Medical+Store/data=!4m7!3m6!1s0x38dfc3adf97cc15f:0x96f65b2a72cc8992!8m2!3d33.7445452!4d73.1895135!16s%2Fg%2F11sh7338nj!19sChIJX8F8-a3D3zgRkonMcipb9pY?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
40,ahsanmedicalstore_33.743710_73.109386,Ahsan Medical store,"Ahsan Medical store
5.0(1)
Medical supply store · P4V5+FQJ, Nurpur Rd
Open ⋅ Closes 11 PM · +92 311 5418896",Medical supply store,Open,33.7437099,73.1093861,https://www.google.com/maps/place/Ahsan+Medical+store/data=!4m7!3m6!1s0x38dfc1b284ce93af:0x40017a97ead6005b!8m2!3d33.7437099!4d73.1093861!16s%2Fg%2F11j1_gb564!19sChIJr5POhLLB3zgRWwDW6pd6AUA?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
41,azaanmedicalstore_33.588091_73.161639,Azaan Medical Store,"Azaan Medical Store
5.0(3)
Medical supply store · Lohi bhair chowk Mian bimbar trar road
Open ⋅ Closes 9 PM · +92 319 8114336",Medical supply store,Open,33.5880912,73.1616392,https://www.google.com/maps/place/Azaan+Medical+Store/data=!4m7!3m6!1s0x38dfed2d92d5e65f:0xaff72997319114b8!8m2!3d33.5880912!4d73.1616392!16s%2Fg%2F11tx9hzw9n!19sChIJX-bVki3t3zgRuBSRMZcp968?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
42,mediplexinternationa_33.711652_73.040757,MEDIPLEX INTERNATIONAL (PVT) LTD.,"MEDIPLEX INTERNATIONAL (PVT) LTD.
5.0(2)
Medical equipment supplier · Office No,03 , 1st Floor , Block 16C, Malik Plaza
Open ⋅ Closes 6 PM · +92 331 2211333",Medical equipment supplier,Open,33.7116516,73.0407571,https://www.google.com/maps/place/MEDIPLEX+INTERNATIONAL+%28PVT%29+LTD./data=!4m7!3m6!1s0x38dfbf0de7a08947:0x913582e06df2abff!8m2!3d33.7116516!4d73.0407571!16s%2Fg%2F11lgn2kmn5!19sChIJR4mg5w2_3zgR_6vybeCCNZE?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
43,sultanmedicalstore_33.629549_73.115992,Sultan Medical Store,"Sultan Medical Store
5.0(6)
Medical supply store · Lehtrar Road Khanna, Bridge
Open ⋅ Closes 10:30 PM · +92 303 2070072",Medical supply store,Open,33.6295493,73.1159916,https://www.google.com/maps/place/Sultan+Medical+Store/data=!4m7!3m6!1s0x38dfebc5f7b1c0d9:0xe8a93e2fac483415!8m2!3d33.6295493!4d73.1159916!16s%2Fg%2F11ny2c5rpq!19sChIJ2cCx98Xr3zgRFTRIrC8-qeg?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
44,salajeetproviders_33.694881_73.057789,Salajeet providers,"Salajeet providers
5.0(1)
Medical supply store · M3V5+X43, Street 17
Open 24 hours",Medical supply store,Open 24 hours,33.694881,73.057789,https://www.google.com/maps/place/Salajeet+providers/data=!4m7!3m6!1s0x38dfbf0eba223e2f:0xad34143f2d1c1a68!8m2!3d33.694881!4d73.057789!16s%2Fg%2F11gn1v0489!19sChIJLz4iug6_3zgRaBocLT8UNK0?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
45,medicalhealthservice_33.642034_73.214776,Medical Health services,"Medical Health services
5.0(1)
Medical supply store · بسم اللہ میڈیکل سٹور ارسلان ٹاون ٹھنڈا پانی
Open ⋅ Closes 11 PM · +92 313 5692930",Medical supply store,Open,33.6420336,73.2147758,https://www.google.com/maps/place/Medical+Health+services/data=!4m7!3m6!1s0x38dfe9c5175f4bc5:0xd14e7c9299034ca7!8m2!3d33.6420336!4d73.2147758!16s%2Fg%2F11twt7c5w7!19sChIJxUtfF8Xp3zgRp0wDmZJ8TtE?authuser=0&hl=en&rclk=1,"Medical Supplies Store, Islamabad"
