Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Medical, Islamabad"
5,azizmedicalcenter_33.730722_73.080296,Aziz Medical Center,,Hospital,Open,33.7307216,73.080296,https://www.google.com/maps/place/Aziz+Medical+Center/data=!4m7!3m6!1s0x38dfbf796636527d:0x78946fe33d68e6b6!8m2!3d33.7307216!4d73.080296!16s%2Fg%2F1wtbs84p!19sChIJfVI2Znm_3zgRtuZoPeNvlHg?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
37,alimedicalcentre_33.710413_73.042016,Ali Medical Centre,"Ali Medical Centre
3.4(730)
Private hospital ·  · P26Q+JWM, Kohistan Rd
Open 24 hours · +92 51 8090200",Private hospital,Open 24 hours,33.7104129,73.0420161,https://www.google.com/maps/place/Ali+Medical+Centre/data=!4m7!3m6!1s0x38dfbfad680bca0d:0x8035f4aacf56cf3d!8m2!3d33.7104129!4d73.0420161!16s%2Fg%2F1tgw88nw!19sChIJDcoLaK2_3zgRPc9Wz6r0NYA?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
38,premiumdiagnosticand_33.703519_73.051454,Premium Diagnostic and Clinics,"Premium Diagnostic and Clinics
4.2(2,549)
Medical school ·  · Ibn-e-Sina Rd
Open 24 hours · +92 51 9261170",Medical school,Open 24 hours,33.7035185,73.0514542,https://www.google.com/maps/place/Premium+Diagnostic+and+Clinics/data=!4m7!3m6!1s0x38dfbfb826dae131:0xba5e1cbcad4376fe!8m2!3d33.7035185!4d73.0514542!16zL20vMGQyeGNw!19sChIJMeHaJri_3zgR_nZDrbwcXro?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
39,smartmedicaldiagnost_33.698436_73.048823,Smart Medical & Diagnostics Centre ( SMDC),"Smart Medical & Diagnostics Centre ( SMDC)
5.0(415)
Medical Center ·  · Crescent Arcade, opp. Motorway Expess
Open ⋅ Closes 10 PM · +92 51 2340383",Medical Center,Open,33.6984362,73.0488229,https://www.google.com/maps/place/Smart+Medical+%26+Diagnostics+Centre+%28+SMDC%29/data=!4m7!3m6!1s0x38dfbf2235ed90a7:0x1fa908fbadbd9842!8m2!3d33.6984362!4d73.0488229!16s%2Fg%2F11jpd2vqlr!19sChIJp5DtNSK_3zgRQpi9rfsIqR8?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
40,islamabadmedicaldent_33.755508_73.210015,Islamabad Medical & Dental College (IMDC),"Islamabad Medical & Dental College (IMDC)
4.3(273)
Medical school ·  · Q645+2XP Wadi-ul-Ilm، Main Murree Rd
Closes soon ⋅ 3 PM ⋅ Opens 8 AM Fri · +92 51 111 464 632",Medical school,Closes soon,33.7555075,73.2100146,https://www.google.com/maps/place/Islamabad+Medical+%26+Dental+College+%28IMDC%29/data=!4m7!3m6!1s0x38dfc3b9d90b56bd:0xd1ec92ee965afe65!8m2!3d33.7555075!4d73.2100146!16s%2Fm%2F0fpjbwg!19sChIJvVYL2bnD3zgRZf5alu6S7NE?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
41,islamabadmedicalcomp_33.649271_73.017190,Islamabad Medical Complex (IMC),"Islamabad Medical Complex (IMC)
3.7(158)
Hospital ·  · J2X8+PV4, Faqir Aipee Road
Open 24 hours · +92 51 906 725 102",Hospital,Open 24 hours,33.6492715,73.0171903,https://www.google.com/maps/place/Islamabad+Medical+Complex+%28IMC%29/data=!4m7!3m6!1s0x38df95bf7f63ca19:0x6d31923341485537!8m2!3d33.6492715!4d73.0171903!16s%2Fg%2F12mkz7vh9!19sChIJGcpjf7-V3zgRN1VIQTOSMW0?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
42,hanifmedicalcomplexf_33.609167_72.865749,"Hanif Medical Complex - Faisal Town, Islamabad","Hanif Medical Complex - Faisal Town, Islamabad
4.8(208)
Hospital ·  · Plot 44, MR02, adjacent Tandoori Restaurant
Open 24 hours · +92 306 8487999",Hospital,Open 24 hours,33.6091671,72.8657494,"https://www.google.com/maps/place/Hanif+Medical+Complex+-+Faisal+Town,+Islamabad/data=!4m7!3m6!1s0x38df997275d079bd:0x9ed1a4a85f55ebed!8m2!3d33.6091671!4d72.8657494!16s%2Fg%2F11k3rthrtk!19sChIJvXnQdXKZ3zgR7etVX6ik0Z4?authuser=0&hl=en&rclk=1","Medical, Islamabad"
43,gulbergmedicalcenter_33.597849_73.142213,Gulberg Medical Center,"Gulberg Medical Center
4.2(171)
Hospital ·  · Plot 30, Street 2, Service Road, Expressway, near Imtiaz Super Store
Open 24 hours · +92 300 8545942",Hospital,Open 24 hours,33.5978486,73.1422128,https://www.google.com/maps/place/Gulberg+Medical+Center/data=!4m7!3m6!1s0x38dfed5a7f50614f:0x681f431d7c656eaa!8m2!3d33.5978486!4d73.1422128!16s%2Fg%2F11j37g75vk!19sChIJT2FQf1rt3zgRqm5lfB1DH2g?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
44,caremedicalcenter_33.698542_73.048703,Care+ Medical Center,"Care+ Medical Center
3.9(208)
Private hospital ·  · 20-C, M2XX+F95 Crescent Arcade
Open 24 hours · +92 51 111 111 097",Private hospital,Open 24 hours,33.6985419,73.0487032,https://www.google.com/maps/place/Care%2B+Medical+Center/data=!4m7!3m6!1s0x38dfbf4b32a7fb61:0xca3ac0299b9d7aa4!8m2!3d33.6985419!4d73.0487032!16s%2Fg%2F11g3y4qzr_!19sChIJYfunMku_3zgRpHqdmynAOso?authuser=0&hl=en&rclk=1,"Medical, Islamabad"
