Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Optician, Islamabad"
5,eyeshopoptician_33.729248_73.075817,Eye Shop Optician,,Optician,Open,33.7292485,73.0758171,https://www.google.com/maps/place/Eye+Shop+Optician/data=!4m7!3m6!1s0x38dfbf7761945a47:0xb2afdc028c9eb0c2!8m2!3d33.7292485!4d73.0758171!16s%2Fg%2F11f146vz1z!19sChIJR1qUYXe_3zgRwrCejALcr7I?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
37,hassanoptical_33.690100_73.032742,Hassan Optical,"Hassan Optical
4.9(260)
Optician ·  · Plot No. 31-A, United Plaza
Open ⋅ Closes 10 PM · +92 51 2284810",Optician,Open,33.6901005,73.0327425,https://www.google.com/maps/place/Hassan+Optical/data=!4m7!3m6!1s0x38dfbe310578902b:0x137012252d037260!8m2!3d33.6901005!4d73.0327425!16s%2Fg%2F11c328wvc1!19sChIJK5B4BTG-3zgRYHIDLSUScBM?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
38,tanweeroptical_33.716464_73.085436,Tanweer optical,"Tanweer optical
4.5(58)
Optician · Shop 7, Melody Market, Civic Centre, 8 Shaheed-e-Millat Rd
Open ⋅ Closes 9:15 PM · +92 332 0007734",Optician,Open,33.7164644,73.0854364,https://www.google.com/maps/place/Tanweer+optical/data=!4m7!3m6!1s0x38dfbf87d1a60dbf:0x758c073d82f96f1a!8m2!3d33.7164644!4d73.0854364!16s%2Fg%2F12mkzcfm5!19sChIJvw2m0Ye_3zgRGm_5gj0HjHU?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
39,blueyeopticalshopisl_33.711581_73.041459,Blueye Optical Shop Islamabad,"Blueye Optical Shop Islamabad
5.0(20)
Optician · umer centre f-8 markez near IDC /ali medical centre
Open ⋅ Closes 10 PM · +92 51 2817023",Optician,Open,33.711581,73.041459,https://www.google.com/maps/place/Blueye+Optical+Shop+Islamabad/data=!4m7!3m6!1s0x38dfbfad398a8b35:0x8dee5c9ee2664ddc!8m2!3d33.711581!4d73.041459!16s%2Fg%2F11bxf3q53t!19sChIJNYuKOa2_3zgR3E1m4p5c7o0?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
40,eyelinksopticians_33.684394_73.042072,EYE LINKS OPTICIANS,"EYE LINKS OPTICIANS
4.9(68)
Optician · BLOCK #40,SHOP#3, Industrial and Trading centre, Street 55
Open ⋅ Closes 11:15 PM · +92 332 5549997",Optician,Open,33.6843937,73.0420723,https://www.google.com/maps/place/EYE+LINKS+OPTICIANS/data=!4m7!3m6!1s0x38dfbfd3a9810b0d:0x1fcef96fc3a94690!8m2!3d33.6843937!4d73.0420723!16s%2Fg%2F1pzt6k903!19sChIJDQuBqdO_3zgRkEapw2_5zh8?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
41,masoodopticalisaprem_33.721089_73.058644,"Masood Optical is a premier eyewear retailer located in the heart of Jinnah Super Market. As qualified opticians,","Masood Optical is a premier eyewear retailer located in the heart of Jinnah Super Market. As qualified opticians,
4.6(26)
Optician · Block 12E, Bhittai Rd
Open ⋅ Closes 9:30 PM · +92 51 2650111",Optician,Open,33.7210893,73.0586445,"https://www.google.com/maps/place/Masood+Optical+is+a+premier+eyewear+retailer+located+in+the+heart+of+Jinnah+Super+Market.+As+qualified+opticians,/data=!4m7!3m6!1s0x38dfbfa0cdb9f471:0x4d49ad4cad9b0062!8m2!3d33.7210893!4d73.0586445!16s%2Fg%2F11xnrd01k!19sChIJcfS5zaC_3zgRYgCbrUytSU0?authuser=0&hl=en&rclk=1","Optician, Islamabad"
42,clarityoptiks_33.720237_73.073904,CLARITY OPTIKS,"CLARITY OPTIKS
4.9(91)
Optician · Clarity Optics, 7th Ave
Open ⋅ Closes 9:30 PM · +92 51 2726687",Optician,Open,33.7202366,73.0739042,https://www.google.com/maps/place/CLARITY+OPTIKS/data=!4m7!3m6!1s0x38dfbf1712fc824f:0xc7241461d5bbdd0b!8m2!3d33.7202366!4d73.0739042!16s%2Fg%2F11fhz1329w!19sChIJT4L8Ehe_3zgRC9271WEUJMc?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
43,opticzone_33.669338_72.998602,Optic Zone,"Optic Zone
4.6(11)
Optician · SHOP G3, SARDAR ARCADE, 2 G11
Open ⋅ Closes 11 PM · +92 302 5057000",Optician,Open,33.6693383,72.9986016,https://www.google.com/maps/place/Optic+Zone/data=!4m7!3m6!1s0x38df95ff30c9410b:0x8991596509030361!8m2!3d33.6693383!4d72.9986016!16s%2Fg%2F12mkwb5bv!19sChIJC0HJMP-V3zgRYQMDCWVZkYk?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
44,masoodopticalco_33.716544_73.085617,Masood Optical Co.,"Masood Optical Co.
4.4(57)
Optician · Civic Centre, Shaheed-e-Millat Rd, Melody Market, G-6
Open ⋅ Closes 9 PM · +92 51 8743300",Optician,Open,33.7165445,73.0856168,https://www.google.com/maps/place/Masood+Optical+Co./data=!4m7!3m6!1s0x38dfbf87daf340bb:0x4a770524a69cecfb!8m2!3d33.7165445!4d73.0856168!16s%2Fg%2F12mkzhysp!19sChIJu0Dz2oe_3zgR--ycpiQFd0o?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
45,dwatsonoptician_33.731297_73.074995,D. Watson Optician,"D. Watson Optician
4.5(12)
Optician · Shop # 6 # Block # 12-c
Open ⋅ Closes 10:30 PM · +92 51 2652647",Optician,Open,33.7312968,73.0749946,https://www.google.com/maps/place/D.+Watson+Optician/data=!4m7!3m6!1s0x38dfbfa747bf3e9f:0x56775e0c2269e5e7!8m2!3d33.7312968!4d73.0749946!16s%2Fg%2F11g6_w986n!19sChIJnz6_R6e_3zgR5-VpIgxed1Y?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
46,glassmithbygulzariop_33.689587_73.032131,Glassmith by Gulzari Optics,"Glassmith by Gulzari Optics
4.5(207)
Optician ·  · Shop 11, Shalimar Plaza
Open ⋅ Closes 5 PM · +92 51 2251712",Optician,Open,33.6895874,73.0321306,https://www.google.com/maps/place/Glassmith+by+Gulzari+Optics/data=!4m7!3m6!1s0x38dfbe310774eb91:0x5e50867012b60b1c!8m2!3d33.6895874!4d73.0321306!16s%2Fg%2F12mkzcb9k!19sChIJket0BzG-3zgRHAu2EnCGUF4?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
47,gabaoptical_33.694343_73.013033,GABA Optical,"GABA Optical
4.3(15)
Optician · Mustafa Mansion, Sumbal Rd
Open ⋅ Closes 11:55 PM · +92 310 1002576",Optician,Open,33.6943434,73.0130334,https://www.google.com/maps/place/GABA+Optical/data=!4m7!3m6!1s0x38dfbf4dc032ecd1:0xf66a19e957e4a4fa!8m2!3d33.6943434!4d73.0130334!16s%2Fg%2F11gxvs45rp!19sChIJ0ewywE2_3zgR-qTkV-kZavY?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
48,maximeyesvision_33.656232_73.055686,Maximeyes Vision,"Maximeyes Vision
5.0(14)
Optician · shop #1, Jawa Center, Plot 3L markaz
Open ⋅ Closes 9 PM · +92 345 5174321",Optician,Open,33.6562318,73.0556865,https://www.google.com/maps/place/Maximeyes+Vision/data=!4m7!3m6!1s0x38df951321940aaf:0xb3cb930d211f9e42!8m2!3d33.6562318!4d73.0556865!16s%2Fg%2F12mkwb01w!19sChIJrwqUIROV3zgRQp4fIQ2Ty7M?authuser=0&hl=en&rclk=1,"Optician, Islamabad"
