Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Physical Therapist, Islamabad"
5,dralitherapypvtltdbe_33.710667_73.040730,Dr Ali Therapy Pvt Ltd-best chiropractor Physiotherapist in Islamabad,,Physical therapy clinic,Open,33.7106669,73.04073,https://www.google.com/maps/place/Dr+Ali+Therapy+Pvt+Ltd-best+chiropractor+Physiotherapist+in+Islamabad/data=!4m7!3m6!1s0x38dfbf7f9667f1d5:0x287e188a6765e906!8m2!3d33.7106669!4d73.04073!16s%2Fg%2F11rss4ydvy!19sChIJ1fFnln-_3zgRBullZ4oYfig?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
37,athleanphysicalthera_33.699593_72.973609,"ATHLEAN PHYSICAL THERAPY, ISLAMABAD","ATHLEAN PHYSICAL THERAPY, ISLAMABAD
4.9(69)
Physical therapy clinic ·  · Karsaaz Tower 2
Open ⋅ Closes 8 PM · +92 318 5422232",Physical therapy clinic,Open,33.6995934,72.9736092,"https://www.google.com/maps/place/ATHLEAN+PHYSICAL+THERAPY,+ISLAMABAD/data=!4m7!3m6!1s0x38dfbd9a78080115:0xb47e87dd085cbcbc!8m2!3d33.6995934!4d72.9736092!16s%2Fg%2F11qsv49x2r!19sChIJFQEIeJq93zgRvLxcCN2HfrQ?authuser=0&hl=en&rclk=1","Physical Therapist, Islamabad"
38,physiofittphysiother_33.715089_73.066862,Physiofitt - Physiotherapist Clinic Islamabad,"Physiofitt - Physiotherapist Clinic Islamabad
4.8(97)
Physical therapy clinic ·  · Roshan centre, Lower ground
Open ⋅ Closes 11 PM · +92 345 5661110",Physical therapy clinic,Open,33.7150895,73.0668624,https://www.google.com/maps/place/Physiofitt+-+Physiotherapist+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfbf3d10c70a53:0x96c9a639f29cd898!8m2!3d33.7150895!4d73.0668624!16s%2Fg%2F11lfbgkv_d!19sChIJUwrHED2_3zgRmNic8jmmyZY?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
39,leprleadingedgephysi_33.521098_73.104437,LEPR | Leading Edge Physiotherapy & Rehabilitation | Bahria Town Phase 7 Rawalpindi,"LEPR | Leading Edge Physiotherapy & Rehabilitation | Bahria Town Phase 7 Rawalpindi
4.9(185)
Physical therapy clinic ·  · Third Floor, Center Point Plaza Number 57 Opposite DHA 1, bridge
Open ⋅ Closes 9 PM · +92 335 3559603",Physical therapy clinic,Open,33.5210978,73.1044373,https://www.google.com/maps/place/LEPR+%7C+Leading+Edge+Physiotherapy+%26+Rehabilitation+%7C+Bahria+Town+Phase+7+Rawalpindi/data=!4m7!3m6!1s0x38dfed9e2c509b53:0x10b19e1e3e8e7f36!8m2!3d33.5210978!4d73.1044373!16s%2Fg%2F11pq9472ml!19sChIJU5tQLJ7t3zgRNn-OPh6esRA?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
40,mhsphysiotherapyspee_33.722512_73.082228,MHS Physiotherapy Speech Therapy & Psychology Clinic,"MHS Physiotherapy Speech Therapy & Psychology Clinic
4.7(174)
Physical therapy clinic · Office No 12 Huma Plaza
Open ⋅ Closes 9 PM · +92 311 0979070",Physical therapy clinic,Open,33.7225119,73.0822276,https://www.google.com/maps/place/MHS+Physiotherapy+Speech+Therapy+%26+Psychology+Clinic/data=!4m7!3m6!1s0x38df95156aaaaab1:0x3ec18d3a9a0eb9f5!8m2!3d33.7225119!4d73.0822276!16s%2Fg%2F11hb28zf7j!19sChIJsaqqahWV3zgR9bkOmjqNwT4?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
41,drazazbestphysiother_33.668750_73.076763,Dr Azaz ( best physiotherapist Islamabad,"Dr Azaz ( best physiotherapist Islamabad
5.0(313)
Physical therapist · 5
Open ⋅ Closes 11:30 PM · +92 314 9882227",Physical therapist,Open,33.6687504,73.0767632,https://www.google.com/maps/place/Dr+Azaz+%28+best+physiotherapist+Islamabad/data=!4m7!3m6!1s0x38df95f2fef80b67:0x821f019947e53c29!8m2!3d33.6687504!4d73.0767632!16s%2Fg%2F11tf39l876!19sChIJZwv4_vKV3zgRKTzlR5kBH4I?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
42,drziapainbrainphysio_33.688781_72.992211,Dr.Zia Pain & Brain Physiotherapy Center,"Dr.Zia Pain & Brain Physiotherapy Center
4.8(64)
Physical therapist ·  · Raja Market, Street 48
Open ⋅ Closes 9 PM · +92 330 4343123",Physical therapist,Open,33.6887813,72.9922114,https://www.google.com/maps/place/Dr.Zia+Pain+%26+Brain+Physiotherapy+Center/data=!4m7!3m6!1s0x38dfbf2e7b67bf43:0xc95eeb43e39af46f!8m2!3d33.6887813!4d72.9922114!16s%2Fg%2F11gk6b0t5f!19sChIJQ79ney6_3zgRb_Sa40PrXsk?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
43,arclinicsphysiothera_33.546380_73.128109,AR CLINICS - Physiotherapy and Aesthetics,"AR CLINICS - Physiotherapy and Aesthetics
4.9(156)
Physical therapy clinic ·  · Plaza 56 & 58, Marina Complex, Corniche Road
Open ⋅ Closes 10 PM · +92 318 5119014",Physical therapy clinic,Open,33.5463798,73.128109,https://www.google.com/maps/place/AR+CLINICS+-+Physiotherapy+and+Aesthetics/data=!4m7!3m6!1s0x38dfed02afffb97d:0x73d954749bd1fdea!8m2!3d33.5463798!4d73.128109!16s%2Fg%2F11qbs6mncg!19sChIJfbn_rwLt3zgR6v3Rm3RU2XM?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
44,drphysiorehab_33.562726_73.148219,Dr Physio Rehab,"Dr Physio Rehab
4.8(54)
Physical therapy clinic ·  · Ground floor, Ascon Heights II, Soan Ave
Open ⋅ Closes 11:45 PM · +92 333 1343878",Physical therapy clinic,Open,33.5627263,73.1482195,https://www.google.com/maps/place/Dr+Physio+Rehab/data=!4m7!3m6!1s0x38dfed18e49b00d1:0x6e43689cb48e8b22!8m2!3d33.5627263!4d73.1482195!16s%2Fg%2F11pd1sy1mt!19sChIJ0QCb5Bjt3zgRIouOtJxoQ24?authuser=0&hl=en&rclk=1,"Physical Therapist, Islamabad"
