Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Psychologist, Islamabad"
5,sochclinicsislamabad_33.696830_73.051393,SOCH Clinics Islamabad Branch,,Psychologist,Open,33.69683,73.0513934,https://www.google.com/maps/place/SOCH+Clinics+Islamabad+Branch/data=!4m7!3m6!1s0x38dfecffddb2c569:0x1aeb15c96e355700!8m2!3d33.69683!4d73.0513934!16s%2Fg%2F11f_0wnkrh!19sChIJacWy3f_s3zgRAFc1bskV6xo?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
37,meetingmattersclinic_33.678552_73.010743,"Meeting Matters Clinic - Psychologists, Counselors and Therapists","Meeting Matters Clinic - Psychologists, Counselors and Therapists
4.8(272)
Psychologist · House 90, Street 27
Open 24 hours · +92 311 1155601",Psychologist,Open 24 hours,33.6785523,73.0107434,"https://www.google.com/maps/place/Meeting+Matters+Clinic+-+Psychologists,+Counselors+and+Therapists/data=!4m7!3m6!1s0x38dfbfb8974ddb91:0xe24956d22a3380b6!8m2!3d33.6785523!4d73.0107434!16s%2Fg%2F11gxnvs765!19sChIJkdtNl7i_3zgRtoAzKtJWSeI?authuser=0&hl=en&rclk=1","Psychologist, Islamabad"
38,sairaalicounsellorps_33.536729_73.156624,Saira Ali - Counsellor Psychologist | Psychotherapist & Certified Life Coach.,"Saira Ali - Counsellor Psychologist | Psychotherapist & Certified Life Coach.
4.8(323)
Psychologist ·  · 3A / 53, south commercial
Open 24 hours · +92 333 3111534",Psychologist,Open 24 hours,33.5367292,73.1566236,https://www.google.com/maps/place/Saira+Ali+-+Counsellor+Psychologist+%7C+Psychotherapist+%26+Certified+Life+Coach./data=!4m7!3m6!1s0x38dfed3ec29dfe23:0xf4dcb0afd3c562a3!8m2!3d33.5367292!4d73.1566236!16s%2Fg%2F11mw6w8yfz!19sChIJI_6dwj7t3zgRo2LF06-w3PQ?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
39,sochpsychologicalcli_33.560173_73.133577,SOCH Psychological Clinics Bahria Branch,"SOCH Psychological Clinics Bahria Branch
4.9(163)
Psychologist ·  · 415D Street 26, near Bahria 1
Open ⋅ Closes 7 PM · +92 343 1433331",Psychologist,Open,33.5601729,73.1335767,https://www.google.com/maps/place/SOCH+Psychological+Clinics+Bahria+Branch/data=!4m7!3m6!1s0x38dfedee6ff0f6f9:0x596fc28ace050820!8m2!3d33.5601729!4d73.1335767!16s%2Fg%2F11h6m4n74z!19sChIJ-fbwb-7t3zgRIAgFzorCb1k?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
40,farhatjanpsychologis_33.564307_73.148501,"Farhat Jan Psychologist (Member of APA, ISSUP & ANZMH) (Ph.D Scholar)","Farhat Jan Psychologist (Member of APA, ISSUP & ANZMH) (Ph.D Scholar)
4.9(446)
Psychologist ·  · Street 3
Open ⋅ Closes 8:30 PM · +92 336 9580236",Psychologist,Open,33.5643074,73.1485008,"https://www.google.com/maps/place/Farhat+Jan+Psychologist+%28Member+of+APA,+ISSUP+%26+ANZMH%29+%28Ph.D+Scholar%29/data=!4m7!3m6!1s0x38dfed9bf44137eb:0xb8187adca7100e4d!8m2!3d33.5643074!4d73.1485008!16s%2Fg%2F11t1bm_gqz!19sChIJ6zdB9Jvt3zgRTQ4Qp9x6GLg?authuser=0&hl=en&rclk=1","Psychologist, Islamabad"
41,kiranaamirclinicalps_33.663053_73.080783,Kiran Aamir - Clinical Psychologist,"Kiran Aamir - Clinical Psychologist
4.9(35)
Psychologist ·  · Suit # 992, Street 92
Open 24 hours · +92 300 9823852",Psychologist,Open 24 hours,33.6630531,73.0807827,https://www.google.com/maps/place/Kiran+Aamir+-+Clinical+Psychologist/data=!4m7!3m6!1s0x38df95c336906265:0x835a7106e243b104!8m2!3d33.6630531!4d73.0807827!16s%2Fg%2F11fkwd0tny!19sChIJZWKQNsOV3zgRBLFD4gZxWoM?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
42,sehatyabonlinepsychi_33.649743_73.041717,SehatYab - Online Psychiatrists | Psychologists | Psychotherapists | Counselors in Pakistan,"SehatYab - Online Psychiatrists | Psychologists | Psychotherapists | Counselors in Pakistan
4.9(344)
Psychologist · Kickstart, 189 Korang Road
Open ⋅ Closes 4 PM ⋅ Reopens 8 PM · +92 304 1112310",Psychologist,Open,33.6497433,73.0417171,https://www.google.com/maps/place/SehatYab+-+Online+Psychiatrists+%7C+Psychologists+%7C+Psychotherapists+%7C+Counselors+in+Pakistan/data=!4m7!3m6!1s0x38dfedd5e8db75c1:0xf91d3f0f61844771!8m2!3d33.6497433!4d73.0417171!16s%2Fg%2F11qr5pxnd2!19sChIJwXXb6NXt3zgRcUeEYQ8_Hfk?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
43,psychcaredrsemrasali_33.696563_73.049969,PsychCare | Dr. Semra Salik - Consultant Clinical Psychologist | Psychotherapist,"PsychCare | Dr. Semra Salik - Consultant Clinical Psychologist | Psychotherapist
4.6(146)
Psychologist ·  · First Floor, Time Square Plaza, Office 1
Open ⋅ Closes 8 PM · +92 331 2220247",Psychologist,Open,33.6965626,73.0499694,https://www.google.com/maps/place/PsychCare+%7C+Dr.+Semra+Salik+-+Consultant+Clinical+Psychologist+%7C+Psychotherapist/data=!4m7!3m6!1s0x38dfbf4ce20f21f3:0x1bfc129808552783!8m2!3d33.6965626!4d73.0499694!16s%2Fg%2F11hdpgs2jx!19sChIJ8yEP4ky_3zgRgydVCJgS_Bs?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
44,happylifepsychologic_33.619057_73.140475,Happy Life Psychological Services (HLPS),"Happy Life Psychological Services (HLPS)
5.0(272)
Rehabilitation center · HLPS Drugs Addiction Treatment Center, Street 5
Open 24 hours · +92 300 0945066",Rehabilitation center,Open 24 hours,33.6190574,73.1404751,https://www.google.com/maps/place/Happy+Life+Psychological+Services+%28HLPS%29/data=!4m7!3m6!1s0x38dfeb3df297c315:0xbc3c428ab879ac66!8m2!3d33.6190574!4d73.1404751!16s%2Fg%2F11t7p8bmc3!19sChIJFcOX8j3r3zgRZqx5uIpCPLw?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
45,psychologicalhealthc_33.697728_73.046929,Psychological health care center Islamabad,"Psychological health care center Islamabad
4.8(33)
Psychologist · House no, 279 Street 3, opposite tandoori restaurant
+92 300 8505221",Psychologist,,33.6977283,73.0469289,https://www.google.com/maps/place/Psychological+health+care+center+Islamabad/data=!4m7!3m6!1s0x38dfbf72b1434937:0xe555922930620b05!8m2!3d33.6977283!4d73.0469289!16s%2Fg%2F11r7s3l2sh!19sChIJN0lDsXK_3zgRBQtiMCmSVeU?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
46,psychologicalwellbei_33.620653_73.086234,"Psychological Wellbeing Islamabad | Psychologist and Counselors | Individuals, Couples and Relationship Counseling","Psychological Wellbeing Islamabad | Psychologist and Counselors | Individuals, Couples and Relationship Counseling
5.0(50)
Psychologist
Open 24 hours · +92 302 1900145",Psychologist,Open 24 hours,33.6206526,73.0862337,"https://www.google.com/maps/place/Psychological+Wellbeing+Islamabad+%7C+Psychologist+and+Counselors+%7C+Individuals,+Couples+and+Relationship+Counseling/data=!4m7!3m6!1s0x858151eb951377bb:0x73a56b47a6082d2c!8m2!3d33.6206526!4d73.0862337!16s%2Fg%2F11vzy2wkzm!19sChIJu3cTletRgYURLC0IpkdrpXM?authuser=0&hl=en&rclk=1","Psychologist, Islamabad"
47,ipcislamabadpsycholo_30.362957_68.996698,IPC - Islamabad Psychological Center,"IPC - Islamabad Psychological Center
5.0(29)
Psychologist
Open ⋅ Closes 5 PM · +92 316 9224768",Psychologist,Open,30.3629572,68.9966984,https://www.google.com/maps/place/IPC+-+Islamabad+Psychological+Center/data=!4m7!3m6!1s0x38dfc16b601ee5e9:0xd784645af3ece5e7!8m2!3d30.3629572!4d68.9966984!16s%2Fg%2F11fm5c7pn_!19sChIJ6eUeYGvB3zgR5-Xs81pkhNc?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
48,islamabadpsychologic_33.691360_72.999301,Islamabad Psychological Support By Maliha Ahmed,"Islamabad Psychological Support By Maliha Ahmed
5.0(33)
Mental health service · MXRX+GPV, Street 14
Open 24 hours · +92 316 5823033",Mental health service,Open 24 hours,33.6913602,72.9993008,https://www.google.com/maps/place/Islamabad+Psychological+Support+By+Maliha+Ahmed/data=!4m7!3m6!1s0x38dfbf0ac6cfc751:0x81abda60bfe86fad!8m2!3d33.6913602!4d72.9993008!16s%2Fg%2F11q1qqj_w5!19sChIJUcfPxgq_3zgRrW_ov2Daq4E?authuser=0&hl=en&rclk=1,"Psychologist, Islamabad"
