Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Skin Care, Islamabad"
5,amanateyehospitalraw_33.587252_73.066364,Amanat Eye Hospital Rawalpindi,,Eye care center,Open,33.5872518,73.0663637,https://www.google.com/maps/place/Amanat+Eye+Hospital+Rawalpindi/data=!4m7!3m6!1s0x38df935dc4333d53:0xa7d989ebc4727fe!8m2!3d33.5872518!4d73.0663637!16s%2Fg%2F1tf060yh!19sChIJUz0zxF2T3zgR_idHvJ6YfQo?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
37,drajmalosmanfatimacl_33.688607_73.013056,Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi,"Dr. Ajmal Osman | Fatima Clinic F-10 | Top/Best (No.1) Specialist of Islamabad & Rawalpindi
4.8(184)
Hospital ·  · House 93 Street 44
Open ⋅ Closes 12 AM · +92 323 6833333",Hospital,Open,33.6886072,73.013056,https://www.google.com/maps/place/Dr.+Ajmal+Osman+%7C+Fatima+Clinic+F-10+%7C+Top%2FBest+%28No.1%29+Specialist+of+Islamabad+%26+Rawalpindi/data=!4m7!3m6!1s0x38dfbe1693dca1a1:0x4d05249fbcd133d5!8m2!3d33.6886072!4d73.013056!16s%2Fg%2F11fxx64hvf!19sChIJoaHckxa-3zgR1TPRvJ8kBU0?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
38,islamabadspecialistc_33.696991_73.051271,Islamabad Specialist Clinic G-8 Markaz Islamabad,"Islamabad Specialist Clinic G-8 Markaz Islamabad
4.9(109)
Doctor ·  · G, 8 Markaz Rd
Open ⋅ Closes 9 PM · +92 343 0000433",Doctor,Open,33.6969906,73.0512707,https://www.google.com/maps/place/Islamabad+Specialist+Clinic+G-8+Markaz+Islamabad/data=!4m7!3m6!1s0x38dfbf6482f6aa81:0xae209a86fda47a8b!8m2!3d33.6969906!4d73.0512707!16s%2Fg%2F11hf72mc2q!19sChIJgar2gmS_3zgRi3qk_YaaIK4?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
39,drmuneebullahgeneral_33.697480_73.011910,Dr. Muneeb Ullah (General & Laparoscopic Surgeon),"Dr. Muneeb Ullah (General & Laparoscopic Surgeon)
5.0(283)
Surgeon ·  · MAROOF International Hospital
Open ⋅ Closes 6 PM · +92 334 5215334",Surgeon,Open,33.6974802,73.0119105,https://www.google.com/maps/place/Dr.+Muneeb+Ullah+%28General+%26+Laparoscopic+Surgeon%29/data=!4m7!3m6!1s0x38dfbfaa337786c1:0x19a9a794755a8550!8m2!3d33.6974802!4d73.0119105!16s%2Fg%2F11rxldc4bn!19sChIJwYZ3M6q_3zgRUIVadZSnqRk?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
40,drsyedwazahattaqvisp_33.714165_73.040212,Dr. Syed Wazahat Taqvi ( Spinal and Orthopedic surgeon),"Dr. Syed Wazahat Taqvi ( Spinal and Orthopedic surgeon)
5.0(96)
Orthopedic clinic ·  · Ali Medical center, Islamabad specialist clinic
Open ⋅ Closes 7 PM · +92 331 8825552",Orthopedic clinic,Open,33.7141645,73.040212,https://www.google.com/maps/place/Dr.+Syed+Wazahat+Taqvi+%28+Spinal+and+Orthopedic+surgeon%29/data=!4m7!3m6!1s0x38dfbfb5671069d9:0x6e1f60899a3f4849!8m2!3d33.7141645!4d73.040212!16s%2Fg%2F11rd_8m28y!19sChIJ2WkQZ7W_3zgRSUg_molgH24?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
41,drjunaidshahzadentsp_33.698028_73.048982,Dr Junaid Shahzad | ENT specialist in Islamabad | Rhinoplasty | Sinus Surgery | Ear cleaning,"Dr Junaid Shahzad | ENT specialist in Islamabad | Rhinoplasty | Sinus Surgery | Ear cleaning
4.8(484)
Otolaryngologist ·  · Ground floor, M3W2+M2M JSK ENT clinic, Executive complex
Open ⋅ Closes 5 PM · +92 314 5325939",Otolaryngologist,Open,33.6980278,73.0489821,https://www.google.com/maps/place/Dr+Junaid+Shahzad+%7C+ENT+specialist+in+Islamabad+%7C+Rhinoplasty+%7C+Sinus+Surgery+%7C+Ear+cleaning/data=!4m7!3m6!1s0x38dfbf4880f6d677:0x8163e5273208931b!8m2!3d33.6980278!4d73.0489821!16s%2Fg%2F11fmz8vlr6!19sChIJd9b2gEi_3zgRG5MIMiflY4E?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
42,professordoctorraufn_33.694265_73.012907,Professor Doctor Rauf Niazi Clinic,"Professor Doctor Rauf Niazi Clinic
4.4(172)
Doctor ·  · Office 9, 10, Unit 1Q, Al mustafa mansion, Qadeer City Centre, near tanti optics
Opens soon ⋅ 2:30 PM · +92 51 2299466",Doctor,Opens soon,33.6942649,73.0129074,https://www.google.com/maps/place/Professor+Doctor+Rauf+Niazi+Clinic/data=!4m7!3m6!1s0x38dfbe14cf687c3b:0xa24761ba024b343d!8m2!3d33.6942649!4d73.0129074!16s%2Fg%2F12mkw8lby!19sChIJO3xozxS-3zgRPTRLArphR6I?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
43,drfaisalmurad_33.692392_72.995464,Dr. Faisal Murad,"Dr. Faisal Murad
5.0(163)
Surgeon ·  · F, 10 Street 10
Open ⋅ Closes 7 PM · +92 333 5103148",Surgeon,Open,33.6923922,72.9954642,https://www.google.com/maps/place/Dr.+Faisal+Murad/data=!4m7!3m6!1s0x38dfbf428ac25e57:0xde74481f24712666!8m2!3d33.6923922!4d72.9954642!16s%2Fg%2F11ttb471my!19sChIJV17CikK_3zgRZiZxJB9IdN4?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
44,drahmedshahabgpclini_33.725127_73.044353,Dr. Ahmed Shahab (GP Clinic),"Dr. Ahmed Shahab (GP Clinic)
5.0(28)
Doctor ·  · house 250 Street 23
Open ⋅ Closes 6 PM · +92 300 8541212",Doctor,Open,33.7251266,73.0443527,https://www.google.com/maps/place/Dr.+Ahmed+Shahab+%28GP+Clinic%29/data=!4m7!3m6!1s0x38dfbf01418163d5:0x5c7b230c44970cd!8m2!3d33.7251266!4d73.0443527!16s%2Fg%2F11dxl9g2z9!19sChIJ1WOBQQG_3zgRzXBJxDCyxwU?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
45,drammarageneralphysi_33.648485_73.040456,Dr Ammara general physician(Adult and child physician)(specialized doctors clinic),"Dr Ammara general physician(Adult and child physician)(specialized doctors clinic)
5.0(21)
Medical Center · Specialized doctors clinic, shoukat plaza, korang road near ABL parking, Markaz
Open 24 hours · +92 336 1110225",Medical Center,Open 24 hours,33.6484854,73.0404562,https://www.google.com/maps/place/Dr+Ammara+general+physician%28Adult+and+child+physician%29%28specialized+doctors+clinic%29/data=!4m7!3m6!1s0x38df958e1ba019af:0xcbfffc7dfe0d76ee!8m2!3d33.6484854!4d73.0404562!16s%2Fg%2F11wfrb_666!19sChIJrxmgG46V3zgR7nYN_n38_8s?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
46,islamabadentcenterpv_33.697989_73.048847,"Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's","Islamabad ENT Center-Pvt.Ltd"" (Rhinoplasty) Ear, Nose, Throat Specialist's, Surgeon's
4.8(186)
Otolaryngology clinic ·  · officia 20 Ground Floor, executive Complex, Back Side PSO Pump, Markaz, near TCS Office
Open ⋅ Closes 9 PM · +92 342 4512784",Otolaryngology clinic,Open,33.6979885,73.0488475,"https://www.google.com/maps/place/Islamabad+ENT+Center-Pvt.Ltd%22+%28Rhinoplasty%29+Ear,+Nose,+Throat+Specialist%27s,+Surgeon%27s/data=!4m7!3m6!1s0x38dfbfbf21ad4751:0xd3a073468163936!8m2!3d33.6979885!4d73.0488475!16s%2Fg%2F11mwys_dgl!19sChIJUUetIb-_3zgRNjkWaDQHOg0?authuser=0&hl=en&rclk=1","Skin Care, Islamabad"
47,dryassermasoodchildn_33.674264_73.065600,"Dr Yasser Masood , Child & Newborn Specialist Islamabad","Dr Yasser Masood , Child & Newborn Specialist Islamabad
4.8(139)
Pediatrician ·  · Shifa International Hospital, Pitras Bukhari Rd
Open ⋅ Closes 5 PM · +92 51 8463256",Pediatrician,Open,33.674264,73.0655997,"https://www.google.com/maps/place/Dr+Yasser+Masood+,+Child+%26+Newborn+Specialist+Islamabad/data=!4m7!3m6!1s0x38dfbf7bf1303ecf:0x8746b8e24d7e48c8!8m2!3d33.674264!4d73.0655997!16s%2Fg%2F11lgg4kqhh!19sChIJzz4w8Xu_3zgRyEh-TeK4Roc?authuser=0&hl=en&rclk=1","Skin Care, Islamabad"
48,drmahvishzahrabestde_33.550675_73.112737,"Dr Mahvish Zahra (Best Dermatologist,Skin Specialist In Islamabad/Rawalpindi),Best Botox/lip fillers/Double chin liposuction","Dr Mahvish Zahra (Best Dermatologist,Skin Specialist In Islamabad/Rawalpindi),Best Botox/lip fillers/Double chin liposuction
4.9(297)
Dermatologist ·  · Grande Street 61
Open ⋅ Closes 10 PM · +92 314 8125393",Dermatologist,Open,33.550675,73.1127374,"https://www.google.com/maps/place/Dr+Mahvish+Zahra+%28Best+Dermatologist,Skin+Specialist+In+Islamabad%2FRawalpindi%29,Best+Botox%2Flip+fillers%2FDouble+chin+liposuction/data=!4m7!3m6!1s0x38dfebead7b144cd:0xd54682bd212e7638!8m2!3d33.550675!4d73.1127374!16s%2Fg%2F11sp66qfbg!19sChIJzUSx1-rr3zgROHYuIb2CRtU?authuser=0&hl=en&rclk=1","Skin Care, Islamabad"
49,drfaridullahkhanzimr_33.711115_73.041550,Dr Faridullah Khan Zimri (Islamabad Orthopedic and Spine Clinic),"Dr Faridullah Khan Zimri (Islamabad Orthopedic and Spine Clinic)
4.8(705)
Orthopedic clinic ·  · Rawal Arcade, Ground Floor Plot 13-C
Open ⋅ Closes 7 PM · +92 51 2266066",Orthopedic clinic,Open,33.7111145,73.0415504,https://www.google.com/maps/place/Dr+Faridullah+Khan+Zimri+%28Islamabad+Orthopedic+and+Spine+Clinic%29/data=!4m7!3m6!1s0x38dfbfc9a8629e41:0xee0449aed8852dc7!8m2!3d33.7111145!4d73.0415504!16s%2Fg%2F11r9911vm1!19sChIJQZ5iqMm_3zgRxy2F2K5JBO4?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
50,profdrikramullahkhan_33.693523_72.993837,Prof. Dr. Ikram Ullah Khan | Best Dermatologist in Islamabad | Best Skin Specialist,"Prof. Dr. Ikram Ullah Khan | Best Dermatologist in Islamabad | Best Skin Specialist
4.4(2,830)
Skin care clinic · House No. 518, Margalla Road, Service Rd N
Open ⋅ Closes 8 PM · +92 51 2211779",Skin care clinic,Open,33.6935235,72.9938372,https://www.google.com/maps/place/Prof.+Dr.+Ikram+Ullah+Khan+%7C+Best+Dermatologist+in+Islamabad+%7C+Best+Skin+Specialist/data=!4m7!3m6!1s0x38dfbe755dd2568f:0x559dc4d83060e80f!8m2!3d33.6935235!4d72.9938372!16s%2Fg%2F11c7s_10d4!19sChIJj1bSXXW-3zgRD-hgMNjEnVU?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
51,dromerhassaanaftabah_33.698290_73.049154,Dr. Omer Hassaan Aftab Ahmad Gastroenterologist and Hepatologist,"Dr. Omer Hassaan Aftab Ahmad Gastroenterologist and Hepatologist
4.9(325)
Gastroenterologist ·  · 12-A, LG Floor, Omer Diagnostic & Specialist Clinics, CBC Plaza
Open ⋅ Closes 6 PM · +92 336 5993116",Gastroenterologist,Open,33.6982897,73.0491536,https://www.google.com/maps/place/Dr.+Omer+Hassaan+Aftab+Ahmad+Gastroenterologist+and+Hepatologist/data=!4m7!3m6!1s0x38dfbf4a8f420f77:0x2192acf1c88ef058!8m2!3d33.6982897!4d73.0491536!16s%2Fg%2F11q250kz3k!19sChIJdw9Cj0q_3zgRWPCOyPGskiE?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
52,drsajjadnaseerbestpu_33.711212_73.041583,Dr Sajjad Naseer Best Pulmonologist/Chest Specialist Associate Professor,"Dr Sajjad Naseer Best Pulmonologist/Chest Specialist Associate Professor
4.9(149)
Pulmonologist ·  · Islamabad Specialist Clinic
Open ⋅ Closes 5 PM · +92 349 5007011",Pulmonologist,Open,33.7112124,73.0415825,https://www.google.com/maps/place/Dr+Sajjad+Naseer+Best+Pulmonologist%2FChest+Specialist+Associate+Professor/data=!4m7!3m6!1s0x38dfbf1357aed4c9:0xd3e8af76202c5bdc!8m2!3d33.7112124!4d73.0415825!16s%2Fg%2F11lkj1nrzd!19sChIJydSuVxO_3zgR3FssIHav6NM?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
53,islamabadspecialists_33.711194_73.041715,Islamabad Specialists Clinic F8,"Islamabad Specialists Clinic F8
3.7(70)
Doctor ·  · Kiran Plaza، 13-B Kohistan Rd
Open ⋅ Closes 10 PM · +92 343 0000433",Doctor,Open,33.7111944,73.0417154,https://www.google.com/maps/place/Islamabad+Specialists+Clinic+F8/data=!4m7!3m6!1s0x38dfbfad4708d48d:0x941929274b3a9944!8m2!3d33.7111944!4d73.0417154!16s%2Fg%2F11xmdm97h!19sChIJjdQIR62_3zgRRJk6SycpGZQ?authuser=0&hl=en&rclk=1,"Skin Care, Islamabad"
