Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Store, Islamabad"
5,metroislamabadstore_33.639918_73.026167,METRO Islamabad Store,,Grocery store,Open,33.6399179,73.0261665,https://www.google.com/maps/place/METRO+Islamabad+Store/data=!4m7!3m6!1s0x38df95b111b61cd7:0x2613048254d87137!8m2!3d33.6399179!4d73.0261665!16s%2Fg%2F11c51w48nq!19sChIJ1xy2EbGV3zgRN3HYVIIEEyY?authuser=0&hl=en&rclk=1,"Store, Islamabad"
37,islamabadelectronics_33.720607_73.077462,Islamabad Electronics,"Islamabad Electronics
4.7(45)
Electronics store · Shop #3-B, Old Duty Free Plaza, Block # 11 Jinnah Ave
Open ⋅ Closes 9 PM · +92 300 8554277",Electronics store,Open,33.7206073,73.0774625,https://www.google.com/maps/place/Islamabad+Electronics/data=!4m7!3m6!1s0x38dfbf8ecf7c1d1b:0x88b0bb068f3f808d!8m2!3d33.7206073!4d73.0774625!16s%2Fg%2F11kmvf2_qn!19sChIJGx18z46_3zgRjYA_jwa7sIg?authuser=0&hl=en&rclk=1,"Store, Islamabad"
38,albalaghislamicstore_33.678189_73.016757,AlBalagh Islamic Store G10 Islamabad البلاغ جی ٹین اسلام آباد,"AlBalagh Islamic Store G10 Islamabad البلاغ جی ٹین اسلام آباد
4.3(314)
Religious goods store ·  · Shop18, Adnan Plaza Sawan Road, Markaz, near Post Office & Babri Masjid
Open ⋅ Closes 10 PM · +92 300 5511552",Religious goods store,Open,33.678189,73.0167574,https://www.google.com/maps/place/AlBalagh+Islamic+Store+G10+Islamabad+%D8%A7%D9%84%D8%A8%D9%84%D8%A7%D8%BA+%D8%AC%DB%8C+%D9%B9%DB%8C%D9%86+%D8%A7%D8%B3%D9%84%D8%A7%D9%85+%D8%A2%D8%A8%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x38dfbe21dfe18365:0x8aae3b12ab78626b!8m2!3d33.678189!4d73.0167574!16s%2Fg%2F11clwn96v6!19sChIJZYPh3yG-3zgRa2J4qxI7roo?authuser=0&hl=en&rclk=1,"Store, Islamabad"
39,mstore_33.699880_72.973640,M Store,"M Store
4.5(1,479)
Grocery store ·  · plot # 14, ground floor، Al Memar Tower
Open ⋅ Closes 4 AM · +92 51 2305629",Grocery store,Open,33.69988,72.97364,https://www.google.com/maps/place/M+Store/data=!4m7!3m6!1s0x38dfbdc624e125ff:0xbdce789428fa64b3!8m2!3d33.69988!4d72.97364!16s%2Fg%2F1hhh_9r7m!19sChIJ_yXhJMa93zgRs2T6KJR4zr0?authuser=0&hl=en&rclk=1,"Store, Islamabad"
40,metromall_33.639917_73.026051,Metro Mall,"Metro Mall
4.1(384)
Clothing store ·  · I 11/4, Korang Road
Open ⋅ Closes 10 PM",Clothing store,Open,33.6399166,73.026051,https://www.google.com/maps/place/Metro+Mall/data=!4m7!3m6!1s0x38df95a671739b87:0xfe331c1472b64418!8m2!3d33.6399166!4d73.026051!16s%2Fg%2F11c1qxjfk5!19sChIJh5tzcaaV3zgRGES2chQcM_4?authuser=0&hl=en&rclk=1,"Store, Islamabad"
41,friendscorporationfr_33.720096_73.077825,Friends Corporation – Friends Mega Store (Blue Area),"Friends Corporation – Friends Mega Store (Blue Area)
4.1(869)
Electronics store · AK, AKM Fazl-ul-Haq Rd
Open ⋅ Closes 9 PM · +92 304 8444499",Electronics store,Open,33.720096,73.077825,https://www.google.com/maps/place/Friends+Corporation+%E2%80%93+Friends+Mega+Store+%28Blue+Area%29/data=!4m7!3m6!1s0x38dfbf849f11946d:0x4ffc892fad39b345!8m2!3d33.720096!4d73.077825!16s%2Fg%2F11xlnp9fv!19sChIJbZQRn4S_3zgRRbM5rS-J_E8?authuser=0&hl=en&rclk=1,"Store, Islamabad"
42,islamabadsuperstore_33.677277_72.985799,Islamabad Super Store,"Islamabad Super Store
4.3(35)
General store ·  · Ali Market, St 9, F-11-1, F-11, 3
Open ⋅ Closes 11 PM · +92 51 2214226",General store,Open,33.6772769,72.9857993,https://www.google.com/maps/place/Islamabad+Super+Store/data=!4m7!3m6!1s0x38dfbdfba1bbddcf:0x1e6a575e4a1cee1b!8m2!3d33.6772769!4d72.9857993!16s%2Fg%2F12mkzc55r!19sChIJz927ofu93zgRG-4cSl5Xah4?authuser=0&hl=en&rclk=1,"Store, Islamabad"
43,mssuperstore_33.712625_73.040478,M & S Super Store,"M & S Super Store
4.3(40)
Grocery store · Aghaz Plaza, Shop 4, Plot 16-G, Kohistan Rd, F-8 Markaz, F-8, Islamabad, ICT
Open ⋅ Closes 11 PM · +92 51 2817150",Grocery store,Open,33.7126246,73.0404779,https://www.google.com/maps/place/M+%26+S+Super+Store/data=!4m7!3m6!1s0x38dfbe532b3f0e99:0xfa75e07d2f25cb56!8m2!3d33.7126246!4d73.0404779!16s%2Fg%2F11x9gb189!19sChIJmQ4_K1O-3zgRVsslL33gdfo?authuser=0&hl=en&rclk=1,"Store, Islamabad"
44,islamabadgeneralstor_33.683138_72.988114,Islamabad general store,"Islamabad general store
4.4(33)
Supermarket · shop no 5, trade centre
Open 24 hours · +92 51 2113030",Supermarket,Open 24 hours,33.6831375,72.9881144,https://www.google.com/maps/place/Islamabad+general+store/data=!4m7!3m6!1s0x38dfbda6323eabf3:0x6c81b88cdc383ed9!8m2!3d33.6831375!4d72.9881144!16s%2Fg%2F11t9g_4tt1!19sChIJ86s-Mqa93zgR2T443Iy4gWw?authuser=0&hl=en&rclk=1,"Store, Islamabad"
