Index,Place Id,Name,Address,Category,Status,Latitude,Longitude,Link,SearchKeyword
1,na_noloc,,,,,,,,"Veterinarian, Islamabad"
5,thepetshospitalislam_33.676070_73.026178,The Pet's Hospital Islamabad,,Veterinarian,Open,33.6760701,73.0261779,https://www.google.com/maps/place/The+Pet%27s+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbe279900d70d:0xbfcef2e5012bf525!8m2!3d33.6760701!4d73.0261779!16s%2Fg%2F11bxft2w7j!19sChIJDdcAmSe-3zgRJfUrAeXyzr8?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
37,usmanpethospitalisla_33.694688_72.970218,Usman Pet Hospital Islamabad,"Usman Pet Hospital Islamabad
4.7(238)
Animal hospital · Shop no 5 Basement, Shah Muhmmad Plaza, Markaz
Open ⋅ Closes 10 PM · +92 317 4654462",Animal hospital,Open,33.6946884,72.9702179,https://www.google.com/maps/place/Usman+Pet+Hospital+Islamabad/data=!4m7!3m6!1s0x38dfbd23185d7d01:0x277adcb1c84f458!8m2!3d33.6946884!4d72.9702179!16s%2Fg%2F11q95rvh5d!19sChIJAX1dGCO93zgRWPSEHMutdwI?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
38,vetplusclinicislamab_33.671788_73.068503,Vet plus clinic Islamabad,"Vet plus clinic Islamabad
5.0(124)
Animal hospital ·  · hajveri market, Street 47
Open ⋅ Closes 11 PM · +92 302 3888831",Animal hospital,Open,33.6717883,73.0685032,https://www.google.com/maps/place/Vet+plus+clinic+Islamabad/data=!4m7!3m6!1s0x38dfbfdd495de483:0x92ae194e0d6210a4!8m2!3d33.6717883!4d73.0685032!16s%2Fg%2F11rdbdwrt6!19sChIJg-RdSd2_3zgRpBBiDU4ZrpI?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
39,dralisveterinaryhosp_33.633477_72.918658,Dr.Ali's veterinary hospital,"Dr.Ali's veterinary hospital
4.9(193)
Veterinarian
Open 24 hours · +92 51 2160022",Veterinarian,Open 24 hours,33.6334773,72.9186582,https://www.google.com/maps/place/Dr.Ali%27s+veterinary+hospital/data=!4m7!3m6!1s0x38df97de9ca8f19d:0xaf66c8492772a562!8m2!3d33.6334773!4d72.9186582!16s%2Fg%2F11qs1vqpcv!19sChIJnfGonN6X3zgRYqVyJ0nIZq8?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
40,aliyanpetshospitalis_33.698537_72.967989,Aliyan Pets Hospital Islamabad 24/7 Emergency,"Aliyan Pets Hospital Islamabad 24/7 Emergency
4.4(446)
Animal hospital · Shop No 1/2 LGF NAFEES ARCHADE
Open 24 hours · +92 332 4373070",Animal hospital,Open 24 hours,33.6985371,72.9679891,https://www.google.com/maps/place/Aliyan+Pets+Hospital+Islamabad+24%2F7+Emergency/data=!4m7!3m6!1s0x38dfbd1c38b87583:0x56afa4c3e7c2cb7!8m2!3d33.6985371!4d72.9679891!16s%2Fg%2F11ll6rv4yh!19sChIJg3W4OBy93zgRtyx8Pkz6agU?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
41,familypetclinicislam_33.668871_73.013074,Family Pet Clinic Islamabad,"Family Pet Clinic Islamabad
4.6(296)
Veterinarian · shop 5, 89 Street 35
Open 24 hours · +92 314 3710571",Veterinarian,Open 24 hours,33.6688712,73.0130738,https://www.google.com/maps/place/Family+Pet+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfbfe5ad1f7d05:0xbf8a6e83284f75d0!8m2!3d33.6688712!4d73.0130738!16s%2Fg%2F11np3hpd0b!19sChIJBX0freW_3zgR0HVPKINuir8?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
42,alphapetcareanimalho_33.692262_72.829864,Alpha Pet Care | Animal Hospital | Veterinary Clinic | Pet Supplies,"Alpha Pet Care | Animal Hospital | Veterinary Clinic | Pet Supplies
4.9(99)
Veterinarian · Alpha pet care, Executive arcade
Open ⋅ Closes 9 PM · +92 306 4567154",Veterinarian,Open,33.6922615,72.8298638,https://www.google.com/maps/place/Alpha+Pet+Care+%7C+Animal+Hospital+%7C+Veterinary+Clinic+%7C+Pet+Supplies/data=!4m7!3m6!1s0x38dfa3901a359e7b:0xf96a25cc7de0e17d!8m2!3d33.6922615!4d72.8298638!16s%2Fg%2F11ql6cg16f!19sChIJe541GpCj3zgRfeHgfcwlavk?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
43,shahpetsclinicislama_33.673679_72.996522,Shah Pets Clinic Islamabad,"Shah Pets Clinic Islamabad
5.0(80)
Veterinarian · Shop 8F Street # 94 Madni Market G11/3 Islamabad G 11 Sector G 11/3
Open ⋅ Closes 10 PM · +92 333 5436363",Veterinarian,Open,33.6736794,72.9965216,https://www.google.com/maps/place/Shah+Pets+Clinic+Islamabad/data=!4m7!3m6!1s0x38dfbfbd9355fc55:0xec5ce0ad68cce2d1!8m2!3d33.6736794!4d72.9965216!16s%2Fg%2F11rsspvlcp!19sChIJVfxVk72_3zgR0eLMaK3gXOw?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
44,royalpetshospital_33.708930_73.046280,Royal Pets Hospital,"Royal Pets Hospital
4.7(203)
Veterinarian · Najam Market, Street 55
Open 24 hours · +92 51 2100062",Veterinarian,Open 24 hours,33.7089297,73.0462797,https://www.google.com/maps/place/Royal+Pets+Hospital/data=!4m7!3m6!1s0x38df935c08b74675:0xbf13cec1808c843!8m2!3d33.7089297!4d73.0462797!16s%2Fg%2F11lk1ksgtl!19sChIJdUa3CFyT3zgRQ8gIGOw88Qs?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
45,pawsnclawspetsclinic_33.663470_73.076616,Paws N Claws Pets Clinic Islamabad,"Paws N Claws Pets Clinic Islamabad
3.9(248)
Animal hospital ·  · Paws N Claws Pets Clinic, 1 Pakeeza Market Street
Open 24 hours · +92 332 8888788",Animal hospital,Open 24 hours,33.6634702,73.0766158,https://www.google.com/maps/place/Paws+N+Claws+Pets+Clinic+Islamabad/data=!4m7!3m6!1s0x38df954884426e41:0xa2803180906e5ffb!8m2!3d33.6634702!4d73.0766158!16s%2Fg%2F12mkz9j97!19sChIJQW5ChEiV3zgR-19ukIAxgKI?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
46,petsvets_33.721650_73.063367,Pets & Vets,"Pets & Vets
3.8(857)
Veterinarian · Maqbool Market, 1 Street 61
Open 24 hours · +92 300 8545566",Veterinarian,Open 24 hours,33.7216503,73.0633672,https://www.google.com/maps/place/Pets+%26+Vets/data=!4m7!3m6!1s0x38dfbfa02f729ea5:0xf2e54b7ec06e43e!8m2!3d33.7216503!4d73.0633672!16s%2Fg%2F11f3w9d4zq!19sChIJpZ5yL6C_3zgRPuQG7LdULg8?authuser=0&hl=en&rclk=1,"Veterinarian, Islamabad"
